run_label,frame,frame_z_map,datasets,random_mode,prior_config,dataset_sigma_mag,survey_sigma_mag,model,N,k_base,k_random,dof_base,dof_nominal,H0,beta,H0_minus_67p5,beta_minus_0p5,raw_chi2_no_offsets,data_chi2_map,prior_chi2,posterior_objective,logdet_random_effect,marginal_score,chi2_dof_base,chi2_dof_nominal,AIC_random_marginal_base,BIC_random_marginal_base,success,method,random_effect_note
joint_des_pantheon_union31_HD_dataset+survey_tight_FR_BETA05_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,tight,0.02,0.01,FR_BETA05_H0fixed675,3422,0,27,3422,3395,67.5,0.5,0.0,0.0,4227.901691317376,3120.1786128611575,47.43769316499402,3167.6163060261515,14.83533483809984,3182.451640864251,0.9117997115316065,0.9190511378088829,3182.451640864251,3182.451640864251,True,fixed,"27 Gaussian calibration offsets; dataset sigma=0.02 mag, survey sigma=0.01 mag"
joint_des_pantheon_union31_HD_dataset+survey_tight_FR_BETAfree_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,tight,0.02,0.01,FR_BETAfree_H0fixed675,3422,1,27,3421,3394,67.5,0.5148656651333499,0.0,0.014865665133349859,4354.142916964271,3114.777093763697,49.87673540517186,3164.653829168869,14.83533483809984,3179.4891640069686,0.9104873118280319,0.9177304342261924,3181.4891640069686,3187.627144461421,True,minimize_beta,"27 Gaussian calibration offsets; dataset sigma=0.02 mag, survey sigma=0.01 mag"
joint_des_pantheon_union31_HD_dataset+survey_tight_FR_BETA05_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,tight,0.02,0.01,FR_BETA05_H0free,3422,1,27,3421,3394,69.08736228312455,0.5,1.5873622831245484,0.0,3747.397705659457,3117.386382081359,32.7185087721938,3150.1048908535527,14.83533483809984,3164.9402256916524,0.9112500386089912,0.9184992286627457,3166.9402256916524,3173.0782061461045,True,minimize_H0,"27 Gaussian calibration offsets; dataset sigma=0.02 mag, survey sigma=0.01 mag"
joint_des_pantheon_union31_HD_dataset+survey_tight_FR_BETAfree_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,tight,0.02,0.01,FR_BETAfree_H0free,3422,2,27,3420,3393,69.87791595285209,0.539498185684382,2.377915952852092,0.039498185684382014,3571.808448490235,3111.21990909337,22.527303312614865,3133.747212405985,14.83533483809984,3148.5825472440847,0.9097134237115116,0.9169525225739376,3152.5825472440847,3164.858508152989,True,L-BFGS-B,"27 Gaussian calibration offsets; dataset sigma=0.02 mag, survey sigma=0.01 mag"
joint_des_pantheon_union31_HD_dataset+survey_moderate_FR_BETA05_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,moderate,0.05,0.02,FR_BETA05_H0fixed675,3422,0,27,3422,3395,67.5,0.5,0.0,0.0,4227.901691317376,3097.7543046767537,19.90731297098006,3117.6616176477337,29.394448052407796,3147.0560657001415,0.9052467284268714,0.9124460396691468,3147.0560657001415,3147.0560657001415,True,fixed,"27 Gaussian calibration offsets; dataset sigma=0.05 mag, survey sigma=0.02 mag"
joint_des_pantheon_union31_HD_dataset+survey_moderate_FR_BETAfree_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,moderate,0.05,0.02,FR_BETAfree_H0fixed675,3422,1,27,3421,3394,67.5,0.5213138611277275,0.0,0.021313861127727485,4422.618601940294,3095.4940388529767,18.01139641613088,3113.5054352691077,29.394448052407796,3142.8998833215155,0.904850639828406,0.9120489212884434,3144.8998833215155,3151.0378637759677,True,minimize_beta,"27 Gaussian calibration offsets; dataset sigma=0.05 mag, survey sigma=0.02 mag"
joint_des_pantheon_union31_HD_dataset+survey_moderate_FR_BETA05_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,moderate,0.05,0.02,FR_BETA05_H0free,3422,1,27,3421,3394,69.22640208164754,0.5,1.7264020816475352,0.0,3748.0629091819433,3097.2632975620277,16.89078179979289,3114.1540793618205,29.394448052407796,3143.5485274142284,0.905367815715296,0.9125702114207507,3145.5485274142284,3151.6865078686806,True,minimize_H0,"27 Gaussian calibration offsets; dataset sigma=0.05 mag, survey sigma=0.02 mag"
joint_des_pantheon_union31_HD_dataset+survey_moderate_FR_BETAfree_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,moderate,0.05,0.02,FR_BETAfree_H0free,3422,2,27,3420,3393,69.71414810176636,0.5265149490598959,2.214148101766355,0.02651494905989593,3619.8678753123295,3095.4902220255985,12.529568102312103,3108.0197901279107,29.394448052407796,3137.4142381803185,0.9051141000074849,0.9123165994770406,3141.4142381803185,3153.690199089223,True,L-BFGS-B,"27 Gaussian calibration offsets; dataset sigma=0.05 mag, survey sigma=0.02 mag"
joint_des_pantheon_union31_HD_dataset+survey_loose_FR_BETA05_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,loose,0.1,0.05,FR_BETA05_H0fixed675,3422,0,27,3422,3395,67.5,0.5,0.0,0.0,4227.901691317376,3082.8781757098977,9.593936255875294,3092.472111965773,58.01561577320837,3150.4877277389814,0.9008995253389531,0.908064263832076,3150.4877277389814,3150.4877277389814,True,fixed,"27 Gaussian calibration offsets; dataset sigma=0.1 mag, survey sigma=0.05 mag"
joint_des_pantheon_union31_HD_dataset+survey_loose_FR_BETAfree_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+survey,loose,0.1,0.05,FR_BETAfree_H0fixed675,3422,1,27,3421,3394,67.5,0.5143565533341018,0.0,0.014356553334101796,4349.0873456041745,3081.955544211559,8.98426784784591,3090.9398120594046,58.01561577320837,3148.955427832613,0.9008931728183451,0.9080599717771239,3150.955427832613,3157.0934082870654,True,minimize_beta,"27 Gaussian calibration offsets; dataset sigma=0.1 mag, survey sigma=0.05 mag"
