galaxy,stratum,distance_method,median_inclination_deg,n_points,selection_hash,stratum_population,stratum_pilot_allocation,selected
UGC00634,hubble__low_inc,1,37.0,4,17ebb6b5a6b3c820e6657c58bfa98b3a2bc912cb810743886624c9bce2226106,50,8,False
UGC00731,hubble__low_inc,1,57.0,12,069455831df12e1d4bb28936fb9e6280b3f2d6b62cc837d5da22eada7e510aca,50,8,True
UGC00891,hubble__high_inc,1,60.0,5,dc757c4fd66e36ee2d982374c6e387dae5be66354776dda56fe7adb48826ddc9,36,5,False
UGC01230,hubble__low_inc,1,22.0,11,9ba1ba0c6ea5f34cd1b87b34dc723ca6fd19b83db53853492eaf423809e689cc,50,8,False
UGC01281,non_hubble__high_inc,2,90.0,25,26211ed8ae7aec308f401dfd15a08861d1ba2c2c7a4b14f31ec82193a0652a7f,47,7,False
UGC02023,hubble__low_inc,1,19.0,5,0c408b4b054a618d57c54ade69ae564ae9913096699ebfe47c86d3b6195e3ed5,50,8,True
UGC02259,hubble__low_inc,1,41.0,8,9eed29903f630a42bc2a783049684ca95a38d6b2b6cfa83b12a8859f58204b4a,50,8,False
UGC02885,hubble__high_inc,1,64.0,19,27aa4d7cb27acf7da7cbca68f9668a9e789c4f1d3786518b6369bc66883b5226,36,5,False
UGC02916,hubble__low_inc,1,50.0,43,237aa4d812d112f44968eacedf297661834499eff02a03ac063b0384f4efa625,50,8,False
UGC02953,hubble__low_inc,1,50.0,115,d7709475f7123b985e4a7c196460892ea4ff10f95473b8cb5e23f5558508f988,50,8,False
UGC03205,hubble__high_inc,1,67.0,48,f2c7bd60aa80647060a2ed5f5d9345fdf76ca5158271fadb2ceb0b1b50831416,36,5,False
UGC03546,hubble__low_inc,1,55.0,30,49331b28824f434e7e7bb916e3d6007c1b6a92b533e9d70456554029f680454b,50,8,False
UGC04278,hubble__high_inc,1,90.0,25,a346558f601eb273ade5acd4d14f65d8484825b533a6d7652f11eb817cf4b52b,36,5,False
UGC04325,hubble__low_inc,1,41.0,8,9c5db9b5ce6c055504ac23fb379e7dd5c00d7babaa772b6d0c950482d8f0d091,50,8,False
UGC04483,non_hubble__low_inc,2,58.0,8,ae1a84e370881391bd462c68b582c861e5504fecc16cea0d3fbe51dc610886c4,24,4,False
UGC04499,hubble__low_inc,1,50.0,9,30154cbd72ddb5543989cacc8f82646f8ae8c072b3ae8597dc71e3c55ee18f76,50,8,False
UGC05005,hubble__low_inc,1,41.0,11,113015f081685cb5bf016be57694ce7512c9436afb2bf5400175be0bfd6fa9bf,50,8,False
UGC05253,hubble__low_inc,1,37.0,73,2be1ca6a44a2750cddaf3e496fd15c2032b6bfee7ca24a5aaddf3f03f756b105,50,8,False
UGC05414,hubble__low_inc,1,55.0,6,b4f9b1e1f5ad79df82a67a0b002f71c178070b9323861488308871a005b3df58,50,8,False
UGC05716,hubble__low_inc,1,54.0,12,11dce5bd85c809aa8e7bd9350a624ca0d5bd751e3fd894268b6860117b474831,50,8,False
UGC05721,hubble__high_inc,1,61.0,23,eb1e60314e9b8b74e93477264e8fe108e3edf753b4a31d5965b1772dce481678,36,5,False
UGC05750,hubble__high_inc,1,64.0,11,0127a967e1720f6a6fdee87350fa5339745decbc36c2284a67828ba25bffba09,36,5,True
UGC05764,hubble__high_inc,1,60.0,10,1fccb348a435044cf9681363854d989e84030a040f52c8f6faa4cfba8f4d780b,36,5,True
UGC05829,hubble__low_inc,1,34.0,11,ca4b1e65dbb3e3133564756c84668c8c4c925bbf399a4697bf9036a308ee1de8,50,8,False
UGC05918,hubble__low_inc,1,46.0,8,9e5addc4f89caaf2c892d0be5793f153b849e6d4b3c3b597a987e414c6c985e4,50,8,False
UGC05986,hubble__high_inc,1,90.0,15,aa4bccef443aedb6dc0c0d24e6f71ce4e279ffb070ccdcec017470c96fd00ec0,36,5,False
UGC05999,hubble__low_inc,1,22.0,5,047a9483802fd363068fd525c4cd693fd2a1d2ac115247c7dce377d320377d1b,50,8,True
UGC06399,non_hubble__high_inc,4,75.0,9,3aab647163d8d1682398eb23964052d6ac98a6ef7aa858170bbe8029c6252f4e,47,7,False
UGC06446,hubble__low_inc,1,51.0,17,496b762c641215a8b223287324a7820dff2976869534a5f7e4737c51932a5400,50,8,False
UGC06614,hubble__low_inc,1,36.0,13,acd5a564ecadc3f93a9d7af0b3e185a39451eb0367556c9e1d2fab8569a6ffa6,50,8,False
UGC06628,hubble__low_inc,1,20.0,7,d79e25df96440b76c7f33f6613e2d80757c18cd6886f461f9ab4b93717cfc0eb,50,8,False
UGC06667,non_hubble__high_inc,4,89.0,9,b0d0bf6fc676d6c2236961e1b7261c593d61748934575786b0dac1380083a8d8,47,7,False
UGC06786,hubble__high_inc,1,64.0,45,c031a2381817c24a49fe9a081cf1db5668303edb01212089cbeb658b75e3b8cf,36,5,False
UGC06818,non_hubble__high_inc,4,75.0,8,8ad99b0bff75575c10f8d9ab33c80a32956f02a447e185fa05323355d3541555,47,7,False
UGC06917,non_hubble__low_inc,4,56.0,11,9cc753ada0820f2c96c93f9b6a86ce0a1e5be019485340e18e4ff331f32d6716,24,4,False
UGC06923,non_hubble__high_inc,4,65.0,6,bbb415874eb18f31bef4bd998fc761277d226fed2f3f2b4866fbf75a2f480d3c,47,7,False
UGC06930,non_hubble__low_inc,4,32.0,10,4a9c62426712fd3979c8087aafb22d00593174746ca842f4e25c2db1662e6c19,24,4,False
UGC06983,non_hubble__low_inc,4,49.0,17,6eab95b552a531911dcad5a60d9d457dcaeb2bbe1ade8c078af012274263f2b6,24,4,False
UGC07089,non_hubble__high_inc,4,80.0,12,812318e937c1cb8e638f1b1d122bc9b85538fd947a84191c078a3cb0e953973d,47,7,False
UGC07125,hubble__high_inc,1,90.0,13,78b3645291e94e9468ac96332de0428c01fdfb400675d40a26a51a0425e23873,36,5,False
UGC07151,non_hubble__high_inc,2,90.0,11,71d5b240056985c4dc799dbf4bac240d0e6ee3f8ec7186bd95e829b24b97f7d2,47,7,False
UGC07232,non_hubble__low_inc,2,59.0,4,98f1e63c59a7564e199d3152f971600751bbda7ec99ef4b7373a1c1954d8b952,24,4,False
UGC07261,hubble__low_inc,1,30.0,7,a7615e788d2edf66655bf2afe71fd4f38b1c72e6b5d491801efb5ab306a0e894,50,8,False
UGC07323,hubble__low_inc,1,47.0,10,b3e75b4d14e7938597f73299eb1b14692f2c68102241de4d8391e72793fc56ac,50,8,False
UGC07399,hubble__low_inc,1,55.0,10,948595a3abfd78179fe9baaf15c05939b930523828cae7457d3e986bc4b9ee51,50,8,False
UGC07524,non_hubble__low_inc,2,46.0,31,cb3fd0a07e150f838fa0a8132785297a0cf2bbc0703bb82a6301f47b8a347610,24,4,False
UGC07559,non_hubble__high_inc,2,61.0,7,23656ef42f4e66a1ec95d5b612b8b287d509b2c2407463b4539c2caece0f18d9,47,7,False
UGC07577,non_hubble__high_inc,2,63.0,9,655feb9cb1b0c13f2dcb6a5f585648e6b6425774bb2422919e8ee4a79da8a2b0,47,7,False
UGC07603,hubble__high_inc,1,78.0,12,d1a9b4112f006acd8699f90d7f8ba8d3403b247b16c204294502842aa87bbce3,36,5,False
UGC07608,hubble__low_inc,1,25.0,8,10692aa9181d5d6bfe8cd3f4c83d2f31a29dd82387ee00d193c9704177bcdc1e,50,8,True
UGC07690,hubble__low_inc,1,41.0,7,27bf22fcea579812efab3fb923dd3525f017c9326a6271b5592ac3e372f82007,50,8,False
UGC07866,non_hubble__low_inc,2,44.0,7,d3e7a9416a31a20fb5c9b38da38a2b55a21699de5a2aea03a4d27a2a8fe1ee85,24,4,False
UGC08286,non_hubble__high_inc,2,90.0,17,29265a4ebb4309322d9adabb1a218a82a8dbad876cef36d259dd99a6980c7290,47,7,False
UGC08490,non_hubble__low_inc,2,50.0,30,cbff1f7fe66c39c7b71df67ea929a702a8da2c5757b6b9fa3de6f514a11626fb,24,4,False
UGC08550,hubble__high_inc,1,90.0,11,d25d3dbd128ca61e37372cd3ca5cd11fd392b26b669fdd6e6325bf94703ac44f,36,5,False
UGC08699,hubble__high_inc,1,73.0,41,69cd241dab23b57b3873ae159d9df7799b87b080bb854367be842bcdc859280f,36,5,False
UGC08837,non_hubble__high_inc,2,80.0,8,0ae7fba983dd34d4c4d3578021b38b0950d0978402df603c05fc8d9d027c47a1,47,7,True
UGC09037,hubble__high_inc,1,65.0,22,cce9843fffb64f9c004784ed6d9dcaf72a5c0e0b660eb31d11b653a432be284b,36,5,False
UGC09992,hubble__low_inc,1,30.0,5,66c400fd8bbeda1faf7266c98e8e15f256d5202a2ed5afeedc783ed9bbb6bf01,50,8,False
UGC10310,hubble__low_inc,1,34.0,7,60e18bd95ef996b931f86b46847817052934537258d43470eb8293a2b13431ad,50,8,False
UGC11455,hubble__high_inc,1,90.0,36,6f881a0134024c680a94d25d0ebe3e2b99d2a8ae2af311ba3191fad74601f28d,36,5,False
UGC11557,hubble__low_inc,1,30.0,12,ac611d07f7c8a019e47ab5c5649cd8cdb2919be89570007638a30ed91f2ea52a,50,8,False
UGC11820,hubble__low_inc,1,45.0,10,908aeea68fd55247c189c5c82df43beba4df15e3a664e8148a02dc459cd90d83,50,8,False
UGC11914,hubble__low_inc,1,31.0,65,4a35feacacd16beb7c6480312e5d557ef8457b74999327ea96680f3313535dba,50,8,False
UGC12506,hubble__high_inc,1,86.0,31,6036404a7d65fd5a0186a80e89b6894b91c1ee4add1b7d5b18c6fbbd9513db51,36,5,False
UGC12632,hubble__low_inc,1,46.0,15,54677533158a1e1e3566047dd08e27647d9ee341f5c0bc85d15ad2372b26603d,50,8,False
UGC12732,hubble__low_inc,1,39.0,16,81b03c3d61d8fe47383691a5cd0da701795b6e5e0717e4081463d5170aeca9cf,50,8,False
UGCA442,non_hubble__high_inc,2,64.0,8,f4cbdbc263935b9480701bf7a17679efa9cec0e57c5fd3de478ee90a439eff82,47,7,False
UGCA444,non_hubble__high_inc,2,78.0,36,5653d81611ce2e58c7aeaf9d6454b4d54e91ea222d86e2b267497a451b5fa1c8,47,7,False
