parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
logd[9],-0.1969447002312234,0.06529376076565022,-0.318133217977428,-0.07269643236728628,0.001449884543232684,0.001179304270140458,2061.72455204375,1921.0029647896188,1.0004415105526414
logd[10],0.016673375912599358,0.11177731219928555,-0.19139452287634282,0.2270172636717611,0.0019475680836278928,0.0016934343089200924,3274.9992021030125,2584.8851828842935,1.0006224006613373
logd[11],0.13015677689931776,0.05693269275534146,0.027171970770980054,0.2418888460565537,0.0011930434014925234,0.0010356194031522332,2273.1646221311507,2289.25032908071,1.0015923008077101
logd[12],0.0013070891827916134,0.07276733864392541,-0.12922813780458275,0.1426594582680602,0.001327186401214969,0.0011985191228888743,3004.616387286151,2488.9467598712454,1.0022275942316758
logd[13],-0.21673278950802516,0.0720840404580039,-0.3540345397328753,-0.08692497086112615,0.0013636285244624203,0.0011312127898008264,2765.076628444237,1986.038380001273,1.0017380572810672
logd[14],0.39343464452242977,0.08018933791618196,0.25242077397978224,0.5391334762981078,0.0018814606131308943,0.0012815922913748938,1749.3986073317105,1676.0367417058171,1.0015204882126885
logd[15],-0.0883876232556228,0.02027830034642154,-0.12121199403080013,-0.05407063787017416,0.00037409408997573406,0.0002844336417578979,2421.5441512331386,1796.7110899285394,1.0017705916646114
logd[16],0.2887178263286002,0.037958055186060824,0.21711206297876645,0.35845794029008343,0.0009472036749198463,0.0006414746702218487,1592.5656192353117,1282.5315004298288,1.0018279549831826
logd[17],-0.04552694937446615,0.04571821505931352,-0.13019513903313132,0.04051438590673536,0.0007093732156241964,0.0007017845130822852,4150.1258576137325,3263.9402860119667,1.0007753266808201
logd[18],-0.25739402200000155,0.17102170003113576,-0.5579450230694933,0.08920203972113323,0.00242193189196507,0.0030455049577908146,5061.5434651206715,2681.656894008583,1.0005373379338827
logd[19],-0.2573790115949484,0.09908706133200978,-0.4420404424819659,-0.07523369658733246,0.0014900293706022073,0.001572691354658122,4451.819597899745,2510.9950117983963,1.0001614157820875
logd[20],0.3665748415743928,0.05684548840445329,0.26134048685216976,0.470253612416112,0.0008377170207056683,0.0009002366214570887,4608.048204019373,3206.1689912198376,1.001240169815933
logd[21],-0.08715824705631736,0.07435868068214523,-0.22483875489357286,0.05248135255313025,0.0009958071769594528,0.0012338873295173953,5627.2593025171545,2851.308362414382,0.9999039557512885
logd[22],0.3251544678066615,0.10427236121108277,0.13536900115508932,0.5266395227640474,0.0012951405353485875,0.0016659336689279337,6513.132482284418,2874.1208829580382,1.0009656915471556
logd[23],-0.12300976596318966,0.038841963490197216,-0.19444870120901603,-0.05470390187895474,0.0006050040620270403,0.0006029712596442195,3597.8596651287,2128.6288233616333,1.0009504187119491
