holdout_type,holdout_id,model,N_train,N_test,train_chi2,test_chi2,training_parameters,optimisation_success
survey_conditional,PantheonPlusSH0ES:survey=5,LCDM,3348,74,2986.480122162363,61.232053385190966,"{""Omega_m"": 0.33063340781427625}",True
survey_conditional,PantheonPlusSH0ES:survey=10,PATH_FREE,3219,203,2922.041760883904,131.36062031053024,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6237176122702096}",True
survey_conditional,PantheonPlusSH0ES:survey=10,PETER_FIXED,3219,203,3018.0106203387777,132.15852055010106,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,PantheonPlusSH0ES:survey=10,FRACTIONAL_FIXED,3219,203,7694.747960099033,409.15860850749823,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,PantheonPlusSH0ES:survey=10,LCDM,3219,203,2915.654837166651,133.085258351096,"{""Omega_m"": 0.3265725272509081}",True
survey_conditional,PantheonPlusSH0ES:survey=15,PATH_FREE,3153,269,2803.8227222096934,250.35540596737425,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6317346142827361}",True
survey_conditional,PantheonPlusSH0ES:survey=15,PETER_FIXED,3153,269,2887.0969552659335,267.55130180879155,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,PantheonPlusSH0ES:survey=15,FRACTIONAL_FIXED,3153,269,7654.051532849967,450.08342881721416,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,PantheonPlusSH0ES:survey=15,LCDM,3153,269,2801.7235129193527,246.3987124298363,"{""Omega_m"": 0.33255460628372185}",True
survey_conditional,PantheonPlusSH0ES:survey=50,PATH_FREE,3395,27,3031.987245454566,20.885352191101333,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.628623353309566}",True
survey_conditional,PantheonPlusSH0ES:survey=50,PETER_FIXED,3395,27,3128.918552826486,21.235898231220105,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,PantheonPlusSH0ES:survey=50,FRACTIONAL_FIXED,3395,27,7994.468215331609,87.90401107387622,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,PantheonPlusSH0ES:survey=50,LCDM,3395,27,3026.2616623420013,21.408968258533097,"{""Omega_m"": 0.33065057469670434}",True
survey_conditional,PantheonPlusSH0ES:survey=51,PATH_FREE,3384,38,3029.8833258804534,22.991687552024317,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6278818869674627}",True
survey_conditional,PantheonPlusSH0ES:survey=51,PETER_FIXED,3384,38,3128.0172966204254,22.12869689566024,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,PantheonPlusSH0ES:survey=51,FRACTIONAL_FIXED,3384,38,8049.48560165752,31.81082545034117,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,PantheonPlusSH0ES:survey=51,LCDM,3384,38,3023.7334685979436,23.94345479593691,"{""Omega_m"": 0.3302535862632436}",True
survey_conditional,PantheonPlusSH0ES:survey=56,PATH_FREE,3386,36,3010.484360314088,42.394583418261156,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6285574301135063}",True
survey_conditional,PantheonPlusSH0ES:survey=56,PETER_FIXED,3386,36,3106.7057821999697,43.50249944706822,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
