dataset,model,z_lower,z_upper,N,z_effective,residual_mean_mag,residual_sigma_mag
PantheonPlusSH0ES,Lambda-CDM,0.4,0.6,179,0.488468156424581,-0.008834577242688438,0.014610123320694076
PantheonPlusSH0ES,Lambda-CDM,0.6,0.9,102,0.696128823529412,-0.03086652793595121,0.02318180044311451
PantheonPlusSH0ES,Lambda-CDM,0.9,1.3,11,1.0843245454545456,0.14959009572433885,0.07553346962226754
PantheonPlusSH0ES,Lambda-CDM,1.3,1.8,13,1.4240238461538461,0.036412863435598845,0.0803173500811365
PantheonPlusSH0ES,Lambda-CDM,1.8,2.4,3,1.9914033333333332,-0.055971647759587476,0.14316363258710055
DES_Dovekie_raw,PLAMB,0.02,0.04,105,0.03168914285714285,-0.0409191754883043,0.016699663881044245
DES_Dovekie_raw,PLAMB,0.04,0.07,73,0.05168794520547945,-0.023151303840486675,0.018530484944273593
DES_Dovekie_raw,PLAMB,0.07,0.1,23,0.07682913043478261,-0.027830681302964802,0.02673878564524385
DES_Dovekie_raw,PLAMB,0.1,0.15,17,0.13156352941176472,-0.019115106250680726,0.03416310695427796
DES_Dovekie_raw,PLAMB,0.15,0.25,96,0.2137,-0.018729952835865454,0.015228815284587222
DES_Dovekie_raw,PLAMB,0.25,0.4,371,0.3318812938005391,0.003245109052715629,0.009854594911372168
DES_Dovekie_raw,PLAMB,0.4,0.6,583,0.5033880102915952,0.022647763532903493,0.008334803336190019
DES_Dovekie_raw,PLAMB,0.6,0.9,502,0.7040834262948207,0.01252926570608322,0.0093022942160237
DES_Dovekie_raw,PLAMB,0.9,1.3,50,0.9828797999999999,-0.06553188578752428,0.02929657046728142
DES_Dovekie_raw,Lambda-CDM,0.02,0.04,105,0.03168914285714285,0.02061748757499212,0.016699663881044245
DES_Dovekie_raw,Lambda-CDM,0.04,0.07,73,0.05168794520547945,0.028960046812256415,0.018530484944273593
DES_Dovekie_raw,Lambda-CDM,0.07,0.1,23,0.07682913043478261,0.013668961551923273,0.02673878564524385
DES_Dovekie_raw,Lambda-CDM,0.1,0.15,17,0.13156352941176472,0.002611466804934753,0.03416310695427796
DES_Dovekie_raw,Lambda-CDM,0.15,0.25,96,0.2137,-0.019025578497580777,0.015228815284587222
DES_Dovekie_raw,Lambda-CDM,0.25,0.4,371,0.3318812938005391,-0.014142716997631564,0.009854594911372168
DES_Dovekie_raw,Lambda-CDM,0.4,0.6,583,0.5033880102915952,0.0017322733054282692,0.008334803336190019
DES_Dovekie_raw,Lambda-CDM,0.6,0.9,502,0.7040834262948207,0.009516266282498662,0.0093022942160237
DES_Dovekie_raw,Lambda-CDM,0.9,1.3,50,0.9828797999999999,-0.01120498102926579,0.02929657046728142
Union3p1_UNITY1p8,PLAMB,0.04,0.07,1,0.05,-0.00596558748162079,0.028980983685569218
Union3p1_UNITY1p8,PLAMB,0.1,0.15,1,0.1,0.04204681218016548,0.02584281376280148
Union3p1_UNITY1p8,PLAMB,0.15,0.25,2,0.17500000000000002,0.029596158572459234,0.02179674244617397
Union3p1_UNITY1p8,PLAMB,0.25,0.4,3,0.30000000000000004,0.03337217508454445,0.020446154621526838
Union3p1_UNITY1p8,PLAMB,0.4,0.6,4,0.47500000000000003,0.06620635099686815,0.02033670568506953
Union3p1_UNITY1p8,PLAMB,0.6,0.9,6,0.7330230326322957,0.026879318033676866,0.02132938796562699
Union3p1_UNITY1p8,PLAMB,0.9,1.3,3,1.1076451413854638,0.02686418311253989,0.03823805877730269
Union3p1_UNITY1p8,PLAMB,1.3,1.8,1,1.3909612548337513,-0.08096881891202867,0.06847636866690449
Union3p1_UNITY1p8,PLAMB,1.8,2.4,1,2.2622599999999995,-0.5042275763358809,0.34666334996503334
Union3p1_UNITY1p8,Lambda-CDM,0.04,0.07,1,0.05,0.00959906507831558,0.028980983685569218
Union3p1_UNITY1p8,Lambda-CDM,0.1,0.15,1,0.1,0.036940174152501545,0.02584281376280148
Union3p1_UNITY1p8,Lambda-CDM,0.15,0.25,2,0.17500000000000002,-0.0007121733744963669,0.02179674244617397
Union3p1_UNITY1p8,Lambda-CDM,0.25,0.4,3,0.30000000000000004,-0.018497856110319594,0.020446154621526838
Union3p1_UNITY1p8,Lambda-CDM,0.4,0.6,4,0.47500000000000003,0.006426132389013915,0.02033670568506953
Union3p1_UNITY1p8,Lambda-CDM,0.6,0.9,6,0.7330230326322957,-0.01198757669774896,0.02132938796562699
Union3p1_UNITY1p8,Lambda-CDM,0.9,1.3,3,1.1076451413854638,0.06481218455057089,0.03823805877730269
Union3p1_UNITY1p8,Lambda-CDM,1.3,1.8,1,1.3909612548337513,0.04135935136577355,0.06847636866690449
Union3p1_UNITY1p8,Lambda-CDM,1.8,2.4,1,2.2622599999999995,-0.11549062031334163,0.34666334996503334
