model,gamma_c,full_chi2,full_p,full_alpha,low_z_chi2,low_z_p,low_z_alpha,high_z_conditional_chi2,high_z_delta_chi2_vs_LCDM,optimisation_success
GENERAL_FREE,0.2,3072.8783954321893,1.3191251317157366,1.1821178968893435,2101.4154653886053,0.19008013881238578,0.63691693282634,1302.497685705679,352.53132156314064,True
GENERAL_FREE,0.25,3074.234133822905,1.3843906198504126,1.1869452188168872,2101.4159390055584,0.3019994532610116,0.6679899991277461,1302.2355126220782,352.2691484795398,True
GENERAL_FREE,0.3,3075.212572840824,1.4452030576625958,1.1901941976211092,2101.4156395690593,0.401737011531175,0.6928972268855209,1300.841191245167,350.8748271026286,True
GENERAL_FREE,0.35,3075.8347390995255,1.5020330672661124,1.1920687921374375,2101.414807818194,0.4885285933829637,0.7112725590737382,1298.7829247284785,348.8165605859401,True
GENERAL_FREE,0.4,3076.124951783269,1.555274295475594,1.1927362941375355,2101.4136393248173,0.5618496431719797,0.7228674530420154,1296.41600532618,346.4496411836417,True
GENERAL_FREE,0.45,3076.109549166584,1.6052600785311597,1.1923356562622858,2101.412285584002,0.6215353282228476,0.7276107308910218,1293.9959062745027,344.02954213196426,True
GENERAL_FREE,0.5,3075.815971405653,1.652277073837275,1.1909842389476784,2101.410856909288,0.6678832538046504,0.7256607729275482,1291.6853719641358,341.7190078215974,True
GENERAL_FREE,0.55,3075.2720986449135,1.696570618370616,1.1887804130844102,2101.409427541541,0.7016408954506588,0.7173992395092431,1289.57250526496,339.6061411224216,True
GENERAL_FREE,0.6,3074.505774083531,1.7383535590178127,1.1858078609612048,2101.4080425600355,0.7239137301185922,0.7033854012552403,1287.6890912402866,337.72272709774825,True
GENERAL_FREE,0.65,3073.544462237907,1.7778116018385557,1.1821381409203606,2101.4067254787083,0.7360094992959421,0.6842781656281018,1286.0319461852127,336.06558204267435,True
GENERAL_FREE,0.7,3072.4150067395963,1.8151041909019523,1.177831028146998,2101.4054852857234,0.7392900150118319,0.6607621381361125,1284.5790462513667,334.61268210882827,True
GENERAL_FREE,0.75,3071.1434618194025,1.85037184071618,1.1729380597724082,2101.404322107554,0.7350567927836356,0.6334906074216808,1283.3012341422173,333.33486999967886,True
GENERAL_FREE,0.8,3069.754978549707,1.8837354797245134,1.1675021153808431,2101.4032312633344,0.7244770509790344,0.6030485318243516,1282.1710155857654,332.204651443227,True
GENERAL_FREE,0.85,3068.2737318596464,1.9153000477693722,1.161559113893409,2101.4022058941077,0.7085762226657891,0.5699497384412174,1281.1601391669813,331.19377502444286,True
GENERAL_FREE,0.9,3066.7228779053835,1.9451532805182499,1.1551373183734714,2101.4012385224232,0.688212391857328,0.5346235047155248,1280.247610079493,330.2812459369545,True
GENERAL_FREE,0.95,3065.1245339756597,1.9733676835749814,1.148258229378875,2101.4003218944135,0.6641028420553199,0.49742846672801905,1279.4158748386326,329.4495106960942,True
GENERAL_FREE,1.0,3063.499775016859,2.000000049458507,1.1409362553052282,2101.3994493796495,0.6368434625706834,0.45866249828462147,1278.6499914269432,328.6836272844048,True
GENERAL_FREE,1.05,3061.868642260456,2.0250902730329265,1.1331780289439377,2101.398615117137,0.6069213426661866,0.41856879201089225,1277.9393120230152,327.9729478804768,True
GENERAL_FREE,1.1,3060.2501604563454,2.048659045549703,1.1249811556842457,2101.397814026038,0.5747413127700164,0.37734954894949496,1277.274143368957,327.3077792264187,True
GENERAL_FREE,1.15,3058.6623609408107,2.0707049283825936,1.1163326378521823,2101.397041750872,0.5406354344548427,0.3351704797200939,1276.6473447789003,326.68098063636194,True
GENERAL_FREE,1.2,3057.1223082399147,2.0911972238049037,1.1072051681413662,2101.396294580439,0.5048778156583557,0.29216829409301104,1276.0534338954776,326.0870697529392,True
GENERAL_FREE,1.25,3055.646128128034,2.110067284615473,1.0975525951899188,2101.395569360984,0.46769566766912235,0.24845624744443726,1275.4882044498077,325.52184030726926,True
GENERAL_FREE,1.3,3054.2490349587406,2.1271917006854344,1.0873012330667242,2101.394863413752,0.42928252757613716,0.20413101845337142,1274.9466724293982,324.9803082868598,True
GENERAL_FREE,1.35,3052.9453554633174,2.1423696622663524,1.0763381099826397,2101.3941744612503,0.38979593293984727,0.1592710215801866,1274.42657194177,324.4602077992315,True
