model,eta10,clock_factor,li_suppression,stellar_depletion,chi2_total,chi2_yD,chi2_Yp,chi2_yLi,chi2_eta_cmb,sigma_yD,sigma_Yp,sigma_yLi,yD,Yp,yLi_bbn,yLi_surface,delta_neff
li_production_suppression_cmb,6.12,1.0,0.51,1.0,5.706804067446361,0.4198579989576115,0.5366469189189093,4.750299149569841,0.0,0.08063533716677819,0.00304138126514911,0.43917965162334194,2.4557511637158957,0.24722799999999998,2.4072,2.4072,0.0
li_production_suppression_cmb,6.12,1.0,0.515,1.0,5.878376198372099,0.4198579989576115,0.5366469189189093,4.921871280495577,0.0,0.08063533716677819,0.00304138126514911,0.44209472333426464,2.4557511637158957,0.24722799999999998,2.4308,2.4308,0.0
li_production_suppression_cmb,6.12,1.0,0.175,1.0,5.958045677487066,0.4198579989576115,0.5366469189189093,5.0015407596105455,0.0,0.08063533716677819,0.00304138126514911,0.27901829689108204,2.4557511637158957,0.24722799999999998,0.826,0.826,0.0
li_production_suppression_cmb,6.12,1.0,0.52,1.0,6.050477166933039,0.4198579989576115,0.5366469189189093,5.093972249056518,0.0,0.08063533716677819,0.00304138126514911,0.445018859825064,2.4557511637158957,0.24722799999999998,2.4544,2.4544,0.0
li_production_suppression_cmb,6.12,1.0,0.525,1.0,6.223021975585173,0.4198579989576115,0.5366469189189093,5.266517057708652,0.0,0.08063533716677819,0.00304138126514911,0.44795188357679666,2.4557511637158957,0.24722799999999998,2.4779999999999998,2.4779999999999998,0.0
li_production_suppression_cmb,6.12,1.0,0.53,1.0,6.395929657499918,0.4198579989576115,0.5366469189189093,5.439424739623397,0.0,0.08063533716677819,0.00304138126514911,0.4508936211569199,2.4557511637158957,0.24722799999999998,2.5016,2.5016,0.0
li_production_suppression_cmb,6.12,1.0,0.16999999999999998,1.0,6.40402622035643,0.4198579989576115,0.5366469189189093,5.44752130247991,0.0,0.08063533716677819,0.00304138126514911,0.27746446547260784,2.4557511637158957,0.24722799999999998,0.8023999999999999,0.8023999999999999,0.0
li_production_suppression_cmb,6.12,1.0,0.535,1.0,6.569123118818926,0.4198579989576115,0.5366469189189093,5.612618200942405,0.0,0.08063533716677819,0.00304138126514911,0.4538439031208858,2.4557511637158957,0.24722799999999998,2.5252,2.5252,0.0
li_production_suppression_cmb,6.12,1.0,0.54,1.0,6.742528985867697,0.4198579989576115,0.5366469189189093,5.786024067991176,0.0,0.08063533716677819,0.00304138126514911,0.45680256391574686,2.4557511637158957,0.24722799999999998,2.5488,2.5488,0.0
li_production_suppression_cmb,6.12,1.0,0.16499999999999998,1.0,6.872824119809129,0.4198579989576115,0.5366469189189093,5.916319201932608,0.0,0.08063533716677819,0.00304138126514911,0.27594730004114915,2.4557511637158957,0.24722799999999998,0.7787999999999998,0.7787999999999998,0.0
li_production_suppression_cmb,6.12,1.0,0.545,1.0,6.9160774572741275,0.4198579989576115,0.5366469189189093,5.959572539397607,0.0,0.08063533716677819,0.00304138126514911,0.45976944178577156,2.4557511637158957,0.24722799999999998,2.5724,2.5724,0.0
li_production_suppression_cmb,6.12,1.0,0.55,1.0,7.0897021609275015,0.4198579989576115,0.5366469189189093,6.133197243050981,0.0,0.08063533716677819,0.00304138126514911,0.4627443786800657,2.4557511637158957,0.24722799999999998,2.596,2.596,0.0
li_production_suppression_cmb,6.12,1.0,0.555,1.0,7.263340015704157,0.4198579989576115,0.5366469189189093,6.306835097827636,0.0,0.08063533716677819,0.00304138126514911,0.4657272201621889,2.4557511637158957,0.24722799999999998,2.6196,2.6196,0.0
li_production_suppression_cmb,6.12,1.0,0.16,1.0,7.364734399246375,0.4198579989576115,0.5366469189189093,6.408229481369854,0.0,0.08063533716677819,0.00304138126514911,0.27446740862987723,2.4557511637158957,0.24722799999999998,0.7552,0.7552,0.0
li_production_suppression_cmb,6.12,1.0,0.56,1.0,7.436931097878068,0.4198579989576115,0.5366469189189093,6.480426180001547,0.0,0.08063533716677819,0.00304138126514911,0.46871781532175627,2.4557511637158957,0.24722799999999998,2.6432,2.6432,0.0
li_production_suppression_cmb,6.12,1.0,0.5650000000000001,1.0,7.610418512127879,0.4198579989576115,0.5366469189189093,6.6539135942513585,0.0,0.08063533716677819,0.00304138126514911,0.47171601668800694,2.4557511637158957,0.24722799999999998,2.6668000000000003,2.6668000000000003,0.0
li_production_suppression_cmb,6.12,1.0,0.57,1.0,7.783748267046201,0.4198579989576115,0.5366469189189093,6.827243349169681,0.0,0.08063533716677819,0.00304138126514911,0.4747216801453247,2.4557511637158957,0.24722799999999998,2.6903999999999995,2.6903999999999995,0.0
li_production_suppression_cmb,6.12,1.0,0.155,1.0,7.880018549917155,0.4198579989576115,0.5366469189189093,6.923513632040635,0.0,0.08063533716677819,0.00304138126514911,0.273025397353433,2.4557511637158957,0.24722799999999998,0.7315999999999999,0.7315999999999999,0.0
li_production_suppression_cmb,6.12,1.0,0.575,1.0,7.956869155052448,0.4198579989576115,0.5366469189189093,7.000364237175928,0.0,0.08063533716677819,0.00304138126514911,0.4777346648506888,2.4557511637158957,0.24722799999999998,2.7139999999999995,2.7139999999999995,0.0
li_production_suppression_cmb,6.12,1.0,0.58,1.0,8.129732636606512,0.4198579989576115,0.5366469189189093,7.173227718729992,0.0,0.08063533716677819,0.00304138126514911,0.48075483315303236,2.4557511637158957,0.24722799999999998,2.7375999999999996,2.7375999999999996,0.0
li_production_suppression_cmb,6.12,1.0,0.585,1.0,8.302292728617884,0.4198579989576115,0.5366469189189093,7.3457878107413626,0.0,0.08063533716677819,0.00304138126514911,0.48378205051448525,2.4557511637158957,0.24722799999999998,2.7611999999999997,2.7611999999999997,0.0
li_production_suppression_cmb,6.12,1.0,0.15,1.0,8.418901791543137,0.4198579989576115,0.5366469189189093,7.462396873666616,0.0,0.08063533716677819,0.00304138126514911,0.2716218695171653,2.4557511637158957,0.24722799999999998,0.708,0.708,0.0
li_production_suppression_cmb,6.12,1.0,0.59,1.0,8.47450589694231,0.4198579989576115,0.5366469189189093,7.518000979065788,0.0,0.08063533716677819,0.00304138126514911,0.48681618543347543,2.4557511637158957,0.24722799999999998,2.7847999999999997,2.7847999999999997,0.0
li_production_suppression_cmb,6.12,1.0,0.595,1.0,8.646330952856697,0.4198579989576115,0.5366469189189093,7.689826034980176,0.0,0.08063533716677819,0.00304138126514911,0.4898571093696609,2.4557511637158957,0.24722799999999998,2.8084,2.8084,0.0
li_production_suppression_cmb,6.12,1.0,0.6,1.0,8.817728953401778,0.4198579989576115,0.5366469189189093,7.861224035525257,0.0,0.08063533716677819,0.00304138126514911,0.49290469667066467,2.4557511637158957,0.24722799999999998,2.832,2.832,0.0
li_production_suppression_cmb,6.12,1.0,0.605,1.0,8.988663105481708,0.4198579989576115,0.5366469189189093,8.032158187605187,0.0,0.08063533716677819,0.00304138126514911,0.49595882450058293,2.4557511637158957,0.24722799999999998,2.8556,2.8556,0.0
li_production_suppression_cmb,6.12,1.0,0.61,1.0,9.159098673609586,0.4198579989576115,0.5366469189189093,8.202593755733066,0.0,0.08063533716677819,0.00304138126514911,0.4990193727702362,2.4557511637158957,0.24722799999999998,2.8792,2.8792,0.0
li_production_suppression_cmb,6.12,1.0,0.615,1.0,9.329002891188306,0.4198579989576115,0.5366469189189093,8.372497973311786,0.0,0.08063533716677819,0.00304138126514911,0.5020862240691333,2.4557511637158957,0.24722799999999998,2.9027999999999996,2.9027999999999996,0.0
