scenario,model,galaxy,N_points,success,message,profile_objective,data_objective,prior_objective,logd,distance_pull,distance_multiplier,logeta_disk,disk_ml_multiplier,logeta_bulge,bulge_ml_multiplier,delta_inc_deg,inclination_pull,trial_inclination_deg,logeta_gas,gas_multiplier
stellar_ml_tight,RAR,NGC5985,33,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,498.5692010497357,482.5490833861418,16.020117663593933,0.1514420408503272,0.1418367498003692,1.16351086375507,0.6,1.8221188003905089,0.6,1.8221188003905089,0.0,0.0,60.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC5985,33,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,496.9401947543795,480.92649941290324,16.01369534147623,0.14525525090414648,0.11702709718790713,1.156334688076503,0.6,1.8221188003905089,0.6,1.8221188003905089,0.0,0.0,60.0,0.0,1.0
stellar_ml_tight,RAR,UGC09133,68,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,204.70760059436714,193.87166343653865,10.835937157828473,-0.2157497771830249,-1.6620204610248228,0.8059369404566858,0.42621187895420565,1.5314452217723387,0.42621187895420565,1.5314452217723387,0.0,0.0,53.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC09133,68,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,216.6634553617161,206.08223956593622,10.581215795779894,-0.2179706689575982,-1.6731444014044836,0.8041490278498875,0.4184382644741591,1.5195865092681224,0.4184382644741591,1.5195865092681224,0.0,0.0,53.0,0.0,1.0
stellar_ml_tight,RAR,NGC2903,34,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,245.58062214524523,228.61366623263535,16.96695591260987,0.41107392062873377,0.9833391645865991,1.508436857037792,-0.6,0.5488116360940265,-0.6,0.5488116360940265,0.0,0.0,66.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC2903,34,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,255.12157664826205,238.21078294484826,16.910793703413784,0.402378708564148,0.9543551243713132,1.495377537736098,-0.6,0.5488116360940265,-0.6,0.5488116360940265,0.0,0.0,66.0,0.0,1.0
stellar_ml_tight,RAR,NGC3521,41,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20.00941874623865,17.7618447120173,2.2475740342213513,0.2203056345502871,0.3489555075613064,1.2464576328940447,-0.218702062128343,0.8035610937743498,-0.218702062128343,0.8035610937743498,0.0,0.0,75.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC3521,41,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20.292406352045607,17.32443197960807,2.967974372437536,0.23063000832253497,0.3835197154075275,1.259393188238709,-0.2519324463173679,0.7772972455868272,-0.2519324463173679,0.7772972455868272,0.0,0.0,75.0,0.0,1.0
stellar_ml_tight,RAR,NGC4559,32,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.279979762185867,10.209271626005052,1.0707081361808148,-0.17904350665220403,-0.9837189263498601,0.8360695240197559,-0.048141637152703885,0.9529987974817539,-0.048141637152703885,0.9529987974817539,0.0,0.0,67.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC4559,32,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11.30020232199563,10.193777206477273,1.1064251155183573,-0.18066885488089426,-0.9891367537788275,0.834711723647958,-0.05367267415967282,0.947742276272733,-0.05367267415967282,0.947742276272733,0.0,0.0,67.0,0.0,1.0
stellar_ml_tight,RAR,NGC5033,22,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,97.1801925466363,97.16588555918952,0.014306987446793555,0.151459432063893,0.11820850951805997,1.1635310987969432,0.0027402652785864187,1.0027440232373022,0.0027402652785864187,1.0027440232373022,0.0,0.0,66.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC5033,22,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,102.78117217974079,102.76704236794706,0.014129811793739705,0.15091938511370792,0.11640452289722894,1.1629029070173873,-0.0036118518744799977,0.9963946630165342,-0.0036118518744799977,0.9963946630165342,0.0,0.0,66.0,0.0,1.0
stellar_ml_tight,RAR,NGC6195,23,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,126.63431413213777,106.20039868010491,20.43391545203286,-0.2845538068380128,-4.0,0.7523498728071458,0.31585296843743504,1.3714285975117138,0.31585296843743504,1.3714285975117138,0.0,0.0,62.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC6195,23,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,124.85865116146279,104.53343439727146,20.325216764191325,-0.2845538068380128,-4.0,0.7523498728071458,0.31195733232976725,1.366096403635096,0.31195733232976725,1.366096403635096,0.0,0.0,62.0,0.0,1.0
stellar_ml_tight,RAR,NGC6674,15,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,77.48293574567622,64.03680923011295,13.446126515563263,-0.09387350966339528,-1.0538449865594945,0.9103979114962487,0.5268297527161885,1.693554801599155,0.5268297527161885,1.693554801599155,0.0,0.0,54.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC6674,15,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,75.64223201863508,61.31301586272972,14.329216155905359,-0.10927376751077132,-1.1311482416365195,0.8964849554453047,0.5418659389141647,1.7192118153595082,0.5418659389141647,1.7192118153595082,0.0,0.0,54.0,0.0,1.0
stellar_ml_tight,RAR,UGC02885,19,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,44.465670042638315,39.83085712982203,4.6348129128162885,0.007934857596178001,-1.0813731365657602,1.007966422009856,0.27923558812842947,1.3221187826720275,0.27923558812842947,1.3221187826720275,0.0,0.0,64.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC02885,19,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43.83479228540741,39.21676838340859,4.618023901998819,0.005263303640827277,-1.1080886761192672,1.0052771791564379,0.276185945020269,1.3180929340591612,0.276185945020269,1.3180929340591612,0.0,0.0,64.0,0.0,1.0
stellar_ml_tight,RAR,UGC02916,43,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,227.5476846777154,225.06239075349262,2.485293924222783,0.1893924525548927,0.48930065277141527,1.2085151442839244,-0.22479384532712549,0.7986808535787759,-0.22479384532712549,0.7986808535787759,0.0,0.0,50.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC02916,43,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,229.8023047160396,226.85579368034223,2.9465110356973674,0.20530180840611437,0.5954712520234455,1.2278955982587187,-0.2414918487930751,0.7854552061708071,-0.2414918487930751,0.7854552061708071,0.0,0.0,50.0,0.0,1.0
stellar_ml_tight,RAR,UGC03205,48,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,184.62323320824464,171.26637798714404,13.356855221100597,-0.11763538886330674,-1.1685378005803038,0.8890201401719119,0.519428463956876,1.6810665849392885,0.519428463956876,1.6810665849392885,0.0,0.0,67.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC03205,48,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,183.23161164004537,170.41201625278373,12.819595387261634,-0.11559423384390526,-1.1583320254832963,0.8908366213225127,0.5081849091472822,1.6622712816684173,0.5081849091472822,1.6622712816684173,0.0,0.0,67.0,0.0,1.0
stellar_ml_tight,RAR,UGC03546,30,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.749481794551027,12.265612774610986,3.483869019940042,0.208898358707415,0.3700154972151069,1.232319737593514,-0.2744203799185034,0.7600125140983022,-0.2744203799185034,0.7600125140983022,0.0,0.0,55.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC03546,30,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.57681713327177,12.723242044740497,3.8535750885312736,0.21426424674852998,0.3914045231567736,1.2389500000506921,-0.28854548294009574,0.7493527216074514,-0.28854548294009574,0.7493527216074514,0.0,0.0,55.0,0.0,1.0
stellar_ml_tight,RAR,UGC05253,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,138.40849660883208,138.0933773462506,0.315119262581486,0.1197753145435289,0.014825521216563721,1.1272435478925018,0.08417385577659028,1.0878180008129976,0.08417385577659028,1.0878180008129976,0.0,0.0,37.0,0.0,1.0
