scenario,galaxy,group,matched_candidate,N_points,delta_profile_objective_plamb_minus_rar,delta_data_objective_plamb_minus_rar,rar_profile_objective,plamb_profile_objective,rar_distance_pull,plamb_distance_pull,rar_disk_ml_multiplier,plamb_disk_ml_multiplier,rar_bulge_ml_multiplier,plamb_bulge_ml_multiplier,rar_delta_inc_deg,plamb_delta_inc_deg,rar_gas_multiplier,plamb_gas_multiplier,both_optimisers_succeeded
combined_conventional,UGC08699,matched_control,UGC03580,41,-0.16763936367017962,-0.17706034110844726,10.667381395310901,10.499742031640722,0.1765289646583256,0.14697877176156335,1.1960337072195528,1.2160985133936513,1.009003198628058,1.0010747390149763,0.7674148504468583,0.6460782562663366,1.0081575141740653,1.0069746239170223,True
combined_conventional,UGC09133,candidate,UGC09133,68,1.260548281267809,1.2232585457587533,45.959728368662475,47.220276649930284,-1.1372627517351346,-1.1583562298293903,1.9590271575465399,1.9627926096920145,1.4872038323921069,1.4673458479167842,-6.280221136567754,-6.338162344706261,0.8681253191486175,0.8676678513227595,True
disk_bulge_decoupled,NGC2903,candidate,NGC2903,34,6.216802496767798,5.807910115428342,216.2958444241117,222.5126469208795,1.5426427137398868,1.5440256980860794,0.4164336890364408,0.41051412841632884,0.4164336890364408,0.41051412841632884,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,NGC3521,matched_control,NGC2903,41,-0.2981745638759037,-0.7914707083131951,18.134217174880554,17.83604261100465,0.5680226753647069,0.6254333828190505,0.7399759564428856,0.7100695436178233,0.7399759564428856,0.7100695436178233,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,NGC4559,matched_control,NGC2903,32,-0.0030465653379643243,-0.02532350999391042,11.18450722166307,11.181460656325106,-0.9521359788664029,-0.9538542989206761,0.9326749202800367,0.9251930644669822,0.9326749202800367,0.9251930644669822,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,NGC5033,matched_control,NGC5985,22,4.79743329121564,4.640883456060479,79.3435497624908,84.14098305370644,-0.2413575336384959,-0.24195514102673368,1.4038174559604955,1.3928534594206259,0.6633938820944678,0.651615871667181,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,NGC5985,candidate,NGC5985,33,22.894072134125793,33.92621359817744,259.55060826379196,282.44468039791775,2.818815321247936,2.0624874677554326,0.4754581310896754,0.7359612264922393,2.718281828459045,2.718281828459045,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,NGC6195,matched_control,UGC09133,23,-0.8906477876068308,-0.7105693885700965,37.94342023682212,37.05277244921529,-1.3346429072170232,-1.312010647432961,0.5380112474075323,0.5405002823154325,1.2789022712368716,1.2741700548049442,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,NGC6674,matched_control,UGC02487,15,-2.2103772184110255,-2.5531786465058346,73.45099369512226,71.24061647671124,-1.3012525973995304,-1.3999226460957463,1.8689375422727312,1.9179063284977063,1.5865524601735332,1.5370607284946776,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,UGC02487,candidate,UGC02487,17,-0.026589847561645286,-0.11869909119575084,42.68805437338044,42.66146452581879,-0.39931489070832865,-0.47096713865138917,2.0826308894681933,2.11474016583736,1.41670500064797,1.3730537644939929,0.0,0.0,1.0,1.0,True
