window_index,tag,bcut_deg,z_lo,z_hi,z_center,scan_N,N,n_controls,control_names,n_strata,min_stratum_N,raw_amp,raw_formal_snr,raw_priority,raw_l_deg,raw_b_deg,raw_sep_cmb_deg,residual_amp,residual_formal_snr,residual_priority,residual_l_deg,residual_b_deg,residual_sep_cmb_deg,residual_amp_par_cmb,residual_frac_par_cmb,residual_rms,amp_ratio_residual_vs_raw,snr_delta_residual_minus_raw,max_abs_su2_delta_mu,control_r2,control_rms_resid,control_k,control_beta_intercept,control_betas,control_centers,control_scales
14,z1p10_1p20,10.0,1.1,1.2,1.15,37929,37929,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,3792,0.0002977606907728,1.1539194082149633,0.0110065368063323,297.31080227877527,34.89887817324075,27.95097546575182,0.00040727308957320496,1.5791124035662423,0.015062194697006063,279.16361714339394,30.14573359765185,21.48958739627622,0.0003789611580031746,0.9304841584311416,0.02842424748660781,1.3677866225933968,0.42519299535127897,0.0095383930003905,0.007983611324128725,0.028426681067978195,8,1.1501589051543357,-0.0005380036827;-0.0002920396532;9.728025134e-06;0.0002979039052;0.001045090197;0.002090404137;-0.0008261934335,3.871201011;0.1268221226;0.005516050851;0.2666410733;-0.3811852649;0.3257301825;-0.02082427928,0.3757658873;0.2232364113;0.2303874321;0.1745955843;0.850875254;0.7428872444;0.6418218118
15,z1p20_1p30,10.0,1.2,1.3,1.25,37668,37668,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,3766,0.0005721408767321,2.58244733131789,0.0247922422547973,12.04050743718271,-81.47662296626933,140.208614537676,0.0004849441746149519,1.9711107346576517,0.018923233884396515,264.30059646586665,-45.51629306492274,93.76961204097488,-3.1882503069919114e-05,-0.06574468720081848,0.029013495536595848,0.8475957484191832,-0.6113365966602384,0.0096002895989926,0.011842535439289925,0.029016532810761057,8,1.248797462238218,0.0002028214329;-0.0004214855937;-0.0001995194618;0.0003983603438;0.00307839112;0.001660372283;-0.001182269407,3.871201011;0.1296409525;0.007066198924;0.2637859876;-0.1823567948;0.5387847557;-0.01991103237,0.3742090937;0.2215403114;0.2286707891;0.1738539086;0.8441550574;0.7462562118;0.6840672768
16,z1p30_1p40,10.0,1.3,1.4,1.35,40224,40224,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,4022,0.000448344732246,1.6108655873612026,0.0154644382802533,27.26816126924841,-6.331331938257208,116.42975807482344,0.0002997996263258356,1.055307942245808,0.010131040521050048,1.3665889130000555,10.861319979274894,86.73337227927811,1.708334027016777e-05,0.05698252689481619,0.02882759530081724,0.668681050012516,-0.5555576451153945,0.0096000798586715,0.006279484005477398,0.02882942803235834,8,1.3514108815121932,0.0002136238518;-0.0001974388586;-5.918299291e-05;-5.515139034e-05;0.002323552502;0.0004225703462;-0.0001643567819,3.891820298;0.1295213771;0.005524182811;0.2677522794;0.006868161693;0.6375088046;0.001336607059,0.3734112078;0.2244374692;0.2293604087;0.1748987878;0.8169991373;0.7373453895;0.7183955762
17,z1p40_1p50,10.0,1.4,1.5000000000000002,1.4500000000000002,42834,42834,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,4283,0.0004682210868298,1.7708525859207895,0.0169161954034275,289.52828294823735,2.075137051759105,51.129282353840885,0.000511982809925549,1.9473636035668531,0.018602329466250005,285.43306353741633,1.613920191002317,50.15948077028667,0.00032800325393124576,0.6406528648470503,0.0284779799916745,1.093463802307683,0.17651101764606358,0.0095525711953214,0.0021985872934618955,0.02848057066947135,8,1.449552707027252,0.0002078947482;0.000374911088;3.211590431e-05;-0.0001186584632;0.001589123795;0.0005105968478;-0.0007111976388,3.871201011;0.127627925;0.00691259801;0.2678274032;0.1804874085;0.7091388603;0.02789223357,0.3715612834;0.2240123838;0.2308112292;0.1746107618;0.8239831331;0.7638632352;0.7786990575
18,z1p50_2p50,10.0,1.5,2.5,2.0,275246,275246,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,27524,0.0027875378732517,2.6666694620081404,0.0236205489914161,203.16182684335445,-15.929231669627518,83.85631682187257,0.0033057030636894713,3.6862847812730735,0.03265199212458897,133.01344810145,-24.25380210901792,134.81457191438784,-0.002329907950473143,-0.7048146507970832,0.249574761767462,1.1858863319526218,1.019615319264933,0.0088576965866735,0.22431759174713128,0.24958273600132377,8,1.9213687082504864,-0.001821169569;0.002201384833;-0.0007070220565;-0.001998385381;-0.03856787074;-0.1324048645;0.01541181979,3.891820298;0.1241786629;0.00658167789;0.2672844293;0.1035447539;0.1599716089;0.006868540007,0.372518938;0.2243400459;0.2306623996;0.1748573377;0.8622621617;0.9721558944;0.8181096179
19,z1p50_1p60,10.0,1.5000000000000002,1.6000000000000003,1.5500000000000005,38498,38498,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,3849,0.0002075313553272,0.7443537236605702,0.0070486025711998,228.8496548163388,-9.067068754549291,65.17149464808715,0.00022137433672764385,0.7945755522640198,0.0075241744652768784,228.55492772533293,-9.497135455356688,65.6842521424582,9.115416923692054e-05,0.41176484403911384,0.02883808872295107,1.0667030838719218,0.05022182860344959,0.0094694260902414,0.0007400618261853564,0.028839823657657127,8,1.549242209481913,0.0002044321532;6.04429406e-05;-1.478984286e-06;-9.453620272e-07;-1.238510792e-06;-0.0008106137976;0.0002242305553,3.891820298;0.1224233305;0.006038801599;0.2676765549;0.2215176874;0.7198722398;0.03874822969,0.3711755288;0.2253362237;0.2310369619;0.1756638332;0.8224355318;0.7717878333;0.7727016921
20,z1p60_1p70,10.0,1.6000000000000003,1.7000000000000004,1.6500000000000004,36601,36601,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,3660,0.0005861851291997,2.432665272231916,0.0227692575833661,304.34227458327155,55.8298973138352,25.52150449072405,0.0005220220822066621,2.19395697728514,0.020534995962184308,310.79858192517986,58.87957449128613,29.02710362920765,0.00045645103007333626,0.8743902712771314,0.02876309802163802,0.8905413259448637,-0.23870829494677626,0.0093597988359803,0.002966889546246465,0.02876656161828288,8,1.649342448453149,-0.0001233529238;-0.0002256289409;5.651029843e-05;-2.082008773e-06;-0.0001434791209;-0.001575588262;5.527733526e-05,3.891820298;0.1226715384;0.005413614404;0.2682919625;0.2313136378;0.5942401137;0.02127455449,0.3713760928;0.2263277735;0.2310922917;0.1756609639;0.8303255305;0.7964086341;0.7611718969
21,z1p70_1p80,10.0,1.7000000000000004,1.8000000000000005,1.7500000000000004,34300,34300,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,3430,0.0007510803032586,2.7001400518033387,0.0249245991070372,100.9733415680062,-27.410360560751432,155.35060377628432,0.0004029895246780652,1.3813356776120946,0.012750908225569495,114.91611226005016,-17.921958159539763,140.64475850788483,-0.0003116032591367633,-0.7732291785641145,0.028700429771162352,0.5365465222955185,-1.318804374191244,0.0092308541886154,0.005470197363001472,0.028702902029548814,8,1.7494519807397224,0.0001120939945;0.0001601293462;-0.0004069572663;-0.0004043926825;-0.0002632446494;-0.002162089722;0.0002061864384,3.891820298;0.1274610601;0.00401367393;0.2693441975;0.2235245285;0.382125595;0.008449098785,0.3728110969;0.2235156156;0.2304156841;0.173660831;0.8496502883;0.8445606109;0.7595349999
22,z1p80_1p90,10.0,1.8000000000000005,1.9000000000000008,1.8500000000000003,31122,31122,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,3112,0.0004599845079458,1.5052371554710644,0.0136798732963059,189.9961862982293,19.9036801876189,64.76657676598347,0.000469421411524962,1.5674356566878316,0.014245144763843644,194.5783051469461,23.18978128351301,59.421986845233306,0.0002387998707379179,0.5087110746869276,0.02878641505495257,1.0205156987162576,0.06219850121676718,0.0090881847066981,0.002570629966247795,0.028789401814170952,8,1.848899523768358,-4.210826083e-05;0.0002010226831;-0.0001103693626;-0.0003227817927;-0.000900408723;-0.001000063921;-0.0003343801854,3.871201011;0.1252218065;0.006732121225;0.2685822809;0.1699125472;0.2445791295;-0.001855594719,0.3740210434;0.2242399011;0.2309379449;0.1744557177;0.8603083286;0.8565078658;0.7466430584
23,z1p90_2p00,10.0,1.9000000000000008,2.0000000000000004,1.9500000000000008,28768,28768,7,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,10,2876,0.0007009890189377,2.748884124441063,0.0245644235395932,271.1369052890615,-63.43193658382063,111.8264417396138,0.0006737288623559132,2.5920945223490137,0.02316332912526358,266.9356233718132,-57.77091336061482,106.05129797810989,-0.00018628460262130368,-0.2764978807199957,0.02859002644556699,0.9611118636022321,-0.1567896020920494,0.0089361436959762,0.0016198366438021639,0.028595353751369866,8,1.949276964672502,-0.0003131418831;-0.0003992669249;-0.000113974936;0.0001043428494;-0.0006399002043;-0.0009334420255;-5.341990901e-05,3.871201011;0.1254037818;0.005505162137;0.2663378648;0.1000717275;0.1143174315;-0.008734012745,0.3742994637;0.2232490688;0.2292030225;0.1737791447;0.8563827062;0.8888495725;0.7734385331
