label,n_bcuts,N_min,N_max,amp_mean,amp_min,amp_max,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score,mock_id
mock,5,118193,183527,0.0020657417165477095,0.0016176428540330622,0.0022911587122480055,3.3879773791898944,3.0524248322338146,49.41267702581484,0.9527588397838549,1.5385290137019845,63
mock,5,118193,183527,0.0015872570783732908,0.0010985220566657322,0.0025298260690129193,2.7603236714381922,2.2044177177874067,26.68997364023212,0.9794597987573782,1.6970737589958698,64
mock,5,118193,183527,0.002140391870292531,0.0019089326730447412,0.002426436824451628,3.9668949189185083,3.347222440559881,27.100119468780917,0.9844753679441423,2.437429596028706,65
mock,5,118193,183527,0.0021893964745670763,0.0014907841878745638,0.003285764237202375,3.960201165385793,3.3265233850074294,39.915764586359394,0.9666775778919172,2.0287245367518945,66
mock,5,118193,183527,0.0024585412505047956,0.0017193705181841957,0.0036138605341212364,4.085936241550954,3.4713080160117955,32.32839946150978,0.9796412257177373,2.3293359581836968,67
mock,5,118193,183527,0.00205425874860417,0.0016204909777986466,0.0030885594964927005,3.5109293779154993,2.797970636231394,29.85658995787213,0.9789645552988351,2.066196093866876,68
mock,5,118193,183527,0.001407728263258089,0.001253932519309638,0.00164186247230141,2.6377313185932993,2.5328094708171074,41.03503737945664,0.9531196937717862,1.3149679298606214,69
mock,5,118193,183527,0.001078390663769229,0.0008674992770455408,0.0014240231821146317,2.0048128953812108,1.7975571507346495,91.80830377037786,0.8406207813218225,0.5543372012028007,70
mock,5,118193,183527,0.0013075962940956199,0.001184673811574664,0.0014212257140229563,2.7769479345804715,2.369403236158035,52.438710955210304,0.9265501479988896,1.1882768896943448,71
mock,5,118193,183527,0.0015847040191331238,0.0013564089742827236,0.00206563629009649,2.761341164966073,2.614607055503005,36.53595746307654,0.9561957422102534,1.4572370719590424,72
mock,5,118193,183527,0.0017889905539383382,0.0015440374572588621,0.002085791651930599,3.3422716435286417,2.942303972343547,19.723167873788363,0.9888339509377955,2.297829822499004,73
mock,5,118193,183527,0.0010064465004671632,0.0008291799668703793,0.001163606342791056,1.7114451882862562,1.605872191817496,35.16719367928591,0.9748419551176214,0.9365113378485627,74
mock,5,118193,183527,0.001874941887009997,0.0015581859420446891,0.002178934024522883,2.968631677393331,2.629276145063824,30.811983159827278,0.9815859487105,1.7296542828556796,75
mock,5,118193,183527,0.0015389226019196583,0.0014302963056987532,0.0017825279334348328,3.1729838718989183,2.753707686684657,48.64891103900274,0.9323506513669217,1.421532932005291,76
mock,5,118193,183527,0.0017320214210003863,0.0015955663672532548,0.0018587944726427333,3.04602689453686,2.646056363705248,45.55627571607739,0.9552023879063928,1.445849515261659,77
mock,5,118193,183527,0.0016159022517868327,0.0015334112422370797,0.001721620561333994,3.246750784146669,3.065851015353757,19.30604783106069,0.9886136893305866,2.2461371374712757,78
mock,5,118193,183527,0.001327257834914522,0.0011155646943349484,0.0015372624161613623,2.8349311320261386,2.4191950589187448,68.2206081838177,0.886735651398473,0.9991339429793281,79
mock,5,118193,183527,0.0017273827747280707,0.0016223703496794789,0.0018453711507966418,3.5194060112565353,3.251752322513474,45.64042616952536,0.9537370400526501,1.6664358346447523,80
mock,5,118193,183527,0.0015966882878980845,0.0014607504248168148,0.0019754870876020664,3.044854189947376,2.8873626664375176,30.99225393207393,0.9720350831419644,1.7526355965790827,81
mock,5,118193,183527,0.0016948618033863223,0.0014159508217081102,0.0019954711126332018,2.518073765293648,2.207527884750017,25.441633203349742,0.9900922014219453,1.592675081356213,82
mock,5,118193,183527,0.0017289957107647566,0.0015113129572838888,0.0019605523087466137,2.9542168426621753,2.754526763006054,12.838901142596788,0.996427314207699,2.290237250684715,83
mock,5,118193,183527,0.0017274983239291303,0.0013835086289782888,0.002052211620467907,2.9237804824237017,2.766023444111443,28.720535065097163,0.9795388625314324,1.748197395043572,84
mock,5,118193,183527,0.0020152593448874694,0.0017044795782968287,0.0022111719306596197,3.63916319245036,3.005215647632428,34.02291022605304,0.9753879918550092,2.021335623647976,85
mock,5,118193,183527,0.0017365172303760907,0.0014030073722932112,0.002297921122109941,3.315476985929228,2.8179986285742826,32.87644016238437,0.967643504254934,1.853821121013235,86
mock,5,118193,183527,0.002029806839207739,0.001463052293987559,0.0023154657569458164,3.3656334559860084,2.9715639052494627,28.489427261889663,0.9782576925114524,2.016079895467947,87
mock,5,118193,183527,0.0017767611397861139,0.001590340803472315,0.0019079380316322473,3.268737856559537,2.8587093422062693,24.522756387891565,0.986823052697447,2.0878770016486508,88
mock,5,118193,183527,0.001343409925497973,0.0010612770692737068,0.0015895135851732782,2.732359696748322,2.399215817445941,25.311340566385276,0.9810459163234743,1.7155932960073532,89
mock,5,118193,183527,0.0013902876747631896,0.0011933670477432615,0.0015804380049882015,2.3322448310576154,2.0688959431326532,37.20361326424142,0.967696477975603,1.235477685988599,90
