fit_group,bcut_deg,quality_variable,smd_before,smd_after,abs_smd_before,abs_smd_after,weighted_ks_before,weighted_ks_after
wise_w1_only,15.0,w1,0.0024541039086530586,-3.341770203773443e-05,0.0024541039086530586,3.341770203773443e-05,0.004851295089196295,0.0038869475045869573
wise_w1_only,20.0,w1,0.00295406056362114,-4.3391081392226785e-05,0.00295406056362114,4.3391081392226785e-05,0.005227466074021414,0.004061006808850742
wise_w1_only,25.0,w1,0.0029299599468323536,-7.49128517586659e-05,0.0029299599468323536,7.49128517586659e-05,0.006110199001004513,0.0049418523288297656
wise_w1_only,30.0,w1,6.936234966654601e-06,6.920891281059649e-06,6.936234966654601e-06,6.920891281059649e-06,0.004339019806209987,0.004338852969419271
wise_w1_only,35.0,w1,0.003233823491045115,-2.1797161211003834e-05,0.003233823491045115,2.1797161211003834e-05,0.006592045636765298,0.005331623943730102
wise_w2_only,10.0,w2,0.003274766489820799,-1.795504221045116e-05,0.003274766489820799,1.795504221045116e-05,0.006397756500950258,0.005107135579268229
wise_w2_only,15.0,w2,-0.0024368728886906984,-7.132993186784961e-06,0.0024368728886906984,7.132993186784961e-06,0.0032931418747264574,0.004244864829442918
wise_w2_only,20.0,w2,-0.0017545386359309537,-2.7908855719186558e-05,0.0017545386359309537,2.7908855719186558e-05,0.003996162828166727,0.004671998008545453
wise_w2_only,25.0,w2,-0.0003030528697229019,-0.00030162643586366557,0.0003030528697229019,0.00030162643586366557,0.005341845930193934,0.005342039089513639
wise_w2_only,30.0,w2,-0.003427015745548211,-2.6534817671621974e-05,0.003427015745548211,2.6534817671621974e-05,0.0030126119148863595,0.004336619980969458
wise_w2_only,35.0,w2,-5.7420539598088883e-05,1.2754932266071717e-05,5.7420539598088883e-05,1.2754932266071717e-05,0.003865479265207805,0.0038922917991163763
wise_w1_w2_only,10.0,w1_w2,0.01798810574954316,3.352302662663581e-05,0.01798810574954316,3.352302662663581e-05,0.009118434315797952,0.003732586074496669
wise_w1_w2_only,15.0,w1_w2,0.019015045661164614,1.0565158623505308e-05,0.019015045661164614,1.0565158623505308e-05,0.009550679408257712,0.0038840763746962326
wise_w1_w2_only,20.0,w1_w2,0.018140968561313597,4.399986074273108e-05,0.018140968561313597,4.399986074273108e-05,0.009164164945915432,0.003458397165568061
wise_w1_w2_only,25.0,w1_w2,0.012162097547050311,0.00011684473251901034,0.012162097547050311,0.00011684473251901034,0.006713537002387415,0.004114055348479861
wise_w1_w2_only,30.0,w1_w2,0.013905390652811779,2.2612773482338637e-05,0.013905390652811779,2.2612773482338637e-05,0.00809018116593374,0.0034506434463541513
wise_w1_w2_only,35.0,w1_w2,0.012319542917249432,3.8138046608139867e-05,0.012319542917249432,3.8138046608139867e-05,0.008720866973166763,0.004578391652155345
wise_w1_plus_w2,10.0,w1,0.008382438092393103,-2.9259928447617252e-05,0.008382438092393103,2.9259928447617252e-05,0.0074360574628223874,0.004228614319313928
wise_w1_plus_w2,10.0,w2,0.003274766489820799,-2.9778155558845345e-05,0.003274766489820799,2.9778155558845345e-05,0.006397756500950258,0.005321454648989865
wise_w1_plus_w2,15.0,w1,0.0024541039086530586,-3.1676120517822284e-05,0.0024541039086530586,3.1676120517822284e-05,0.004851295089196295,0.004017015247077871
wise_w1_plus_w2,15.0,w2,-0.0024368728886906984,-5.3404699853600086e-05,0.0024368728886906984,5.3404699853600086e-05,0.0032931418747264574,0.0044292515214537365
wise_w1_plus_w2,20.0,w1,0.00295406056362114,-6.776706616192432e-05,0.00295406056362114,6.776706616192432e-05,0.005227466074021414,0.004137278050054927
wise_w1_plus_w2,20.0,w2,-0.0017545386359309537,-8.564630100846505e-05,0.0017545386359309537,8.564630100846505e-05,0.003996162828166727,0.004834210514455095
wise_w1_plus_w2,25.0,w1,0.0029299599468323536,-0.0002920969676361052,0.0029299599468323536,0.0002920969676361052,0.006110199001004513,0.004917379767957253
wise_w1_plus_w2,25.0,w2,-0.0003030528697229019,-0.00028086701301302785,0.0003030528697229019,0.00028086701301302785,0.005341845930193934,0.005470195998437233
wise_w1_plus_w2,30.0,w1,6.936234966654601e-06,0.0001421104970863549,6.936234966654601e-06,0.0001421104970863549,0.004339019806209987,0.004470958593484731
