fit_group,bcut_deg,quality_variable,smd_before,smd_after,abs_smd_before,abs_smd_after,weighted_ks_before,weighted_ks_after
wise_colour_quality,30.0,w1_w2,0.013905390652811779,0.00016703132823834917,0.013905390652811779,0.00016703132823834917,0.00809018116593374,0.003468175128784612
wise_colour_quality,35.0,w1,0.003233823491045115,0.00015943067095889276,0.003233823491045115,0.00015943067095889276,0.006592045636765298,0.0051226906970567865
wise_colour_quality,35.0,w2,-5.7420539598088883e-05,0.0001551277348036894,5.7420539598088883e-05,0.0001551277348036894,0.003865479265207805,0.0038833768786904477
wise_colour_quality,35.0,w1_w2,0.012319542917249432,-3.3226572942391084e-05,0.012319542917249432,3.3226572942391084e-05,0.008720866973166763,0.0045759601498485125
pm_error_quality,10.0,pmra_error,-0.029204349438653833,-2.0470885255295923e-05,0.029204349438653833,2.0470885255295923e-05,0.015087520881424177,0.006000977411675379
pm_error_quality,10.0,pmdec_error,0.02133201395819379,-7.500466663383796e-05,0.02133201395819379,7.500466663383796e-05,0.01754021386579907,0.006383384827855165
pm_error_quality,15.0,pmra_error,-0.04120029863393305,2.2912182971352677e-06,0.04120029863393305,2.2912182971352677e-06,0.020097866387269903,0.006186212277660141
pm_error_quality,15.0,pmdec_error,0.02018183068063312,2.289520094468899e-05,0.02018183068063312,2.289520094468899e-05,0.01799097458239729,0.006756593924007737
pm_error_quality,20.0,pmra_error,-0.04632620943353546,-7.929706476864143e-05,0.04632620943353546,7.929706476864143e-05,0.02272700221046703,0.006447058307886722
pm_error_quality,20.0,pmdec_error,0.021988944844732555,0.00011341238947700305,0.021988944844732555,0.00011341238947700305,0.019310957030061693,0.007276664316907433
pm_error_quality,25.0,pmra_error,-0.046974334306777214,-4.4741842164032376e-05,0.046974334306777214,4.4741842164032376e-05,0.02164539043632574,0.008231112919273587
pm_error_quality,25.0,pmdec_error,0.01651353299784521,-0.00032353138500135887,0.01651353299784521,0.00032353138500135887,0.017147080814247873,0.00732240817611618
pm_error_quality,30.0,pmra_error,-0.0542821577994468,-0.000219426421626057,0.0542821577994468,0.000219426421626057,0.02629333039905224,0.0088727856697296
pm_error_quality,30.0,pmdec_error,0.02154488443718579,0.00010979677667633879,0.02154488443718579,0.00010979677667633879,0.01965378241293636,0.008190178744886034
pm_error_quality,35.0,pmra_error,-0.04880486280211527,-6.056207265159173e-06,0.04880486280211527,6.056207265159173e-06,0.0271316477053114,0.008185163097372716
pm_error_quality,35.0,pmdec_error,0.015238913445215158,8.471963357665349e-06,0.015238913445215158,8.471963357665349e-06,0.01613410118118841,0.008399311700362455
all_catalogue_quality,10.0,zerr,-0.0027276454868637007,0.00011082614432686052,0.0027276454868637007,0.00011082614432686052,0.002807725442473874,0.0028456801919625185
all_catalogue_quality,10.0,g,0.0017184338373004604,0.00023358462286702297,0.0017184338373004604,0.00023358462286702297,0.006629614174598397,0.005256122152758835
all_catalogue_quality,10.0,bp_rp,0.01706192814491744,-0.00014555239207069142,0.01706192814491744,0.00014555239207069142,0.012908685254490904,0.003416306097495103
all_catalogue_quality,10.0,w1,0.008382438092393103,-0.00011567242261115499,0.008382438092393103,0.00011567242261115499,0.0074360574628223874,0.003012919869555958
all_catalogue_quality,10.0,w2,0.003274766489820799,-0.00010746830558635233,0.003274766489820799,0.00010746830558635233,0.006397756500950258,0.004120840405541393
all_catalogue_quality,10.0,w1_w2,0.01798810574954316,3.767747073763159e-06,0.01798810574954316,3.767747073763159e-06,0.009118434315797952,0.0032120795385276457
all_catalogue_quality,10.0,pmra_error,-0.029204349438653833,-4.340221418785234e-05,0.029204349438653833,4.340221418785234e-05,0.015087520881424177,0.004785863724180217
all_catalogue_quality,10.0,pmdec_error,0.02133201395819379,-0.00014367058628010642,0.02133201395819379,0.00014367058628010642,0.01754021386579907,0.002269084041815028
all_catalogue_quality,15.0,zerr,-0.0037048814660847564,0.00014129684130363414,0.0037048814660847564,0.00014129684130363414,0.0022740703264339523,0.0025889333210680765
all_catalogue_quality,15.0,g,0.0004079036083554705,-0.00021940507423410754,0.0004079036083554705,0.00021940507423410754,0.006395459060052011,0.0036318826497827583
all_catalogue_quality,15.0,bp_rp,0.02050968725877292,0.00020678238004558905,0.02050968725877292,0.00020678238004558905,0.014246681767179248,0.002865827297894419
all_catalogue_quality,15.0,w1,0.0024541039086530586,2.154889833925924e-05,0.0024541039086530586,2.154889833925924e-05,0.004851295089196295,0.0032425592766258116
all_catalogue_quality,15.0,w2,-0.0024368728886906984,2.7283978298223507e-05,0.0024368728886906984,2.7283978298223507e-05,0.0032931418747264574,0.003649432539966857
all_catalogue_quality,15.0,w1_w2,0.019015045661164614,-3.0119626468625562e-05,0.019015045661164614,3.0119626468625562e-05,0.009550679408257712,0.0031997230000424537
all_catalogue_quality,15.0,pmra_error,-0.04120029863393305,4.080272250551649e-05,0.04120029863393305,4.080272250551649e-05,0.020097866387269903,0.00484399408232894
all_catalogue_quality,15.0,pmdec_error,0.02018183068063312,-0.00036544634532890795,0.02018183068063312,0.00036544634532890795,0.01799097458239729,0.0026656799698527855
all_catalogue_quality,20.0,zerr,-0.004501936826001963,3.587068966253723e-06,0.004501936826001963,3.587068966253723e-06,0.0021330398720932897,0.0023337147469899566
all_catalogue_quality,20.0,g,0.0008321741499193534,-3.8784334587477245e-05,0.0008321741499193534,3.8784334587477245e-05,0.006743063548000805,0.0038875896260530673
all_catalogue_quality,20.0,bp_rp,0.02282341590391333,0.0001831728162361305,0.02282341590391333,0.0001831728162361305,0.01687455415592265,0.002816406233134172
all_catalogue_quality,20.0,w1,0.00295406056362114,7.793159983720287e-05,0.00295406056362114,7.793159983720287e-05,0.005227466074021414,0.003277792751819719
all_catalogue_quality,20.0,w2,-0.0017545386359309537,6.219339830664291e-05,0.0017545386359309537,6.219339830664291e-05,0.003996162828166727,0.004238909063878693
all_catalogue_quality,20.0,w1_w2,0.018140968561313597,3.898725439719643e-05,0.018140968561313597,3.898725439719643e-05,0.009164164945915432,0.0028181594529333998
all_catalogue_quality,20.0,pmra_error,-0.04632620943353546,0.00019496744098584405,0.04632620943353546,0.00019496744098584405,0.02272700221046703,0.005393910811474667
all_catalogue_quality,20.0,pmdec_error,0.021988944844732555,0.00010905898314248731,0.021988944844732555,0.00010905898314248731,0.019310957030061693,0.0035217183156635024
