fit_group,n_bcuts,N_min,N_max,ess_min,ess_max,amp_mean,amp_min,amp_max,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score,amp_ratio_vs_baseline,snr_delta_vs_baseline,max_direction_sep_vs_baseline_deg,mock_id
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.001270878951829946,0.0007292541784708849,0.0022592887694827773,2.4999431159802636,1.6960603824959775,166.82068191578557,0.24499294526371973,0.1301151472303683,0.4207972969526515,-2.285256407544755,161.92187846432404,54
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0013254154634000266,0.0008411058441901113,0.0017209414854006191,2.4109122642684295,1.8843572727571882,152.7126181836006,0.42312305782862897,0.2321807583418502,0.43885473398933605,-2.374287259256589,148.1069402745933,55
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0009803896698662874,0.0006645149797638302,0.001751353056481016,2.749792374488699,1.4077700108776596,129.05342878744364,0.6892204912866814,0.4899909005057113,0.3246141754460641,-2.0354071490363195,148.96623199087256,56
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.001112764299946234,0.0009307119684156196,0.0012826627029772861,2.0238899552365623,1.6268024427874703,154.4432103328842,0.5290086252904075,0.24156994792015882,0.3684443816529902,-2.761309568288456,153.2540574315061,57
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0011177954724266143,0.00045179241092788483,0.0015561457228572652,2.4034676844255984,1.7728807459781806,172.0411736664613,0.3436198634288738,0.17123278988356544,0.37011023958320316,-2.38173183909942,159.8709666026883,58
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0010853905628376845,0.0007279448631872297,0.0016803850400800996,2.6362501020197198,1.5459440339994608,165.92690260831276,0.17840135519291841,0.10033796697120013,0.35938073749853783,-2.1489494215052987,150.76138329639494,59
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0009441812419232837,0.00045492412322118705,0.0014362394563469422,2.210518395619172,1.3693088639199889,157.66398846663623,0.11235113897514896,0.0551451777933396,0.3126253006729145,-2.5746811279058464,152.95068740567893,60
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0014373289165427433,0.0010309931767873278,0.002393280701466533,3.760475074502297,2.1624919770168765,166.97080353500309,0.4834344781343926,0.3859373431094457,0.47591009516852867,-1.0247244490227216,157.99163533745775,61
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0015120359548687855,0.0009679248720827356,0.002242087233067139,2.4358142752140126,2.017117415843407,153.09575844214314,0.49627371107039736,0.27460141989173104,0.500646140836506,-2.349385248311006,141.60645360449635,62
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0009659028805019653,0.0006612410933156021,0.0012505732581946513,1.870570834489928,1.4588057998468686,158.52029668782856,0.3644008612350719,0.15071564624372225,0.31981749375009966,-2.9146286890350908,153.24219753624686,63
