direction_label,amp_scale,bcut_deg,n_mocks,raw_pass_rate,matched_pass_rate,scanlaw_colour_pass_rate,raw_snr_p50,raw_snr_p95,matched_snr_p50,matched_snr_p95,scanlaw_colour_snr_p50,scanlaw_colour_snr_p95,raw_sep_p50_deg,matched_sep_p50_deg,scanlaw_colour_sep_p50_deg,raw_amp_ratio_p50,matched_amp_ratio_p50,scanlaw_colour_amp_ratio_p50,scanlaw_colour_delta_bic_p50,scanlaw_colour_delta_bic_p05,scanlaw_colour_delta_bic_p95
cmb,0.25,25.0,500,0.0,0.0,0.0,3.3053496995213734,4.866103676056099,1.7489583679805696,3.070733240617537,2.807561759464111,4.448545362538579,143.82183278379853,73.49124455104041,121.34936417559166,2.981435474887686,1.921017121767435,2.855676500155668,27.944443818138097,16.037608757370617,33.941511509275
cmb,0.25,35.0,500,0.0,0.0,0.0,3.24493309647388,4.826862117114084,1.6220494924753668,2.8896075019777276,2.8133758397963673,4.4312233173588504,139.58369614971548,77.08481392889894,121.07717987157416,3.2279845327060563,2.1464531117606995,3.322026690948354,27.124662705289666,15.40428058310863,33.16768749415423
cmb,0.5,10.0,500,0.0,0.02,0.0,2.9559804211272427,4.574139571728352,2.5853589765567246,4.096756189812229,2.610178848761616,4.105381361955016,126.42052452751821,50.517081882892704,100.48890179437481,1.2534906210845476,1.2573022203825701,1.2034612551153674,29.68799557010061,19.646899626879897,35.16381459340628
cmb,0.5,15.0,500,0.0,0.006,0.0,2.896730110716619,4.455844200612947,2.4819145506933937,3.9879575566711516,2.623845895915972,4.190887143247891,127.79127706149916,49.42362603827673,98.71233218399215,1.2510330394593696,1.2352019647201904,1.24120627509732,29.475457451611874,18.796602825296578,34.836332856027
cmb,0.5,25.0,500,0.0,0.008,0.0,2.5526700333791883,4.097988215528989,2.075688787277651,3.57122303205455,2.4462330518378197,3.8475162242621983,126.22073077633154,49.24847782319043,100.14861812816972,1.2118107935934337,1.1545039503581114,1.289556980345882,29.8429481559142,21.023559445868887,34.861838404202715
cmb,0.5,35.0,500,0.0,0.002,0.0,2.4189795059957238,3.7549793656967996,1.923528655281142,3.272750254738355,2.303003369464257,3.544691963104935,118.4277705700861,52.77676881844394,95.57956257698119,1.3531634576873428,1.2683872218795569,1.5068107512529187,29.73599813288456,22.474871494116087,34.13008323015601
cmb,1.0,10.0,500,0.0,0.52,0.0,2.2164039438445986,3.6875061036213244,4.3276653735689985,5.831473345841739,2.6136255590786255,4.129219979120747,73.68085124929573,27.789025484178993,53.43528899064455,0.5373355285944246,0.998491180526131,0.6948857883767583,29.6699999243574,19.45056752137025,34.724869114591264
cmb,1.0,15.0,500,0.006,0.524,0.0,2.0571074785726293,3.5100782057418796,4.07781330291501,5.827689738049697,2.5112711825568588,3.9572377256156783,73.56947834099415,26.580861448697974,54.7386424747084,0.5058945294659817,0.9682827090004682,0.7046047731403802,30.053598531798343,20.700347591128956,35.125392651899894
cmb,1.0,25.0,500,0.006,0.564,0.0,1.8652968364733593,3.190339959445928,3.8590432023580172,5.345115183018307,2.155141881619535,3.537403427252639,64.5180788140377,24.29643271445955,51.894795639306814,0.5191399948231293,0.9814921979628342,0.7252024058188534,31.182418220560066,23.31370723969012,34.8379090764487
cmb,1.0,35.0,500,0.0,0.356,0.0,1.791272446241738,3.2882133954861468,3.4213548506771625,4.957863787290258,2.021991113451916,3.5384728462489496,66.20381832647278,28.481478928345638,55.14124676642556,0.6158377879082546,1.0336045095429935,0.8347300282154364,30.9514314196349,22.51884814205769,34.531081154511774
cmb,1.5,10.0,500,0.194,0.908,0.0,3.4340613053253914,4.9570850960444055,6.517610813205559,7.976575778344426,3.703282343102587,5.12370489774745,35.59805023493902,17.762570551907203,29.22537908538134,0.534671158247609,0.9681816720470715,0.6978196990424466,22.786729111903696,10.249250631014002,31.45028830602968
cmb,1.5,15.0,500,0.24,0.92,0.0,3.3748911908382278,4.8438925468591885,6.324389690222063,7.900941309268146,3.6124104012152816,5.119200835267391,33.956113808178884,17.15935067016567,29.877564417809815,0.5473104758202743,0.9723631261130652,0.7264786889884073,23.310523655847646,10.15443071659829,32.39884083525685
cmb,1.5,25.0,500,0.214,0.924,0.0,3.09380555204804,4.62641448938672,5.780971689519427,7.396158201748827,2.9169687504662036,4.561310604361734,32.356033507614754,16.954928600884635,32.12124290212396,0.5542359023060188,0.9643425239419845,0.7157587578014428,27.318231635770644,15.021679069107632,33.50514995492412
cmb,1.5,35.0,500,0.168,0.842,0.0,2.739016817356932,4.396559892875867,5.152607652847706,6.736234127374269,2.463418589246065,4.080841283138,35.40292269741678,19.21850812495107,33.935905901517515,0.5957118683860148,0.9662542274315844,0.7440730421104782,28.971377733112604,18.386566780324213,33.659418846184415
