window_index,tag,bcut_deg,z_center,N,ess,baseline_snr,baseline_amp,weighted_snr,weighted_amp,weighted_l_deg,weighted_b_deg,weighted_priority,amp_ratio_weighted_vs_baseline,direction_sep_weighted_vs_baseline_deg
18,z1p50_2p50,10.0,2.0,275246,274946.7323203298,2.66666946202291,0.0027875378732304616,0.7216845889264948,0.000765412462665547,201.37527803391671,-11.3624429918546,0.0063924631199890804,0.27458369983634157,4.885465860562376
19,z1p50_1p60,10.0,1.5500000000000005,38498,38431.94563971641,0.7443537236577165,0.00020753135533074614,0.6398542492599412,0.00017797281340013887,230.90724682169068,-9.946666374488927,0.0060590525218939114,0.8575707180078916,2.211737599006842
20,z1p60_1p70,10.0,1.6500000000000004,36601,36230.31642485758,2.432665272162383,0.0005861851291762906,2.503938350379212,0.0006090839541853984,306.0340348673348,55.0686165108144,0.02343635925724578,1.0390641520389392,1.2247299585420008
21,z1p70_1p80,10.0,1.7500000000000004,34300,34101.56309783917,2.70014005180104,0.0007510803032666048,2.726303578324234,0.000764850642405808,100.40267633649293,-25.994330934480036,0.025166110805411406,1.0183340437491346,1.5049976201539066
22,z1p80_1p90,10.0,1.8500000000000003,31122,30978.6857864345,1.5052371554741322,0.0004599845079419818,1.3395425079883696,0.0004074084525944481,190.7522138840591,21.611930196666886,0.012174009735071918,0.8857003780784609,1.8487413706086868
23,z1p90_2p00,10.0,1.9500000000000008,28768,28493.651281409606,2.74888412443567,0.0007009890189384564,2.960970612026315,0.0007598112143552367,279.79582553036647,-62.33986588842547,0.02645965886862975,1.0839131481772106,4.091153424678798
24,z2p00_2p10,10.0,2.0500000000000007,24674,24602.072638049496,0.5544620826500396,0.0001867355770141216,0.3741894737773396,0.00012823985231319695,275.582550393637,-5.525295368192036,0.0032846760822706203,0.6867456880136934,7.387643815647587
25,z2p10_2p20,10.0,2.1500000000000004,21856,21649.372206669465,1.6045083105730147,0.0005568053022549548,1.6104768587360911,0.0005541497709279319,258.5498143367026,32.28519165010705,0.013876984414922702,0.9952307721994231,3.741486007239719
26,z2p20_2p30,10.0,2.250000000000001,20525,20413.40775906978,1.0615367437097627,0.00037377220621086254,1.1948248461489652,0.0004247353187290218,46.548443684588996,-29.5673285535908,0.010100934083449654,1.1363480528282206,7.788351191981349
27,z2p30_2p40,10.0,2.3500000000000005,20277,20219.391056511704,1.656402585477094,0.0006392082726001019,1.6906760569192334,0.0006534898005890692,13.944942833594563,-12.507591331288257,0.014017864765654971,1.0223425268432063,3.3768300188940668
28,z2p40_2p50,10.0,2.45,18624,18578.567557023714,1.179406923064324,0.00041804601866531104,1.1102793478175559,0.0003984388374544834,60.9753364079989,38.172779369311776,0.009026548989590679,0.9530980314716854,3.124457199418662
29,z0p10_0p30,15.0,0.2,12476,12453.95525061656,2.175819646163449,0.0016964098439581255,0.924861158159738,0.0007205152708243241,194.47120128931715,9.589792303546663,0.00044420356518506965,0.4247294799605687,6.218439053123785
30,z0p30_0p40,15.0,0.35,17559,17548.138731605755,2.088642470078212,0.0008059635024391742,1.692494473863583,0.000650517318807905,212.35122764773257,-28.921147909233895,0.005561833022019592,0.8071299963821864,2.163947717971668
31,z0p30_0p50,15.0,0.4,37597,37555.788442413424,2.550556851516549,0.0014113228805462078,1.3178687350126623,0.0007253798998151344,244.52451525620268,-13.542818841297683,0.005568333527951067,0.5139716147267442,3.0040878989215787
32,z0p40_0p50,15.0,0.45,20038,19992.1738841837,2.1834961144980682,0.0008766873377230131,2.2986254111869773,0.0009267605530520618,338.1152044944815,-9.676619494233105,0.01161668899229637,1.057116389360775,1.5162130972012888
