mock_id,max_snr,max_snr_window_index,max_snr_tag,max_snr_bcut_deg,max_snr_amp,max_snr_l_deg,max_snr_b_deg,max_snr_sep_cmb_deg,max_priority,max_priority_window_index,max_priority_tag,max_priority_bcut_deg,max_priority_snr,max_priority_amp,max_priority_l_deg,max_priority_b_deg,max_priority_sep_cmb_deg,max_abs_par_cmb,max_abs_par_cmb_window_index,max_abs_par_cmb_tag,max_abs_par_cmb_bcut_deg,max_abs_par_cmb_snr,max_z1p00_snr,max_z1p00_snr_bcut_deg,max_z1p00_priority,max_z1p00_priority_bcut_deg
767,3.5072207859531686,144,z0p40_0p50,35.0,0.0020976221342942068,308.3306419241515,-3.8363462645101323,64.81932249670157,0.029323538701359182,134,z1p80_1p90,30.0,3.2265561988135416,0.0009291720451665568,188.68942530668562,51.12295640033714,46.634034358789776,0.0014283803734799593,29,z0p10_0p30,15.0,3.0227841256526142,2.8402029553476744,25.0,0.02726677089125232,25.0
768,4.194387371470748,61,z0p50_0p60,20.0,0.0015121618868679091,252.81481326729076,24.15734326550862,25.67289926484882,0.0313698346158081,25,z2p10_2p20,10.0,3.640588704330453,0.0013808110556871455,131.17261982565415,-19.727949915634806,132.69399823706917,0.0022568381270920237,74,z1p50_2p50,20.0,3.3013813462638253,1.7547268965313088,25.0,0.016845886373842087,25.0
769,3.6576170491820057,30,z0p30_0p40,15.0,0.001505207595498978,145.93097769865255,-8.823875379481569,115.10355696115775,0.033301980902682715,127,z1p20_1p30,30.0,3.4688517007004913,0.0013364261128388794,322.72173251813064,-10.16396220154489,77.9466391724062,0.002010454958483529,141,z0p10_0p30,35.0,2.5340634271703255,2.384426602567615,35.0,0.022891185912191137,35.0
770,3.1417591821478963,135,z1p90_2p00,30.0,0.0010873857404199252,76.25299922596516,-34.44121684176294,165.02665938286444,0.028075211509826267,135,z1p90_2p00,30.0,3.1417591821478963,0.0010873857404199252,76.25299922596516,-34.44121684176294,165.02665938286444,0.0014062335175992389,158,z1p50_2p50,35.0,1.5561072022221525,2.6980261469582794,10.0,0.02590183235645365,10.0
771,3.971995043867229,117,z0p50_0p60,30.0,0.0015018633044250607,260.753323311594,36.44718577157956,12.04725112304336,0.031877789412531506,47,z1p50_1p60,15.0,3.3663908571378753,0.000770129695222493,306.7179177933986,-56.029250775078545,110.20077891355426,0.0019361804609215822,74,z1p50_2p50,20.0,2.3371624586898703,2.5774789966607368,25.0,0.024744544803263952,25.0
772,4.267037057869945,124,z1p00_1p10,30.0,0.0016833343588204652,307.80869674494886,13.532477510986427,50.065176029956504,0.04009166918242136,124,z1p00_1p10,30.0,4.267037057869945,0.0016833343588204652,307.80869674494886,13.532477510986427,50.065176029956504,0.0011647784137627766,3,z0p30_0p50,10.0,2.8645440111185327,3.418824125272472,35.0,0.032821701690638284,35.0
773,3.6704760921127724,48,z1p60_1p70,15.0,0.0009097130616604262,154.1357176822569,-53.50411477256621,137.26368831975685,0.03435491785445065,48,z1p60_1p70,15.0,3.6704760921127724,0.0009097130616604262,154.1357176822569,-53.50411477256621,137.26368831975685,0.0015214121411539416,74,z1p50_2p50,20.0,1.9890018438637986,1.988779137234335,10.0,0.019092855665884263,10.0
774,4.158839417946854,130,z1p50_2p50,30.0,0.0051872642998323495,215.69546997651375,-4.0815286168054214,67.13939051919596,0.03683773771687106,130,z1p50_2p50,30.0,4.158839417946854,0.0051872642998323495,215.69546997651375,-4.0815286168054214,67.13939051919596,0.002015203153354455,130,z1p50_2p50,30.0,4.158839417946854,2.4234549880790968,25.0,0.023265869715682487,25.0
775,3.2505768183762496,112,z2p40_2p50,25.0,0.0016195982252360129,202.87536559453903,-7.109707922575494,76.90823059317282,0.02896530832842169,100,z1p30_1p40,25.0,3.0171945186745597,0.001011471123163767,41.51162903683142,-4.798745666585656,123.47215470873297,0.002290026407575643,158,z1p50_2p50,35.0,2.6561349023585135,2.1412688475396218,35.0,0.020556801045681503,35.0
776,3.6843546322164173,89,z0p50_0p60,25.0,0.0015297581649215,296.26615096978,16.467284493554104,41.275583498576076,0.029999346720252208,72,z1p30_1p40,20.0,3.124905955147299,0.0006953232005184283,39.088227491984,-64.98084728633881,151.0968307087147,0.0018485291893395159,102,z1p50_2p50,25.0,3.3685600455377114,1.7984171051107056,25.0,0.01726532502884469,25.0
