fit_group,bcut_deg,N,ess,variables,a0,amp,l_deg,b_deg,formal_snr,rms_resid,amp_ratio_vs_baseline_same_bcut,direction_sep_vs_baseline_same_bcut_deg,propensity_min,propensity_p01,propensity_p50,propensity_p99,propensity_max,weight_min,weight_p99,weight_max
wise_w1_only,15.0,183527,183514.2748191361,w1,1.206862869267327,0.0024669264450478414,139.3099271978189,-36.47912049561281,4.095503713753999,0.1461591531184736,0.9679188732196992,0.2853630529673763,0.49164628148409445,0.49406985456639574,0.4959513627149892,0.49706296996363847,0.4976980613245034,0.9833607447771467,1.0113557882335413,1.0164759315938106
wise_w1_only,20.0,169941,169929.16585812575,w1,1.2070149488890378,0.0025087946761651347,140.14249371942816,-37.52142082191227,4.044501769467126,0.14617794937641457,0.9637659082132056,0.49672476350332406,0.49078849445516703,0.493708553722183,0.49597893467504595,0.49731336207745,0.4980706292721095,0.9816453464060324,1.01196645015603,1.0181307299054962
wise_w1_only,25.0,153651,153642.93241856093,w1,1.207105205759829,0.0031046443630319055,145.8900157607258,-33.71874778671951,4.6201846278135505,0.1461617407050303,0.9709620513819263,0.3796230433028048,0.49134181463680987,0.49426747275915905,0.4965395332980235,0.4978757338922639,0.498629896569621,0.9827352282871324,1.0108548520517155,1.0170081021585125
wise_w1_only,30.0,136052,136044.17151866131,w1,1.2071642346315752,0.0032547648330970686,139.77435499296803,-32.243248134941595,4.490834922754205,0.14615464119972202,1.003211831887292,0.3788712642312121,0.496206838760735,0.496206838844631,0.4962070495819045,0.4962092157937327,0.4962220781789939,0.9924707844444582,1.0076443017671,1.0076443024881017
wise_w1_only,35.0,118193,118189.1447670949,w1,1.2070133096020854,0.003947511016052162,146.11729742749816,-25.289041122017537,4.641870608642972,0.14606416760145824,0.9711417457053932,0.25743106360817064,0.4918204242088996,0.4948939205544401,0.4973559021392471,0.4987961176698231,0.49959308017837945,0.9836729334503036,1.0095177846704058,1.0160535054076643
wise_w2_only,10.0,192357,192347.1572318351,w2,1.2065929786021352,0.0023917294449173694,145.16780762913154,-38.127606252879374,4.077009889852472,0.14612587967408996,0.9712392201221135,0.2137795060169754,0.49176892682671136,0.4941653621999536,0.49661514326638473,0.4980978968782256,0.49882544599462275,0.9835881822227776,1.0110135258986743,1.0163278490068366
wise_w2_only,15.0,183527,183514.2883946333,w2,1.2068635304553308,0.002602609792623936,139.29893850525647,-36.64310484144282,4.324958015344509,0.1461585633962637,1.0211553501986403,0.2505010724661632,0.49419079617791734,0.4947222125990017,0.4958112018680887,0.4976238335550613,0.4994066453036416,0.9885284302733349,1.0103914112765318,1.011688478860076
wise_w2_only,20.0,169941,169929.42120088649,w2,1.2070158503666306,0.0026435311710641006,140.09619059747476,-37.75186520592846,4.268734768616358,0.14617731031606954,1.0155256004707869,0.39839893130932336,0.49470171673161173,0.4950748088907788,0.4958436783037436,0.4971348454818376,0.4984100878484811,0.9895262948644528,1.009755873986953,1.010665425560882
wise_w2_only,25.0,153651,153643.27242648692,w2,1.207105429574664,0.0032057473356310365,145.88236751130103,-33.832039831920625,4.775280800765058,0.14616117536661147,1.0025815021778286,0.31874154589597437,0.4964534009589201,0.4964534010776575,0.49645373323942654,0.4964589636077398,0.4964792723546711,0.9929567149274691,1.0071438232299412,1.007143824235989
wise_w2_only,30.0,136052,136043.7781240839,w2,1.2071648512919486,0.003329380418869854,139.72673500310654,-32.320718178287976,4.597468089764709,0.146154493025995,1.0262104945646293,0.3091397815458321,0.49387605181845673,0.49459900308287735,0.4961027872568441,0.49865356257882737,0.5010708802386814,0.9879211511417302,1.0105494366296734,1.0123090712871579
