mock_id,max_snr,max_snr_tag,max_snr_bcut_deg,max_snr_amp,max_priority,max_priority_tag,max_priority_bcut_deg,max_priority_snr,max_z1p00_snr,max_z1p00_snr_bcut_deg,max_z1p00_priority,max_z1p00_priority_bcut_deg
70,10.6817076177138,z1p50_2p50,15.0,0.009579273717806326,0.09461532510526784,z1p50_2p50,15.0,10.6817076177138,8.700244010881505,10.0,0.08352486208636338,10.0
71,10.85886754567917,z1p50_2p50,15.0,0.010146975706884418,0.09618455399450203,z1p50_2p50,15.0,10.85886754567917,8.868164363042546,10.0,0.08513694609667419,10.0
72,10.584650809218466,z1p00_1p50,10.0,0.00551633924303609,0.10161571307270865,z1p00_1p50,10.0,10.584650809218466,10.584650809218466,10.0,0.10161571307270865,10.0
73,9.804555508864313,z1p50_2p50,20.0,0.0088654992625465,0.08684577786471828,z1p50_2p50,20.0,9.804555508864313,8.628406720760594,10.0,0.08283520329719578,10.0
74,11.009861255283923,z1p00_1p50,10.0,0.005447413922881876,0.10569785649545385,z1p00_1p50,10.0,11.009861255283923,11.009861255283923,10.0,0.10569785649545385,10.0
75,9.577498449588266,z1p50_2p50,10.0,0.008837971232902399,0.08865634627497862,z1p00_1p50,10.0,9.234757489428414,9.234757489428414,10.0,0.08865634627497862,10.0
76,10.928050676748937,z1p50_2p50,15.0,0.00929335710994479,0.09679735717843409,z1p50_2p50,15.0,10.928050676748937,9.107996245599283,10.0,0.08743940162429045,10.0
77,10.71349428841335,z1p50_2p50,15.0,0.009534175717525127,0.09489688178982497,z1p50_2p50,15.0,10.71349428841335,8.43101825629581,10.0,0.08094021687483338,10.0
78,10.542401486446122,z1p50_2p50,10.0,0.008991899869338339,0.09338139366183545,z1p50_2p50,10.0,10.542401486446122,9.135415519155055,10.0,0.08770263459101986,10.0
79,9.696777606311432,z1p50_2p50,15.0,0.00834653870881294,0.0858911139051568,z1p50_2p50,15.0,9.696777606311432,8.837064074803497,10.0,0.08483837432296717,10.0
80,10.155201261673541,z1p00_1p50,10.0,0.005114648558654094,0.09749287304812103,z1p00_1p50,10.0,10.155201261673541,10.155201261673541,10.0,0.09749287304812103,10.0
81,9.844391313847506,z1p50_2p50,15.0,0.008445118145514161,0.0871986313385453,z1p50_2p50,15.0,9.844391313847506,8.612673128428739,10.0,0.08268415625437747,10.0
82,9.31092219736867,z1p50_2p50,15.0,0.008811088669378957,0.08880979001540289,z1p00_1p50,10.0,9.250740730229856,9.250740730229856,10.0,0.08880979001540289,10.0
83,10.645602819728385,z1p50_2p50,15.0,0.009354170700295721,0.09429551975938989,z1p50_2p50,15.0,10.645602819728385,8.27206052055385,10.0,0.07941417657771044,10.0
84,10.33156231975639,z1p00_1p50,10.0,0.005357519645929914,0.09918599027970113,z1p00_1p50,10.0,10.33156231975639,10.33156231975639,10.0,0.09918599027970113,10.0
85,9.456432323656614,z1p50_2p50,10.0,0.008368522777409423,0.08618676864136357,z1p00_1p50,10.0,8.977517579303807,8.977517579303807,10.0,0.08618676864136357,10.0
86,10.015268044858223,z1p00_1p50,10.0,0.005196825298956119,0.09614947364217535,z1p00_1p50,10.0,10.015268044858223,10.015268044858223,10.0,0.09614947364217535,10.0
87,9.538160313673442,z1p00_1p50,10.0,0.004942606645112178,0.09156910125288314,z1p00_1p50,10.0,9.538160313673442,9.538160313673442,10.0,0.09156910125288314,10.0
