response_field,template,first_template_group,N,corr_response_template,abs_corr_response_template,corr_z_template
gaia_wise_colour_cross,wise_w2_lowcov_log1p,wise_depth,183527,0.001380526494537027,0.001380526494537027,-0.0015315634961094225
gaia_wise_colour_cross,wise_w1_mincov,wise_depth,183527,0.0009720701745681258,0.0009720701745681258,-0.000284962695504812
gaia_wise_colour_cross,selection_T,quaia_selection_depth,183527,0.0009400506719449683,0.0009400506719449683,-0.009486669369671366
gaia_wise_colour_cross,wise_w1_w2_medcov_diff,wise_depth,183527,-0.0008223949809576506,0.0008223949809576506,0.0017402428780228072
gaia_wise_colour_cross,gaia_scan_angle_resultant_dr3,gaia_scanlaw,183527,0.000501004486007014,0.000501004486007014,0.00013433775649839967
gaia_wise_colour_cross,gaia_scan_count_log1p_dr3,gaia_scanlaw,183527,-0.0004981349524303916,0.0004981349524303916,0.0074295893233963465
gaia_wise_colour_cross,wise_w1_lowcov_log1p,wise_depth,183527,-0.000496896282296681,0.000496896282296681,-0.00328039257593078
gaia_wise_colour_cross,wise_w1_w2_medcov_ratio,wise_depth,183527,-3.6034657717521283e-06,3.6034657717521283e-06,0.001964796089959262
wise_w1_w2_colour,sfd_log1p,sfd_dust,183527,0.07071591900461188,0.07071591900461188,0.0014502094487639345
wise_w1_w2_colour,ebv_sfd,sfd_dust,183527,0.0684412174612761,0.0684412174612761,0.0011919544297223574
wise_w1_w2_colour,random_density_log1p,quaia_selection_depth,183527,-0.0650175842631748,0.0650175842631748,0.00025123308612096497
wise_w1_w2_colour,gaia_dr3_density_hpx4_log1p,stellar_density,183527,0.030389394820270324,0.030389394820270324,-0.0015646978606454664
wise_w1_w2_colour,sfd_sq,sfd_dust,183527,0.021643279035911567,0.021643279035911567,-0.0006831201033645756
wise_w1_w2_colour,wise_w1_lowcov_log1p,wise_depth,183527,0.014770105176864461,0.014770105176864461,-0.00328039257593078
wise_w1_w2_colour,wise_w2_mincov,wise_depth,183527,-0.011087876914460323,0.011087876914460323,-0.0005206539530416209
wise_w1_w2_colour,gaia_scan_angle_sin2_mean_dr3,gaia_scanlaw,183527,-0.011031529456934412,0.011031529456934412,-0.007713753131258382
wise_w1_w2_colour,wise_w1_mincov,wise_depth,183527,-0.009358358483211116,0.009358358483211116,-0.000284962695504812
wise_w1_w2_colour,gaia_scan_count_log1p_dr3,gaia_scanlaw,183527,-0.008293396172402706,0.008293396172402706,0.0074295893233963465
wise_w1_w2_colour,gaia_scan_angle_resultant_dr3,gaia_scanlaw,183527,-0.005355623044476764,0.005355623044476764,0.00013433775649839967
wise_w1_w2_colour,gaia_scan_angle_cos2_mean_dr3,gaia_scanlaw,183527,0.005317401620570779,0.005317401620570779,-0.002481451012708525
wise_w1_w2_colour,selection_T,quaia_selection_depth,183527,0.0034298674799134567,0.0034298674799134567,-0.009486669369671366
wise_w1_w2_colour,wise_w1_w2_medcov_diff,wise_depth,183527,-0.0019178950264406352,0.0019178950264406352,0.0017402428780228072
wise_w1_w2_colour,wise_w2_medcov_log1p,wise_depth,183527,0.0018463453110603375,0.0018463453110603375,0.0035159811535127984
wise_w1_w2_colour,wise_w1_medcov_log1p,wise_depth,183527,0.001822446087585097,0.001822446087585097,0.003873957320583741
wise_w1_w2_colour,wise_w2_lowcov_log1p,wise_depth,183527,-0.0004885183969718988,0.0004885183969718988,-0.0015315634961094225
wise_w1_w2_colour,wise_w1_w2_medcov_ratio,wise_depth,183527,-7.002352404506153e-05,7.002352404506153e-05,0.001964796089959262
