gate,case_label,frame,prior_config,offset_dataset,offset_type,n_offsets,max_abs_pull_sigma,n_abs_pull_ge_3,n_abs_pull_ge_5,median_abs_pull_sigma
dataset_combo,pantheon_union31,CMB_PANTHEON_ONLY,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.072527139222865,7,1,3.084713862148117
dataset_combo,pantheon_union31,CMB_PANTHEON_ONLY,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2942635416699057,0,0,0.2942635416699057
dataset_combo,pantheon_union31,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,2.906149036761797,0,0,2.0573878121338813
dataset_combo,pantheon_union31,CMB_PANTHEON_ONLY,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.1478406571944247,0,0,0.1478406571944247
dataset_combo,pantheon_union31,HD,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,7.755095313067111,8,4,3.167113555364761
dataset_combo,pantheon_union31,HD,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.711768662277998,0,0,0.711768662277998
dataset_combo,pantheon_union31,HD,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.690010882184945,8,3,3.5765652699161183
dataset_combo,pantheon_union31,HD,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4555884154537369,0,0,0.4555884154537369
dataset_combo,pantheon_union31,HD,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.450038805468701,8,1,3.4452237718438985
dataset_combo,pantheon_union31,HD,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2942635416699057,0,0,0.2942635416699057
dataset_combo,pantheon_union31,HD,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,3.137134678972725,1,0,2.2590582156667436
dataset_combo,pantheon_union31,HD,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.1478406571944247,0,0,0.1478406571944247
dataset_combo,pantheon_union31,HEL,budget_010mmag_ds020,PantheonPlusSH0ES,survey,14,8.204487686531158,7,4,2.943151336047385
dataset_combo,pantheon_union31,HEL,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.711768662277998,0,0,0.711768662277998
dataset_combo,pantheon_union31,HEL,budget_016mmag_ds032,PantheonPlusSH0ES,survey,14,6.951667635108402,9,3,3.30112804396516
dataset_combo,pantheon_union31,HEL,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4555884154537369,0,0,0.4555884154537369
dataset_combo,pantheon_union31,HEL,budget_025mmag_ds050,PantheonPlusSH0ES,survey,14,5.045631076905053,8,1,3.213748709833819
dataset_combo,pantheon_union31,HEL,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2942635416699057,0,0,0.2942635416699057
dataset_combo,pantheon_union31,HEL,budget_050mmag_ds100_stress,PantheonPlusSH0ES,survey,14,2.7003886105323325,0,0,2.0992351056112875
dataset_combo,pantheon_union31,HEL,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.1478406571944247,0,0,0.1478406571944247
dataset_combo,union31_only,HD,budget_010mmag_ds020,Union3p1_UNITY1p8,dataset,1,0.711768662277998,0,0,0.711768662277998
dataset_combo,union31_only,HD,budget_016mmag_ds032,Union3p1_UNITY1p8,dataset,1,0.4555884154537368,0,0,0.4555884154537368
dataset_combo,union31_only,HD,budget_025mmag_ds050,Union3p1_UNITY1p8,dataset,1,0.2942635416699056,0,0,0.2942635416699056
dataset_combo,union31_only,HD,budget_050mmag_ds100_stress,Union3p1_UNITY1p8,dataset,1,0.1478406571944247,0,0,0.1478406571944247
