gate,case_label,frame,offset_mode,prior_config,N,FR_BIC_base,FR_posterior,FR_max_pull,LCDMfree_Om,LCDMfree_BIC_base,delta_BIC_FR_minus_LCDMfree,delta_posterior_FR_minus_LCDMfree,LCDM03_BIC_base,delta_BIC_FR_minus_LCDM03,case_datasets,case_z_min,case_max_z
redshift_band,mid_z_0p10_0p50,HEL,dataset+idsurvey,budget_010mmag_ds020,1517,1490.8878415027089,1487.4820227442513,4.74829700261609,0.5673442612341905,1556.7306486550813,-65.84280715237242,-58.51831717302389,1892.7606003666808,-401.872758863972,"pantheon,des_raw,union31",0.1,0.5
redshift_band,mid_z_0p10_0p50,HEL,dataset+idsurvey,budget_016mmag_ds032,1517,1446.7664676732477,1440.463135441068,4.72688727934191,0.5349857699888546,1510.9127455341138,-64.14627786086612,-56.8217878815176,1691.1506167674654,-244.3841490942177,"pantheon,des_raw,union31",0.1,0.5
redshift_band,mid_z_0p10_0p50,HEL,dataset+idsurvey,budget_025mmag_ds050,1517,1412.16313538173,1402.1063194200854,3.902095425473967,0.4754265716941473,1465.0548124846946,-52.89167710296465,-45.56718712361612,1533.924239850547,-121.76110446881717,"pantheon,des_raw,union31",0.1,0.5
redshift_band,mid_z_0p10_0p50,HEL,dataset+idsurvey,budget_050mmag_ds100_stress,1517,1387.1931328345063,1369.9584754176503,2.3017263259733194,0.3681803991095884,1404.4964304398045,-17.303297605297985,-9.978807625949456,1405.7493147116024,-18.556181877095923,"pantheon,des_raw,union31",0.1,0.5
redshift_band,mid_z_0p10_0p50,HEL,none,none,1517,1563.4985760338354,1563.4985760338354,,0.5756420194986137,1632.6716017078843,-69.17302567404909,-61.84853569470056,2281.151710910902,-717.6531348770663,"pantheon,des_raw,union31",0.1,0.5
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_010mmag_ds020,1084,1018.719685509928,1015.4553529118076,1.7005506198391678,0.4430244999300338,993.0534996473808,25.666185862547195,32.654599044546785,1183.9592069859118,-165.2395214759838,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_016mmag_ds032,1084,1011.6612160229644,1006.3623810634969,2.2915268553439527,0.4577779975975338,983.4852890932324,28.175926929731983,35.164340111731576,1119.01044936429,-107.34923334132566,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_025mmag_ds050,1084,1001.7397536439624,993.8847069618508,2.612608548175095,0.4657136788092217,974.7845601923068,26.95519345165553,33.94360663365512,1061.8436123508418,-60.10385870687946,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,dataset+idsurvey,budget_050mmag_ds100_stress,1084,987.2403169157284,974.1523914273286,2.212650969930981,0.4421251656079541,966.4283843040726,20.811932611655948,27.800345793655534,991.7002003730732,-4.459883457344631,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,CMB_PANTHEON_ONLY,none,none,1084,1027.701694246126,1027.701694246126,,0.4155853069462749,1010.4408544533068,17.260839792819183,24.249252974818774,1408.8091694430868,-381.1074751969609,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,HD,dataset+idsurvey,budget_010mmag_ds020,1084,1018.8458361521592,1015.5815035540388,1.7008516142330068,0.4430649311787538,993.1770447069476,25.66879144521147,32.65720462721106,1184.1871669270824,-165.34133077492334,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,HD,dataset+idsurvey,budget_016mmag_ds032,1084,1011.7722443163584,1006.4734093568908,2.292005165239653,0.4578359755615755,983.5903549644978,28.18188935186049,35.17030253386008,1119.2118665444573,-107.43962222809898,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,HD,dataset+idsurvey,budget_025mmag_ds050,1084,1001.8275413787018,993.9724946965902,2.6132739573451627,0.4657846926512174,974.8726311615976,26.95491021710427,33.94332339910386,1062.0043355175285,-60.176794138826494,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,HD,dataset+idsurvey,budget_050mmag_ds100_stress,1084,987.2884317098698,974.2005062214698,2.2133738972167527,0.4421820804293628,966.4978152392396,20.7906164706302,27.779029652629788,991.791722182222,-4.503290472352319,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,HD,none,none,1084,1027.840384938313,1027.840384938313,,0.4155999632385227,1010.5935742995616,17.2468106387513,24.23522382075089,1409.0591788488978,-381.2187939105848,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,HEL,dataset+idsurvey,budget_010mmag_ds020,1082,1018.341190703366,1015.0786824657176,1.758127365107453,0.4460020453625835,993.0252659591886,25.31592474417744,32.30249120358383,1191.6048841319866,-173.26369342862063,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,HEL,dataset+idsurvey,budget_016mmag_ds032,1082,1011.3290329788058,1006.0342189779568,2.367361198616252,0.4605067779060784,983.371301932132,27.95773104667376,34.94429750608015,1123.3891590985663,-112.06012611976053,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,HEL,dataset+idsurvey,budget_025mmag_ds050,1082,1001.1188345760098,993.2711999826972,2.696272198153305,0.4679420403527001,974.66562700773,26.453207568279936,33.439774027686326,1063.96967969334,-62.85084511733032,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,HEL,dataset+idsurvey,budget_050mmag_ds100_stress,1082,985.9504189849464,972.8758112926882,2.2801098558977504,0.4428384238648418,966.1397608828196,19.81065810212681,26.7972245615332,991.6586967617312,-5.708277776784826,"pantheon,des_raw,union31",0.5,
redshift_band,high_z_0p50_plus,HEL,none,none,1082,1026.2201165064484,1026.2201165064484,,0.4180459611104623,1012.0414911442672,14.178625362181378,21.16519182158777,1426.834760086988,-400.61464358053945,"pantheon,des_raw,union31",0.5,
