gate,case_label,frame,offset_mode,prior_config,model,offset_label,offset_type,prior_sigma_mag,offset_mag,pull_sigma,case_datasets,case_z_min,case_max_z
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.025,-0.1015493141061219,-4.061972564244877,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_1,survey,0.025,-0.1818397529994459,-7.273590119977836,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_10,survey,0.025,-0.193011112206648,-7.720444488265921,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_15,survey,0.025,-0.175454468500903,-7.018178740036121,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_150,survey,0.025,-0.166348113082405,-6.653924523296199,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_4,survey,0.025,-0.1384026336780398,-5.536105347121591,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_5,survey,0.025,-0.1044759695391869,-4.179038781567477,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_50,survey,0.025,-0.0509140363613355,-2.03656145445342,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_51,survey,0.025,-0.0740829294929367,-2.9633171797174693,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_56,survey,0.025,-0.0455355878423206,-1.821423513692825,pantheon,0.01,
