ra_deg,dec_deg,z,DH_over_rd,DM_over_rd,kind,l_deg,b_deg
36.163228571428576,6.880880000000001,3.0020940035802855e-11,,,BAO,159.8691997755303,-49.1887360431239
32.64291428571428,7.44258448979592,3.0393362353247196e-11,,,BAO,154.75810933974532,-50.474331186196075
45.44405714285715,10.04046775510204,3.044906524380923e-11,,,BAO,167.75988619791394,-41.21747058925782
44.16394285714286,10.18089387755102,3.083056190015232e-11,,,BAO,166.33285063693313,-41.90140934425398
34.883114285714285,7.09151918367347,3.115212446568788e-11,,,BAO,158.03824257050857,-49.679800193871124
46.08411428571428,9.970254693877552,3.4151325160087006e-11,,,BAO,168.46099955045224,-40.8673061148105
43.52388571428571,10.251106938775512,3.4714546661018273e-11,,,BAO,165.6068292033459,-42.234938911048715
33.603,7.302158367346939,3.4795154799184296e-11,,,BAO,156.1699372878964,-50.137801008642796
35.8432,6.9510930612244906,3.525691713996664e-11,,,BAO,159.4006795392013,-49.299681700724804
34.56308571428571,7.1617322448979595,3.84161202859531e-11,,,BAO,157.56075553093564,-49.78234737068863
32.32288571428571,7.51279755102041,3.8679630125465794e-11,,,BAO,154.26573523687142,-50.561517451739526
46.72417142857143,9.900041632653062,4.147186545774034e-11,,,BAO,169.15392065968928,-40.511838939667655
42.88382857142857,10.32132,4.158338978129247e-11,,,BAO,164.87241803357637,-42.562676525581615
35.52317142857142,7.02130612244898,4.2362159152500454e-11,,,BAO,158.93001305334386,-49.40849229535463
33.28297142857143,7.372371428571429,4.452541627742787e-11,,,BAO,155.68386137234413,-50.23164626565864
36.48325714285714,6.880880000000001,4.7345015537712326e-11,,,BAO,160.27726222073403,-49.01676501794605
34.24305714285714,7.2319453061224515,4.8373198996774236e-11,,,BAO,157.0812204594727,-49.88268405815795
32.002857142857145,7.583010612244899,4.9261083952913925e-11,,,BAO,153.7715329455638,-50.64636730533371
45.12402857142857,10.04046775510204,4.939355470156863e-11,,,BAO,167.43588536670148,-41.41769268553174
44.48397142857143,10.11068081632653,4.993310461177904e-11,,,BAO,166.72215746407778,-41.75990326536196
35.20314285714286,7.09151918367347,5.205548549331684e-11,,,BAO,158.45722579429093,-49.51514907437004
45.76408571428571,9.970254693877552,5.2913981277413564e-11,,,BAO,168.14132126835344,-41.06999949131945
43.84391428571429,10.18089387755102,5.44472342307451e-11,,,BAO,166.0000874676723,-42.09650871588463
