Galaxy,Q,D_Mpc,resolved,ra_deg,dec_deg,central_cz_kms,abs_gal_b_deg,matched,match_rule,match_ambiguous,catalogue_member_name,member_pgc,group_pgc1,match_separation_arcmin,match_velocity_offset_kms,catalogue_member_hrv_kms,catalogue_member_vls_kms,group_richness,group_companions,group_richness_score,grouped_indicator,group_log_mass_luminosity,group_log_mass_dynamical,group_distance_mpc,group_r2t_mpc,shifted_group_richness_score,shifted_group_log_mass_luminosity,shifted_nearest_group_separation_deg,shifted_group_pgc1,T,D_Mpc_host,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q_host,Ref,bulge_proxy,n_points,has_bulge,frac_distance_error,log_L36,log_SBeff,log_MHI,log_Vflat,log_n_points,scenario,N_points,rar_success,plamb_success,rar_profile_objective,plamb_profile_objective,delta_objective_plamb_minus_rar,delta_objective_per_point,signed_log1p_delta_per_point
UGC06917,1,18.0,True,179.1101361,50.4287882,910.7695113873966,64.44830247240313,True,name_coordinate_velocity,False,UGC06917,37525,38795,0.3705371020218356,0.2304886126033807,911.0,994.0,17.0,16.0,2.833213344056216,1.0,12.768,12.677,16.54,0.388,0.0,11.1,5.183791497088545,60931.0,9,18.0,2.5,4,56.0,2.0,6.832,0.12,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,"VS01,SV98",0.0,11,False,0.1388888888888889,0.8345478576809486,1.7248490876293856,0.3059958827708047,2.0362295440862948,1.0413926851582251,combined_conventional,11,True,True,2.850293853286115,2.8158527534985875,-0.0344410997875272,-0.0031310090715933,-0.0031261176700457
UGC06923,2,18.0,True,179.206091,53.160305,1086.6153618382846,62.06375342898384,True,name_coordinate_velocity,False,UGC06923,37553,37617,0.0157791316143522,0.3846381617154293,1087.0,1184.0,24.0,23.0,3.1780538303479458,1.0,12.962,12.735,20.08,0.45,0.0,11.1,2.576155927948496,60931.0,10,18.0,2.5,4,65.0,2.0,2.89,0.077,1.66,166.28,1.44,347.4,0.809,6.75,79.6,2.5,2,"VS01,SV98",0.0,6,False,0.1388888888888889,0.4608978427565479,2.220840015834177,-0.09205147838772766,1.900913067737669,0.7781512503836436,combined_conventional,6,True,True,2.338427104972204,2.358902336526442,0.0204752315542378,0.0034125385923729,0.0034067290955537
UGC06930,1,18.0,True,179.3222455,49.2832027,777.0620361463771,65.51065040920446,True,name_coordinate_velocity,False,UGC06930,37584,38795,0.0576726516330231,7.937963853622932,785.0,863.0,17.0,16.0,2.833213344056216,1.0,12.768,12.677,16.54,0.388,0.6931471805599453,10.603,6.236876025424886,167108.0,7,18.0,2.5,4,32.0,5.0,8.932,0.14,4.38,73.93,3.94,189.16,3.237,16.76,107.2,5.1,1,"VS01,SV98",0.0,10,False,0.1388888888888889,0.9509487143994003,1.8688207061975175,0.5101426994025732,2.030194785356751,1.0,combined_conventional,10,True,True,4.06267497384604,4.031032808281178,-0.0316421655648619,-0.0031642165564861,-0.0031592209586063
UGC06983,1,18.0,True,179.7909,52.7072,1081.051603548,62.6261272042853,True,name_coordinate_velocity,False,UGC06983,37735,37617,0.08202454156563,3.0516035480000028,1078.0,1174.0,24.0,23.0,3.1780538303479458,1.0,12.962,12.735,20.08,0.45,0.0,11.1,3.135175053851801,60931.0,6,18.0,2.5,4,49.0,1.0,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,"VS01,SV98",0.0,17,False,0.1388888888888889,0.7241119539612122,1.7288405683399715,0.47231754631684186,2.037426497940624,1.2304489213782739,combined_conventional,17,True,True,8.293070050785166,8.233785722867786,-0.0592843279173802,-0.0034873134069047,-0.0034812468294524
UGC07089,2,18.0,True,181.49072,43.143313,769.867032144,71.52240848733423,True,name_coordinate_velocity,False,UGC07089,38356,38440,0.0462672981508537,4.13296785600005,774.0,824.0,14.0,13.0,2.6390573296152584,1.0,12.657,12.563,14.36,0.356,0.6931471805599453,10.603,10.496822279055165,167108.0,8,18.0,2.5,4,80.0,3.0,3.585,0.089,3.9,37.4,2.26,520.99,1.214,9.29,0.0,0.0,2,"VS01,SV98",0.0,12,False,0.1388888888888889,0.5544891600038189,1.57287160220048,0.08421868673923877,-12.0,1.0791812460476249,combined_conventional,12,True,True,2.7551387442622195,2.8445535642667177,0.0894148200044981,0.0074512350003748,0.0074236116825475
UGC07125,1,19.8,True,182.1762216,36.8027653,1069.0000000994576,76.76183054575097,True,name_coordinate_velocity,False,UGC07125,38567,38567,0.0117803149815081,1.9999999005424345,1071.0,1090.0,1.0,0.0,0.0,0.0,10.795,,15.63,0.085,0.0,10.501,0.6200546511182651,2801040.0,9,19.8,5.9,1,90.0,3.0,2.712,0.08,3.92,28.11,3.38,103.0,4.629,23.04,65.2,2.1,1,"Sw09,Sw02",0.0,13,False,0.297979797979798,0.43328968519502575,1.4488608456074408,0.6654871807828107,1.8142475957319202,1.1139433523068367,combined_conventional,13,True,True,8.111736582228044,8.08194081665781,-0.0297957655702347,-0.0022919819669411,-0.0022893593827853
UGC07261,2,13.1,True,183.8100415,20.6587668,869.997713116,79.50368790483283,True,name_coordinate_velocity,False,NGC4204,39179,39179,0.0046359946646713,8.997713116,861.0,801.0,1.0,0.0,0.0,0.0,11.207,,,0.117,0.0,11.685,14.24589110373974,166900.0,8,13.1,3.93,1,30.0,10.0,1.753,0.048,2.66,39.16,1.2,566.02,1.388,10.1,74.7,3.4,2,"Sw09,Sw02",0.0,7,False,0.30000000000000004,0.2437819160937949,1.5928426831311002,0.14238946611883607,1.8733206018153987,0.8450980400142568,combined_conventional,7,True,True,1.7943921485622172,1.7700064015317762,-0.0243857470304409,-0.0034836781472058,-0.0034776241964257
UGC08699,2,39.3,True,206.2863611,41.5034103,2526.051359033285,71.89207474660795,True,name_coordinate_velocity,False,NGC5289,48749,48767,0.0134703467365719,0.0513590332848252,2526.0,2617.0,9.0,8.0,2.19722457733622,1.0,12.861,12.348,38.68,0.416,0.0,11.704,7.905484871206474,63165.0,2,39.3,9.82,1,73.0,9.0,50.302,0.695,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,6.9,2,"No07,No05",0.41029938395452215,41,True,0.2498727735368957,1.7015852528828874,3.3408306433471138,0.5726392970428132,2.2610248339923973,1.6127838567197355,combined_conventional,41,True,True,10.66738139529601,10.499742031638004,-0.1676393636580062,-0.0040887649672684,-0.0040804286834673
UGC09992,2,10.7,True,235.4493917,67.25425785,426.90446019199993,42.36561427744288,True,name_coordinate_velocity,False,UGC09992,55809,55809,0.0278927767435529,3.904460191999931,423.0,651.0,1.0,0.0,0.0,0.0,10.52,,11.27,0.069,1.9459101490553128,12.068,10.199822395773744,65001.0,10,10.7,3.21,1,30.0,10.0,0.336,0.017,1.62,20.18,1.04,73.25,0.318,5.45,33.6,3.3,2,"Sw09,Sw02",0.0,5,False,0.3,-0.4736607226101559,1.3049211619008918,-0.4975728800155673,1.526339277389844,0.6989700043360189,combined_conventional,5,True,True,1.8289695148074196,1.8342984038737356,0.0053288890663159,0.0010657778132631,0.0010652102753
UGC10310,1,15.2,True,244.0760405,47.0465236,715.904395699849,45.52857179162238,True,name_coordinate_velocity,False,UGC10310,57678,57678,0.0494437338103964,0.904395699849033,715.0,917.0,1.0,0.0,0.0,0.0,11.045,,,0.103,0.0,11.516,1.8399814060822255,68285.0,9,15.2,4.6,1,34.0,6.0,1.741,0.053,3.12,28.37,1.8,158.79,1.196,9.58,71.4,3.9,1,"Sw09,Sw02",0.0,7,False,0.3026315789473684,0.24079877111733122,1.4528593357958524,0.07773117965239203,1.8536982117761744,0.8450980400142568,combined_conventional,7,True,True,2.462469036836425,2.4103366478384807,-0.0521323889979448,-0.0074474841425635,-0.0074198885596176
UGC11557,2,24.2,True,306.0027368,60.1947942,1388.0390805399998,12.814816225231697,True,name_coordinate_velocity,False,UGC11557,64616,64616,0.0078571675442062,0.0390805399997589,1388.0,1696.0,1.0,0.0,0.0,0.0,11.486,,,0.145,0.0,11.524,7.114458667010501,5354.0,8,24.2,6.05,1,30.0,10.0,12.101,0.212,4.18,106.86,2.75,337.93,2.605,16.66,0.0,0.0,2,"Sw02,dB01",0.0,12,False,0.25,1.0828212609393293,2.028815169846887,0.4158077276355433,-12.0,1.0791812460476249,combined_conventional,12,True,True,6.474672058666466,6.493228644684094,0.0185565860176275,0.0015463821681356,0.0015451877504229
UGC11820,1,18.1,True,327.3684742,14.2308537,1099.938528402,29.515615729000007,True,name_coordinate_velocity,False,UGC11820,67421,67421,0.013521738833728,5.0614715980000256,1105.0,1361.0,1.0,0.0,0.0,0.0,10.612,,,0.074,0.0,10.845,4.299575570724431,4668293.0,9,18.1,5.43,1,45.0,10.0,0.97,0.047,2.74,20.18,2.08,34.11,1.977,12.99,0.0,0.0,1,"KN08,vZ97",0.0,10,False,0.29999999999999993,-0.01322826573375516,1.3049211619008918,0.2960066693136723,-12.0,1.0,combined_conventional,10,True,True,2.772977014020255,2.723595832764481,-0.0493811812557742,-0.0049381181255774,-0.0049259656108816
UGC11914,1,16.9,True,331.9683054,31.35934611,945.0000001131604,19.70719981844585,True,name_coordinate_velocity,False,NGC7217,68096,68096,0.013276361223056,6.999999886839646,952.0,1251.0,1.0,0.0,0.0,0.0,12.646,,,0.353,0.0,11.037,9.42075805785679,13557.0,2,16.9,5.1,1,31.0,5.0,150.028,0.553,3.12,2425.66,2.44,3168.33,0.888,9.26,288.1,10.5,1,"No07,No05",0.4926109181296698,65,True,0.30177514792899407,2.1761723197935363,3.3848299265915687,-0.05158703422139897,2.459543258280413,1.8129133566428555,combined_conventional,65,True,True,28.39330202375601,28.680920065134146,0.2876180413781313,0.0044248929442789,0.0044151318893175
UGC12732,1,13.2,True,355.165801,26.2365069,747.0828053359999,33.983563226816635,True,name_coordinate_velocity,False,UGC12732,72087,72237,0.0244140593192144,1.9171946640001352,749.0,1014.0,2.0,1.0,0.6931471805599453,1.0,11.455,7.14,13.91,0.141,0.0,12.212,1.88104900856557,3097142.0,9,13.2,4.0,1,39.0,6.0,1.667,0.048,3.12,26.84,1.98,120.46,3.66,17.41,0.0,0.0,1,"Sw09,Sw02",0.0,16,False,0.30303030303030304,0.22193559982800534,1.4287825114969546,0.5634810853944107,-12.0,1.2041199826559248,combined_conventional,16,True,True,2.850336774978009,2.7365979929350264,-0.1137387820429824,-0.0071086738776864,-0.0070835263621949
