Galaxy,Q,D_Mpc,resolved,ra_deg,dec_deg,central_cz_kms,abs_gal_b_deg,matched,match_rule,match_ambiguous,catalogue_member_name,member_pgc,group_pgc1,match_separation_arcmin,match_velocity_offset_kms,catalogue_member_hrv_kms,catalogue_member_vls_kms,group_richness,group_companions,group_richness_score,grouped_indicator,group_log_mass_luminosity,group_log_mass_dynamical,group_distance_mpc,group_r2t_mpc,shifted_group_richness_score,shifted_group_log_mass_luminosity,shifted_nearest_group_separation_deg,shifted_group_pgc1
UGC06983,1,18.0,True,179.7909,52.7072,1081.051603548,62.6261272042853,True,name_coordinate_velocity,False,UGC06983,37735,37617,0.08202454156563001,3.0516035480000028,1078.0,1174.0,24.0,23.0,3.1780538303479458,1.0,12.962,12.735,20.08,0.45,0.0,11.1,3.1351750538518015,60931.0
UGC07089,2,18.0,True,181.49072,43.143313,769.867032144,71.52240848733423,True,name_coordinate_velocity,False,UGC07089,38356,38440,0.0462672981508537,4.13296785600005,774.0,824.0,14.0,13.0,2.6390573296152584,1.0,12.657,12.563,14.36,0.356,0.6931471805599453,10.603,10.496822279055165,167108.0
UGC07125,1,19.8,True,182.1762216,36.8027653,1069.0000000994576,76.76183054575097,True,name_coordinate_velocity,False,UGC07125,38567,38567,0.011780314981508144,1.9999999005424343,1071.0,1090.0,1.0,0.0,0.0,0.0,10.795,,15.63,0.085,0.0,10.501,0.6200546511182651,2801040.0
UGC07151,1,6.87,True,182.4942895,46.4574161,265.016532872,69.0074928958329,True,name_coordinate_velocity,False,NGC4144,38688,39600,0.017541884618667094,3.0165328720000275,262.0,330.0,21.0,20.0,3.044522437723423,1.0,12.555,13.111,7.26,0.329,0.0,11.017,14.976544896681848,61239.0
UGC07232,2,2.83,True,183.43654,36.634031,228.14205274339608,77.58932864050283,True,name_coordinate_velocity,False,NGC4190,39023,39225,0.07778520155354582,6.8579472566039215,235.0,255.0,4.0,3.0,1.3862943611198906,1.0,11.09,10.839,2.93,0.107,0.0,11.045,24.034912165009807,57678.0
UGC07261,2,13.1,True,183.8100415,20.6587668,869.997713116,79.50368790483283,True,name_coordinate_velocity,False,NGC4204,39179,39179,0.004635994664671349,8.997713116,861.0,801.0,1.0,0.0,0.0,0.0,11.207,,,0.117,0.0,11.685,14.245891103739739,166900.0
UGC07323,1,8.0,True,184.37574,45.619298,515.043442844,70.31554049266323,True,name_coordinate_velocity,False,NGC4242,39423,39600,0.011998006341846635,9.04344284399997,506.0,573.0,21.0,20.0,3.044522437723423,1.0,12.555,13.111,7.26,0.329,0.0,11.025,10.717528473142712,60052.0
UGC07524,1,4.74,True,186.4535831,33.54686417,318.9791603223771,81.53288019542411,True,name_coordinate_velocity,False,NGC4395,40596,40596,0.011509413387129705,0.020839677622916497,319.0,329.0,2.0,1.0,0.6931471805599453,1.0,10.589,12.588,4.76,0.073,0.0,11.53,18.8930370178209,63552.0
UGC07559,2,4.97,True,186.7714738,37.14268004,219.448079256,78.74342154874446,True,name_coordinate_velocity,False,UGC07559,40791,39422,0.05247230273932442,2.4480792559999998,217.0,246.0,4.0,3.0,1.3862943611198906,1.0,11.164,11.501,4.78,0.113,0.0,12.265,22.51171875658579,140880.0
UGC07577,2,2.59,True,186.92042,43.495556,194.8650982995849,72.94224823275783,True,name_coordinate_velocity,False,UGC07577,40904,40904,0.16737345361863024,11.1349017004151,206.0,267.0,2.0,1.0,0.6931471805599453,1.0,10.735,9.484,2.59,0.081,0.0,11.017,18.3430287200996,61239.0
UGC07603,1,4.7,True,187.18381,22.820447,643.954199784,83.29153497218923,True,name_coordinate_velocity,False,NGC4455,41066,41066,0.06347219604592343,6.954199784000025,637.0,595.0,3.0,2.0,1.0986122886681098,1.0,10.849,8.037,7.45,0.089,0.0,10.299,21.427734597383605,5060431.0
UGC07608,1,8.21,True,187.1841667,43.22413889,536.028914904,73.25971451656069,True,name_coordinate_velocity,False,UGC07608,41063,41063,0.12177115490493451,1.9710850960000244,538.0,598.0,1.0,0.0,0.0,0.0,10.863,,,0.09,0.0,11.53,13.422309936689054,63552.0
UGC07690,2,8.11,True,188.11207,42.704121,538.1274621099999,73.95231401243689,True,name_coordinate_velocity,False,UGC07690,41576,41333,0.012471996178538496,2.1274621099998967,536.0,595.0,6.0,5.0,1.791759469228055,1.0,11.707,11.585,8.7,0.172,0.0,11.53,12.918270969610166,63552.0
UGC07866,2,4.57,True,190.5630627,38.50183876,354.054892898,78.46503010207127,True,name_coordinate_velocity,False,IC3687,42656,43495,0.04576918646108033,4.054892897999991,350.0,393.0,7.0,6.0,1.9459101490553132,1.0,12.299,12.021,4.43,0.271,0.0,11.53,13.154024549463577,63552.0
