probe,kind,z,log1pz,x_hht,n_in_bin,observed,sigma,joint_pull_LCDM_baocov,joint_pull_SU2_baocov_4D,joint_pull_SU2R_baocov_4D,joint_pull_SU2_wa_free_baocov,joint_delta_pull_SU2_baocov_4D_minus_LCDM_baocov,joint_delta_pull_SU2R_baocov_4D_minus_LCDM_baocov,joint_delta_pull_SU2_wa_free_baocov_minus_LCDM_baocov
SN_bin,mu_binned_pull,0.23062956537581503,0.2075258802069638,0.2075258802069638,65,nan,1.0,0.2532300853969109,0.25502815021624564,0.254223128540764,0.2501370102067263,0.0017980648193347548,0.0009930431438531229,-0.003093075190184591
SN_bin,mu_binned_pull,0.2545307576955187,0.22676160441578508,0.22676160441578508,73,nan,1.0,0.23860528385026553,0.25164939824405913,0.2507713311646732,0.24753041513570748,0.013044114393793604,0.01216604731440768,0.00892513128544195
CC,H_z,0.27,0.23901690047049992,0.23909690047049992,1,77.0,13.9986,0.34852637646579515,0.27428910252416855,0.2751884320355064,0.2714320063503939,-0.0742372739416266,-0.07333794443028874,-0.07709437011540127
CC,H_z,0.28,0.2468600779315258,0.2469400779315258,1,88.8,36.6,-0.17829365080370388,-0.20799960274359158,-0.2076613365230305,-0.20932468180814817,-0.029705951939887704,-0.02936768571932663,-0.031031031004444293
SN_bin,mu_binned_pull,0.2818029281172362,0.24826762446456274,0.24826762446456274,57,nan,1.0,0.42334377793695865,0.44906016732283,0.44807812185925255,0.44575827018673936,0.02571638938587134,0.0247343439222939,0.022414492249780704
SN_bin,mu_binned_pull,0.3070018872564409,0.267735878601594,0.267735878601594,62,nan,1.0,-0.05927734412588688,-0.022403163433083472,-0.023450748139359358,-0.024774827305259182,0.036874180692803404,0.03582659598652752,0.0345025168206277
SN_bin,mu_binned_pull,0.33050121088278783,0.28555572153123765,0.28555572153123765,59,nan,1.0,0.35989566139010104,0.4099899224872128,0.40881326880429136,0.40839638339145307,0.050094261097111736,0.04891760741419032,0.048500722001352026
CC,H_z,0.3519,0.30151101038822264,0.30159101038822267,1,82.78,13.94843,0.1766576200010138,0.07697377831471211,0.07766650920572504,0.06953849621893475,-0.09968384168630168,-0.09899111079528874,-0.10711912378207904
SN_bin,mu_binned_pull,0.35957867019754236,0.30717485042428,0.30717485042428,53,nan,1.0,0.3189886879520841,0.37950511009332766,0.3783325933038462,0.37920961649426893,0.06051642214124353,0.059343905351762094,0.060220928542184804
BAO,DH_over_rd,0.38,0.3220834991691133,0.32224349916911327,1,24.89979828875624,0.22682575752565753,-5.852191120430706,-4.029562177656956,-4.0396786888870455,-3.87857114666321,1.8226289427737496,1.8125124315436603,1.9736199737674958
