index_sorted,z,log1pz,mu_obs,sigma_mu,residual_LCDM_baocov,residual_SU2_baocov_4D,residual_SU2R_baocov_4D,residual_SU2_wa_free_baocov,delta_residual_SU2_baocov_4D_minus_LCDM_baocov,delta_residual_SU2R_baocov_4D_minus_LCDM_baocov,delta_residual_SU2_wa_free_baocov_minus_LCDM_baocov
42,0.00567,0.005653986054199593,32.8333,0.562902,-0.9837062435885926,-1.0107482060936164,-1.010438713627309,-1.0091873028774714,-0.027041962505023776,-0.02673247003871637,-0.025481059288878782
43,0.00592,0.005902545652613905,32.3593,0.359446,-0.4155758429419194,-0.4425791815008111,-0.44227058331430413,-0.44102787293781986,-0.0270033385588917,-0.02669474037238473,-0.02545202999590046
44,0.00594,0.005922427751766588,31.2217,0.420706,0.7293828146319861,0.7023825651158866,0.7026910918070648,0.7039331071473356,-0.027000249516099473,-0.02669172282492127,-0.025449707484650474
45,0.00596,0.005942309455629265,32.0666,0.343707,-0.108183146273376,-0.1351803068759807,-0.13487185167316085,-0.1336305312219892,-0.02699716060260471,-0.02668870539978485,-0.025447384948613205
46,0.00596,0.005942309455629265,31.9102,0.350249,0.04821685372662543,0.021219693124020722,0.02152814832684058,0.022769468778012225,-0.02699716060260471,-0.02668870539978485,-0.025447384948613205
47,0.00596,0.005942309455629265,31.9404,0.344335,0.01801685372662476,-0.008980306875979949,-0.008671851673160091,-0.007430531221988446,-0.02699716060260471,-0.02668870539978485,-0.025447384948613205
48,0.00603,0.006011892306466737,32.4685,0.487055,-0.4846055134672369,-0.5115918638908319,-0.5112836588423875,-0.5100447693447663,-0.026986350423594985,-0.026678145375150564,-0.025439255877529376
49,0.00611,0.0060914096363167015,32.4405,0.439634,-0.4278461853488764,-0.45482018322146445,-0.45451226395922717,-0.4532761504887759,-0.02697399787258803,-0.026666078610350752,-0.02542996513989948
50,0.00635,0.006329923694869696,32.0337,0.339166,0.06303580837874989,0.036098855749848724,0.0364059183220391,0.0376337178142947,-0.026936952628901167,-0.026629890056710792,-0.025402090564455193
51,0.00635,0.006329923694869696,32.0999,0.322811,-0.0031641916212450383,-0.030101144250146206,-0.02979408167795583,-0.02856628218570023,-0.026936952628901167,-0.026629890056710792,-0.025402090564455193
52,0.00635,0.006329923694869696,32.0667,0.32593,0.030035808378755746,0.003098855749854579,0.003405918322044954,0.004633717814300553,-0.026936952628901167,-0.026629890056710792,-0.025402090564455193
53,0.00635,0.006329923694869696,32.0023,0.36156,0.09443580837875487,0.0674988557498537,0.06780591832204408,0.06903371781429968,-0.026936952628901167,-0.026629890056710792,-0.025402090564455193
54,0.0066,0.0065783153601225676,31.6292,0.385756,0.5518236034579864,0.524925219835982,0.5252313910884716,0.5264505526552021,-0.026898383622004474,-0.02659221236951481,-0.02537305080278429
55,0.0066,0.0065783153601225676,31.6799,0.375913,0.5011236034579873,0.47422521983598287,0.47453139108847253,0.47575055265520305,-0.026898383622004474,-0.02659221236951481,-0.02537305080278429
56,0.00664,0.006618052301575412,32.7943,0.289134,-0.6000858126376727,-0.6269780270920009,-0.6266719983497993,-0.6254542167259132,-0.02689221445432821,-0.026586185712126564,-0.02536840408824048
57,0.00664,0.006618052301575412,32.7685,0.292411,-0.574285812637676,-0.6011780270920042,-0.6008719983498025,-0.5996542167259165,-0.02689221445432821,-0.026586185712126564,-0.02536840408824048
58,0.00664,0.006618052301575412,32.7423,0.294759,-0.5480858126376731,-0.5749780270920013,-0.5746719983497997,-0.5734542167259136,-0.02689221445432821,-0.026586185712126564,-0.02536840408824048
59,0.00668,0.006657787664066485,32.4642,0.300269,-0.256874036253663,-0.28376008205704295,-0.2834541957973187,-0.28223779353041323,-0.026886045803379943,-0.026580159543655668,-0.02536375727675022
60,0.00668,0.006657787664066485,32.4423,0.300309,-0.23497403625366786,-0.2618600820570478,-0.26155419579732353,-0.2603377935304181,-0.026886045803379943,-0.026580159543655668,-0.02536375727675022
61,0.00701,0.0069855441737121295,31.7282,0.501431,0.5844099433747445,0.5575747692286512,0.5578794810688095,0.5590845259755355,-0.026835174146093266,-0.026530462305935032,-0.025325417399209016
62,0.00703,0.0070054047524500465,32.3221,0.322655,-0.0032686086021058713,-0.030100700747411224,-0.029796060023400628,-0.028591702162131583,-0.026832092145305353,-0.026527451421294757,-0.02532309356002571
63,0.00703,0.0070054047524500465,32.3193,0.325586,-0.00046860860210529154,-0.027300700747410644,-0.026996060023400048,-0.025791702162131003,-0.026832092145305353,-0.026527451421294757,-0.02532309356002571
64,0.00703,0.0070054047524500465,32.3327,0.348317,-0.013868608602109589,-0.04070070074741494,-0.040396060023404345,-0.0391917021621353,-0.026832092145305353,-0.026527451421294757,-0.02532309356002571
65,0.00722,0.0071940605802405634,32.3312,0.373843,0.045872376415211136,0.019069556838182677,0.019373522305080826,0.02057136051881514,-0.02680281957702846,-0.02649885411013031,-0.025301015896395995
66,0.00722,0.0071940605802405634,32.2998,0.396652,0.07727237641521612,0.05046955683818766,0.050773522305085805,0.05197136051882012,-0.02680281957702846,-0.02649885411013031,-0.025301015896395995
67,0.00727,0.007243700935874266,32.2048,0.34795,0.18734569716789196,0.16055057896191727,0.16085436683370347,0.1620504915402705,-0.02679511820597469,-0.02649133033418849,-0.025295205627621442
68,0.00727,0.007243700935874266,32.1729,0.371125,0.21924569716789222,0.19245057896191753,0.19275436683370373,0.19395049154027078,-0.02679511820597469,-0.02649133033418849,-0.025295205627621442
69,0.00727,0.007243700935874266,32.1951,0.34053,0.19704569716789422,0.17025057896191953,0.17055436683370573,0.17175049154027278,-0.02679511820597469,-0.02649133033418849,-0.025295205627621442
70,0.00758,0.007551416152834459,33.2138,0.462834,-0.7304394890485497,-0.7571868767580554,-0.756884189008133,-0.755698667706902,-0.026747387709505688,-0.026444699959583318,-0.025259178658352255
71,0.00769,0.007660582666611017,32.6418,0.362719,-0.12696196386873027,-0.1536924224022087,-0.15339012461766544,-0.15220835740353067,-0.02673045853347844,-0.02642816074893517,-0.025246393534800404
72,0.00769,0.007660582666611017,32.7164,0.317031,-0.20156196386872693,-0.22829242240220537,-0.2279901246176621,-0.22680835740352734,-0.02673045853347844,-0.02642816074893517,-0.025246393534800404
73,0.00769,0.007660582666611017,32.6151,0.317457,-0.10026196386872499,-0.12699242240220343,-0.12669012461766016,-0.1255083574035254,-0.02673045853347844,-0.02642816074893517,-0.025246393534800404
74,0.00773,0.007700276626187931,32.7527,0.26758,-0.2265264354215617,-0.25325073885859695,-0.2529485828276563,-0.2517681796447633,-0.026724303437035246,-0.02642214740609461,-0.02524174422320158
75,0.00775,0.007720123015138113,32.6922,0.484865,-0.16038051501999462,-0.18710174110230327,-0.1867996559377758,-0.18561993455230663,-0.026721226082308647,-0.026419140917781192,-0.025239419532312013
76,0.00775,0.007720123015138113,32.521,0.465611,0.01081948498000429,-0.015901741102304356,-0.015599655937776902,-0.014419934552307723,-0.026721226082308647,-0.026419140917781192,-0.025239419532312013
77,0.0078,0.007769737264360664,32.484,0.342662,0.06187117526864938,0.03515764200879801,0.03545955003762202,0.0366375675657622,-0.026713533259851374,-0.026411625231027358,-0.025233607702887184
78,0.00788,0.007849114943399009,32.7092,0.367554,-0.14103126048281922,-0.1677324869035246,-0.16743086220177616,-0.16625556895542815,-0.026701226420705382,-0.026399601718956944,-0.025224308472608925
79,0.00796,0.007928486322121526,32.6928,0.359218,-0.10255753466124418,-0.12924645630636178,-0.12894511482087267,-0.12777254353126466,-0.026688921645117603,-0.0263875801596285,-0.025215008870020483
80,0.00801,0.007978090234888335,31.7321,0.531169,0.8718268707272578,0.8451456385190745,0.8454468030506668,0.846617674297466,-0.026681232208183303,-0.026380067676591068,-0.025209196429791803
81,0.00801,0.007978090234888335,32.6707,0.286975,-0.0667731292727396,-0.0934543614809229,-0.09315319694933066,-0.0919823257025314,-0.026681232208183303,-0.026380067676591068,-0.025209196429791803
82,0.00801,0.007978090234888335,32.7434,0.280148,-0.13947312927274425,-0.16615436148092755,-0.1658531969493353,-0.16468232570253605,-0.026681232208183303,-0.026380067676591068,-0.025209196429791803
83,0.00801,0.007978090234888335,32.3711,0.371926,0.2328268707272585,0.2061456385190752,0.20644680305066743,0.2076176742974667,-0.026681232208183303,-0.026380067676591068,-0.025209196429791803
84,0.00812,0.008087210182619037,31.9733,0.415464,0.660436175011295,0.6337718567275381,0.6340726321128578,0.6352397664593674,-0.026664318283756927,-0.02636354289843723,-0.025196408551927618
85,0.00812,0.008087210182619037,32.7223,0.383433,-0.08856382498870374,-0.11522814327246067,-0.11492736788714097,-0.11376023354063136,-0.026664318283756927,-0.02636354289843723,-0.025196408551927618
86,0.00837,0.008335165789917734,32.8616,0.327035,-0.16158102204679636,-0.18820691409714385,-0.1879070223567041,-0.18674836464725075,-0.02662589205034749,-0.026326000309907727,-0.02516734260045439
87,0.00841,0.008374832982179899,32.3744,0.338325,0.3360413582538726,0.3094216125317999,0.3097213629893645,0.3108786665383221,-0.026619745722072707,-0.026319995264508123,-0.025162691715550523
88,0.00841,0.008374832982179899,32.3945,0.331296,0.31594135825387326,0.28932161253180055,0.28962136298936514,0.29077866653832274,-0.026619745722072707,-0.026319995264508123,-0.025162691715550523
89,0.00841,0.008374832982179899,32.335,0.337879,0.37544135825387315,0.34882161253180044,0.349121362989365,0.3502786665383226,-0.026619745722072707,-0.026319995264508123,-0.025162691715550523
90,0.00853,0.008493825118923274,32.799,0.368859,-0.057584414549374685,-0.08418572437968663,-0.08388639760485006,-0.08273315306214357,-0.026601309830311948,-0.026301983055475375,-0.025148738512768887
91,0.00853,0.008493825118923274,32.7498,0.409525,-0.008384414549375663,-0.03498572437968761,-0.03468639760485104,-0.03353315306214455,-0.026601309830311948,-0.026301983055475375,-0.025148738512768887
92,0.00861,0.008573145344630903,32.852,0.318032,-0.09017446578624089,-0.11676348759933575,-0.11646444314140325,-0.11531390170833333,-0.02658902181309486,-0.026289977355162364,-0.025139435922092446
93,0.00867,0.008632631385257583,32.4455,0.490787,0.3315097645550722,0.30492995740197415,0.3052287901947821,0.306377305814415,-0.026579807153098045,-0.026280974360290088,-0.02513245874065717
94,0.009,0.008959741371471902,33.4753,0.372879,-0.616598581689388,-0.6431277289369248,-0.6428300591911977,-0.6416926622986239,-0.026529147247536855,-0.026231477501809763,-0.025094080609235903
95,0.00921,0.009167846574357517,33.3378,0.306294,-0.42864746577538426,-0.4551443931570418,-0.4548474625538006,-0.453717120757716,-0.026496927381657542,-0.026199996778416335,-0.025069654982331713
96,0.00921,0.009167846574357517,33.2253,0.299086,-0.31614746577538,-0.34264439315703754,-0.34234746255379633,-0.3412171207577117,-0.026496927381657542,-0.026199996778416335,-0.025069654982331713
97,0.00931,0.00926692907052482,32.4198,0.425219,0.5129768036771694,0.48649521409959817,0.48679179299751496,0.487918780808549,-0.026481589577571185,-0.026185010679654397,-0.025058022868620355
98,0.00957,0.00952449762480977,32.9165,0.372831,0.0765404137507133,0.05009868740349077,0.05039435267406844,0.0515126369657537,-0.026441726347222527,-0.026146061076644855,-0.0250277767849596
99,0.00957,0.00952449762480977,32.8029,0.35789,0.19014041375071145,0.16369868740348892,0.1639943526740666,0.16511263696575185,-0.026441726347222527,-0.026146061076644855,-0.0250277767849596
100,0.00958,0.009534402782920937,33.0869,0.343916,-0.09157433587907349,-0.11801452945949364,-0.11771889930517432,-0.11660094927879072,-0.026440193580420157,-0.02614456342610083,-0.025026613399717235
101,0.00966,0.009613640515970854,32.9159,0.285505,0.09762289291235504,0.07119496030826866,0.07149030959451608,0.07260558679198681,-0.02642793260408638,-0.026132583317838964,-0.025017306120368232
102,0.00966,0.009613640515970854,32.8973,0.282867,0.11622289291235433,0.08979496030826795,0.09009030959451536,0.09120558679198609,-0.02642793260408638,-0.026132583317838964,-0.025017306120368232
103,0.00966,0.009613640515970854,32.8914,0.286425,0.12212289291235834,0.09569496030827196,0.09599030959451937,0.0971055867919901,-0.02642793260408638,-0.026132583317838964,-0.025017306120368232
104,0.00979,0.009742388442564308,32.9674,0.341878,0.07537679246134132,0.04896877955302159,0.049263672663656166,0.050374611416501125,-0.026408012908319733,-0.026113119797685158,-0.0250021810448402
105,0.00979,0.009742388442564308,32.9182,0.365223,0.12457679246134035,0.09816877955302061,0.09846367266365519,0.09957461141650015,-0.026408012908319733,-0.026113119797685158,-0.0250021810448402
106,0.0098,0.00975229144267827,33.1236,0.317227,-0.07858889959914706,-0.10499538044832946,-0.1047005224160742,-0.10358991713845711,-0.0264064808491824,-0.026111622816927138,-0.025001017539310055
107,0.00993,0.009881021520638716,33.1809,0.377969,-0.10704700738084227,-0.1334335743877091,-0.13313917221785943,-0.13203289885333191,-0.026386567006866812,-0.02609216483701715,-0.02498589147248964
108,0.00993,0.009881021520638716,33.0683,0.324016,0.0055529926191582035,-0.02083357438770861,-0.020539172217858948,-0.019432898853331437,-0.026386567006866812,-0.02609216483701715,-0.02498589147248964
109,0.00998,0.009930528676908265,33.0399,0.268981,0.044946379526194846,0.018567470242366824,0.018861697157944946,0.019966306015874125,-0.026378909283828023,-0.0260846823682499,-0.02498007351032072
110,0.00998,0.009930528676908265,33.2469,0.254885,-0.1620536204737988,-0.1884325297576268,-0.1881383028420487,-0.1870336939841195,-0.026378909283828023,-0.0260846823682499,-0.02498007351032072
111,0.00998,0.009930528676908265,33.2309,0.251906,-0.14605362047380055,-0.17243252975762857,-0.17213830284205045,-0.17103369398412127,-0.026378909283828023,-0.0260846823682499,-0.02498007351032072
112,0.00998,0.009930528676908265,33.2135,0.253629,-0.12865362047380557,-0.1550325297576336,-0.15473830284205548,-0.1536336939841263,-0.026378909283828023,-0.0260846823682499,-0.02498007351032072
113,0.01029,0.010237418352479368,32.3353,0.401367,0.8165093330945723,0.7901778837537634,0.7904710250522697,0.7915653339597739,-0.026331449340808888,-0.02603830804230256,-0.02494399913479839
114,0.0104,0.010346292054144302,33.5709,0.314858,-0.3958097183432372,-0.42212433448428754,-0.4218315780077404,-0.4207409156540294,-0.02631461614105035,-0.02602185966450321,-0.024931197310792186
115,0.01042,0.010366085999177163,32.7794,0.348547,0.39989692697198365,0.37358537099493105,0.37387805752617,0.3749680573349323,-0.026311555977052592,-0.026018869445813664,-0.02492886963705132
116,0.01042,0.010366085999177163,33.2788,0.247952,-0.09950307302801065,-0.12581462900506324,-0.1255219424738243,-0.12443194266506197,-0.026311555977052592,-0.026018869445813664,-0.02492886963705132
117,0.01048,0.010425465483582752,33.1081,0.364668,0.08376898051898962,0.057466604262671694,0.05775908099922589,0.05884709403091648,-0.026302376256317928,-0.026009899519763735,-0.02492188648807314
118,0.01049,0.010435361721527979,33.3806,0.309009,-0.18664262008365995,-0.21294346649899865,-0.21265102472220576,-0.21156334269495858,-0.026300846415338697,-0.026008404638545812,-0.02492072261129863
119,0.01049,0.010435361721527979,33.2931,0.27457,-0.09914262008366137,-0.12544346649900007,-0.12515102472220718,-0.12406334269496,-0.026300846415338697,-0.026008404638545812,-0.02492072261129863
120,0.0105,0.01044525786153865,32.7458,0.360296,0.450243805722657,0.423944489116181,0.42423689593491787,0.42532424699345484,-0.026299316606475998,-0.02600690978773912,-0.02491955872920215
121,0.0105,0.01044525786153865,32.9015,0.334006,0.29454380572266103,0.26824448911618504,0.2685368959349219,0.2696242469934589,-0.026299316606475998,-0.02600690978773912,-0.02491955872920215
122,0.0105,0.01044525786153865,32.6457,0.409088,0.5503438057226617,0.5240444891161857,0.5243368959349226,0.5254242469934596,-0.026299316606475998,-0.02600690978773912,-0.02491955872920215
123,0.01051,0.0104551539036167,32.901,0.309548,0.29712826169492956,0.2708304748651784,0.2711228467275788,0.27220986685312454,-0.026297786829751146,-0.02600541496735076,-0.024918394841805025
124,0.01051,0.0104551539036167,32.8654,0.334488,0.33272826169493186,0.3064304748651807,0.3067228467275811,0.30780986685312683,-0.026297786829751146,-0.02600541496735076,-0.024918394841805025
125,0.01096,0.010900374468288253,33.4947,0.325172,-0.20475109669443015,-0.23098007682120425,-0.23068927621765312,-0.22961711113720185,-0.026228980126774104,-0.02593817952322297,-0.0248660144427717
126,0.01096,0.010900374468288253,33.8347,0.353909,-0.5447510966944265,-0.5709800768212006,-0.5706892762176494,-0.5696171111371982,-0.026228980126774104,-0.02593817952322297,-0.0248660144427717
127,0.01096,0.010900374468288253,33.4336,0.283424,-0.14365109669442688,-0.169880076821201,-0.16958927621764985,-0.16851711113719858,-0.026228980126774104,-0.02593817952322297,-0.0248660144427717
128,0.01142,0.011355284038134477,33.7403,0.254135,-0.3602750408545248,-0.3864337524513317,-0.3861445544350417,-0.3850874999589209,-0.02615871159680694,-0.025869513580516923,-0.024812459104396112
129,0.01168,0.011612315328166022,33.4974,0.301502,-0.06804035721177115,-0.09415938185490802,-0.09387108804604338,-0.09282254108916987,-0.026119024643136868,-0.02583073083427223,-0.024782183877398722
130,0.01189,0.011819869305299383,33.5833,0.281169,-0.11488115739135907,-0.14096814302001093,-0.1406805786883325,-0.13963888568955696,-0.02608698562865186,-0.025799421296973435,-0.02475772829819789
131,0.0122,0.012126179797840567,33.708,0.24076,-0.1831539320840534,-0.209193647874244,-0.20890715901220602,-0.20787555522764478,-0.0260397157901906,-0.025753226928152628,-0.024721623143591387
132,0.0122,0.012126179797840567,33.7246,0.250097,-0.19975393208405734,-0.22579364787424794,-0.22550715901220997,-0.22447555522764873,-0.0260397157901906,-0.025753226928152628,-0.024721623143591387
133,0.01222,0.01214593854355603,33.5673,0.284786,-0.038862396520869424,-0.06489906370216403,-0.06461264416890344,-0.063581690134491,-0.026036667181294604,-0.02575024764803402,-0.024719293613621574
134,0.01222,0.01214593854355603,33.5752,0.292564,-0.046762396520868776,-0.07279906370216338,-0.0725126441689028,-0.07148169013449035,-0.026036667181294604,-0.02575024764803402,-0.024719293613621574
135,0.01238,0.012303994456164041,33.7337,0.342487,-0.17673796237087203,-0.2027502452972243,-0.20246438014822843,-0.2014386190285009,-0.02601228292635227,-0.025726417777356403,-0.024700656657628883
136,0.01238,0.012303994456164041,33.6369,0.29522,-0.07993796237087025,-0.10595024529722252,-0.10566438014822666,-0.10463861902849914,-0.02601228292635227,-0.025726417777356403,-0.024700656657628883
137,0.01244,0.01236325898339862,33.7023,0.266666,-0.1347353349454039,-0.16073847589166945,-0.16045281852413495,-0.1594290024172622,-0.026003140946265546,-0.02571748357873105,-0.024693667471858305
