z,delta_mu_su2r_minus_lcdm
1.082,0.009179022220244804
1.083,0.009180701380408607
1.084,0.009182370996228428
1.085,0.009184031091479028
1.086,0.009185681689906744
1.087,0.009187322815208177
1.088,0.009188954491030188
1.089,0.009190576740948586
1.09,0.009192189588503652
1.091,0.00919379305720014
1.092,0.00919538717045043
1.093,0.009196971951617172
1.094,0.00919854742407722
1.095,0.009200113611086636
1.096,0.009201670535844642
1.097,0.009203218221585985
1.098,0.009204756691374882
1.099,0.009206285968318184
1.1,0.00920780607544458
1.101,0.009209317035697495
1.102,0.009210818872020354
1.103,0.009212311607271317
1.104,0.009213795264265912
1.105,0.009215269865791242
1.106,0.009216735434542045
1.107,0.009218191993198843
1.108,0.009219639564378213
1.109,0.009221078170654096
1.11,0.009222507834522276
1.111,0.00922392857847143
1.112,0.009225340424897865
1.113,0.009226743396183679
1.114,0.009228137514654122
1.115,0.00922952280255629
1.116,0.009230899282123062
1.117,0.009232266975516268
1.118,0.009233625904862208
1.119,0.00923497609223034
1.12,0.009236317559640383
1.121,0.009237650329055214
1.1219999999999999,0.00923897442241639
1.123,0.009240289861587314
1.124,0.009241596668395857
1.125,0.009242894864605944
1.126,0.009244184471981498
1.127,0.009245465512165651
1.1280000000000001,0.009246738006801536
1.129,0.009248001977482545
1.13,0.00924925744574523
1.131,0.009250504433055085
1.1320000000000001,0.009251742960863396
1.133,0.009252973050564606
1.134,0.009254194723496312
1.135,0.009255408000974796
1.1360000000000001,0.009256612904223971
1.137,0.009257809454439325
1.138,0.009258997672795033
1.139,0.009260177580387108
1.1400000000000001,0.009261349198261826
1.141,0.009262512547458357
1.142,0.00926366764890929
1.143,0.009264814523561427
1.1440000000000001,0.009265953192262089
1.145,0.009267083675851495
1.146,0.0092682059950846
1.147,0.009269320170716355
1.148,0.00927042622341645
1.149,0.009271524173826151
1.15,0.00927261404251567
1.151,0.009273695850055219
1.152,0.009274769616943956
1.153,0.009275835363624196
1.154,0.009276893110488516
1.155,0.00927794287792949
1.156,0.009278984686233116
1.157,0.009280018555685388
1.158,0.009281044506487035
1.159,0.009282062558845894
1.16,0.009283072732870323
1.161,0.009284075048654472
1.162,0.009285069526256962
1.163,0.009286056185636937
1.164,0.009287035046781966
1.165,0.009288006129573034
1.166,0.009288969453884022
1.167,0.00928992503952486
1.168,0.009290872906277059
1.169,0.00929181307385818
1.17,0.00929274556194315
1.171,0.009293670390192688
1.172,0.009294587578182245
1.173,0.009295497145465959
1.174,0.009296399111562437
1.175,0.009297293495905024
1.176,0.009298180317927063
1.177,0.009299059597005055
1.178,0.009299931352465762
1.179,0.009300795603579104
1.18,0.009301652369607893
1.181,0.00930250166974389
1.182,0.00930334352313622
1.183,0.00930417794890559
1.184,0.009305004966101649
1.185,0.009305824593774048
1.186,0.009306636850872962
1.187,0.009307441756369883
1.188,0.00930823932914393
1.189,0.009309029588045803
1.19,0.009309812551890673
1.191,0.009310588239443973
1.192,0.009311356669435611
1.193,0.009312117860531544
1.194,0.009312871831383518
1.195,0.009313618600579332
1.196,0.009314358186699678
1.197,0.009315090608225773
1.198,0.009315815883638834
1.199,0.009316534031370338
1.2,0.009317245069809132
1.201,0.00931794901728722
1.202,0.00931864589212239
1.203,0.009319335712568488
1.204,0.00932001849684383
1.205,0.009320694263124096
1.206,0.00932136302955655
1.207,0.0093220248142174
1.208,0.009322679635182851
1.209,0.009323327510458057
1.21,0.009323968458005538
1.211,0.009324602495773604
1.212,0.009325229641618193
1.213,0.009325849913430773
1.214,0.009326463328996226
1.215,0.009327069906085228
1.216,0.009327669662411608
1.217,0.009328262615689198
1.218,0.009328848783539456
1.219,0.009329428183590949
1.22,0.00933000083337987
1.221,0.009330566750463731
1.222,0.009331125952286357
1.223,0.009331678456334203
1.224,0.009332224279987145
1.225,0.009332763440625058
1.226,0.009333295955556764
1.227,0.009333821842091083
1.228,0.009334341117458678
1.229,0.009334853798861786
1.23,0.009335359903467122
1.231,0.009335859448427186
1.232,0.00933635245080211
1.233,0.00933683892764492
1.234,0.009337318895987323
1.235,0.00933779237276866
1.236,0.009338259374949587
1.237,0.009338719919405492
1.238,0.009339174022997554
1.239,0.009339621702537215
1.24,0.0093400629748146
1.241,0.00934049785656299
1.242,0.009340926364465929
1.2429999999999999,0.00934134851520696
1.244,0.009341764325391466
1.245,0.009342173811617727
1.246,0.009342576990434281
1.2469999999999999,0.009342973878332828
1.248,0.009343364491812167
1.249,0.009343748847278732
1.25,0.009344126961138954
1.251,0.009344498849756633
1.252,0.009344864529431618
1.2530000000000001,0.009345224016470866
1.254,0.009345577327110277
1.255,0.009345924477543122
1.256,0.009346265483955563
1.2570000000000001,0.00934660036247692
1.258,0.009346929129193882
1.259,0.009347251800178924
1.26,0.009347568391440575
1.2610000000000001,0.009347878918980257
1.262,0.009348183398721233
1.263,0.00934848184659387
1.264,0.009348774278457483
1.2650000000000001,0.00934906071016428
1.266,0.009349341157502522
1.267,0.009349615636246256
1.268,0.009349884162112687
1.2690000000000001,0.009350146750797705
1.27,0.009350403417954567
1.271,0.009350654179208107
1.272,0.009350899050133421
1.2730000000000001,0.00935113804628429
1.274,0.009351371183171864
1.275,0.009351598476264655
1.276,0.00935181994100276
1.2770000000000001,0.009352035592783636
1.278,0.009352245446990537
1.279,0.009352449518956973
1.28,0.009352647823945404
1.2810000000000001,0.009352840377253813
1.282,0.00935302719409492
1.283,0.009353208289660131
1.284,0.00935338367910532
1.2850000000000001,0.009353553377550838
1.286,0.009353717400074402
1.287,0.00935387576173241
1.288,0.009354028477538634
1.289,0.009354175562471312
1.29,0.009354317031480264
1.291,0.009354452899472676
1.292,0.00935458318133442
1.293,0.009354707891887415
1.294,0.009354827045953584
1.295,0.009354940658305111
1.296,0.009355048743671546
1.297,0.009355151316768229
1.298,0.009355248392260762
1.299,0.00935533998477922
1.3,0.009355426108939469
1.301,0.009355506779286316
1.302,0.009355582010371677
1.303,0.009355651816704835
1.304,0.009355716212731124
1.305,0.009355775212881667
1.306,0.009355828831580482
1.307,0.009355877083173425
1.308,0.009355919981992145
1.309,0.009355957542354076
1.31,0.009355989778498497
1.311,0.009356016704678893
1.312,0.009356038335084804
1.313,0.009356054683884452
1.314,0.00935606576521053
1.315,0.009356071593153104
1.316,0.009356072181795128
1.317,0.009356067545169822
1.318,0.009356057697274878
1.319,0.00935604265207246
1.32,0.009356022423510524
1.321,0.009355997025487284
1.322,0.009355966471865429
1.323,0.009355930776500543
1.324,0.009355889953191365
1.325,0.00935584401571532
1.326,0.009355792977807198
1.327,0.009355736853180474
1.328,0.009355675655513096
1.329,0.00935560939845459
1.33,0.009355538095618954
1.331,0.009355461760591766
1.332,0.00935538040691597
1.333,0.009355294048106089
1.334,0.009355202697662435
1.335,0.009355106369049793
1.336,0.009355005075668998
1.337,0.009354898830913783
1.338,0.009354787648163665
1.339,0.00935467154072711
1.34,0.009354550521926797
1.341,0.00935442460502145
1.342,0.009354293803241376
1.343,0.009354158129788459
1.344,0.009354017597857478
1.345,0.009353872220586368
1.346,0.009353722011077537
1.347,0.009353566982397865
1.348,0.009353407147649762
1.349,0.009353242519814842
1.35,0.009353073111896038
1.351,0.009352898936853649
1.3519999999999999,0.009352720007605342
1.353,0.009352536337061679
1.354,0.009352347938090588
1.355,0.009352154823531578
1.3559999999999999,0.009351957006202838
1.357,0.009351754498865716
1.358,0.00935154731428156
1.359,0.009351335465154875
1.3599999999999999,0.009351118964204375
1.361,0.009350897824056403
1.362,0.009350672057344411
1.363,0.009350441676687637
1.3639999999999999,0.009350206694634267
1.365,0.009349967123739589
1.366,0.009349722976516261
1.367,0.00934947426543431
1.3679999999999999,0.009349221002963759
1.369,0.009348963201496474
1.37,0.009348700873459848
1.371,0.009348434031196007
1.3719999999999999,0.00934816268706129
1.373,0.009347886853340981
1.374,0.009347606542320364
1.375,0.0093473217662563
1.376,0.00934703253734881
1.377,0.009346738867812121
1.3780000000000001,0.00934644076978941
1.379,0.009346138255430958
1.38,0.009345831336823096
1.381,0.009345520026052156
1.3820000000000001,0.009345204335168944
1.383,0.009344884276195842
1.384,0.009344559861119706
1.385,0.00934423110189897
