model,theta,chi2,posterior_weight
PATH_GAMMA2P3,0.634466865731316,2155.7362209032626,6.299399045798666e-14
PATH_GAMMA2P3,0.6347032691690166,2155.5939450751666,6.763849315339385e-14
PATH_GAMMA2P3,0.6349396726067171,2155.4518748798578,7.261796507102605e-14
PATH_GAMMA2P3,0.6351760760444177,2155.310010309302,7.79560050130712e-14
PATH_GAMMA2P3,0.6354124794821183,2155.1683513554435,8.367783320799418e-14
PATH_GAMMA2P3,0.6356488829198189,2155.0268980102287,8.981039975597605e-14
PATH_GAMMA2P3,0.6358852863575195,2154.8856502656145,9.638250011977493e-14
PATH_GAMMA2P3,0.63612168979522,2154.744608113543,1.034248981055512e-13
PATH_GAMMA2P3,0.6363580932329206,2154.603771545975,1.1097045679975032e-13
PATH_GAMMA2P3,0.6365944966706212,2154.463140554853,1.1905427796692063e-13
PATH_GAMMA2P3,0.6368309001083218,2154.322715132111,1.2771385043197235e-13
PATH_GAMMA2P3,0.6370673035460224,2154.18249526973,1.3698920800676797e-13
PATH_GAMMA2P3,0.6373037069837229,2154.042480959631,1.469230975690769e-13
PATH_GAMMA2P3,0.6375401104214234,2153.902672193786,1.575611579003098e-13
PATH_GAMMA2P3,0.637776513859124,2153.7630689641296,1.689521099777049e-13
PATH_GAMMA2P3,0.6380129172968246,2153.623671262625,1.811479594044914e-13
PATH_GAMMA2P3,0.6382493207345252,2153.4844790812062,1.9420421174979212e-13
PATH_GAMMA2P3,0.6384857241722257,2153.3454924118387,2.0818010157324127e-13
PATH_GAMMA2P3,0.6387221276099263,2153.206711246458,2.2313883599841017e-13
PATH_GAMMA2P3,0.6389585310476269,2153.0681355770175,2.3914785370585307e-13
PATH_GAMMA2P3,0.6391949344853275,2152.929765395482,2.5627910030641486e-13
PATH_GAMMA2P3,0.6394313379230281,2152.7916006937885,2.746093210952176e-13
PATH_GAMMA2P3,0.6396677413607286,2152.6536414638826,2.942203722337899e-13
PATH_GAMMA2P3,0.6399041447984292,2152.5158876977266,3.151995514928374e-13
PATH_GAMMA2P3,0.6401405482361298,2152.3783393872636,3.3763994974899924e-13
PATH_GAMMA2P3,0.6403769516738304,2152.2409965244437,3.616408244772739e-13
PATH_GAMMA2P3,0.640613355111531,2152.103859101221,3.87307996582742e-13
PATH_GAMMA2P3,0.6408497585492314,2151.966927109545,4.147542719777662e-13
PATH_GAMMA2P3,0.641086161986932,2151.8302005413625,4.44099889391533e-13
PATH_GAMMA2P3,0.6413225654246326,2151.6936793886234,4.7547299599015e-13
PATH_GAMMA2P3,0.6415589688623332,2151.5573636432946,5.090101524724147e-13
PATH_GAMMA2P3,0.6417953723000338,2151.4212532973006,5.44856869427109e-13
PATH_GAMMA2P3,0.6420317757377343,2151.2853483426084,5.831681767631871e-13
PATH_GAMMA2P3,0.6422681791754349,2151.149648771168,6.241092282562554e-13
PATH_GAMMA2P3,0.6425045826131355,2151.0141545749198,6.67855943246441e-13
PATH_GAMMA2P3,0.6427409860508361,2150.8788657458294,7.145956876972634e-13
PATH_GAMMA2P3,0.6429773894885367,2150.7437822758325,7.64527996985679e-13
