model,theta,posterior_weight,high_z_chi2,high_z_logpdf,PantheonPlusSH0ES_chi2,PantheonPlusSH0ES_logpdf,DES_Dovekie_raw_chi2,DES_Dovekie_raw_logpdf,Union3p1_UNITY1p8_chi2,Union3p1_UNITY1p8_logpdf
PATH_GAMMA2P3,0.7181536826773183,9.097686674623581e-06,959.6099375004251,202.932029874491,147.0617047412799,94.6997142760585,799.1198813790563,86.87550157631745,13.428351380088905,21.35681402211507
PATH_GAMMA2P3,0.7183900861150189,9.42167070463365e-06,959.5001223422656,202.98693745357073,147.02282172383758,94.71915578477967,799.0695461016758,86.90066921500772,13.407754516752373,21.36711245378333
PATH_GAMMA2P3,0.7186264895527195,9.756203096137958e-06,959.3906465329791,203.04167535821404,146.98403251529092,94.73855038905299,799.0193933035937,86.92574561404876,13.38722071409449,21.37737935511228
PATH_GAMMA2P3,0.71886289299042,1.0101589387984222e-05,959.281510049693,203.09624359985705,146.9453371090241,94.7578980921864,798.9694229732522,86.9507307792195,13.36674996741673,21.38761472845115
PATH_GAMMA2P3,0.7190992964281206,1.045814259614297e-05,959.1727128695278,203.15064218993956,146.90673549841875,94.77719889748903,798.9196350990909,86.9756247163001,13.346342272018177,21.39781857615043
PATH_GAMMA2P3,0.7193356998658211,1.0826183349650767e-05,959.0642549696149,203.2048711398961,146.86822767686135,94.79645280826776,798.8700296695558,87.00042743106769,13.325997623197736,21.40799090056065
PATH_GAMMA2P3,0.7195721033035217,1.1206040027144933e-05,958.9561363270742,203.25893046116647,146.82981363773206,94.8156598278324,798.8206066730852,87.02513892930301,13.305716016256943,21.41813170403105
PATH_GAMMA2P3,0.7198085067412223,1.1598048894287692e-05,958.8483569190348,203.31282016518617,146.79149337441748,94.83481995948966,798.7713660981258,87.04975921678272,13.285497446491462,21.42824098891379
PATH_GAMMA2P3,0.7200449101789229,1.2002554242320939e-05,958.7409167226134,203.36654026339681,146.75326688029907,94.8539332065489,798.7223079331105,87.07428829929029,13.26534190920379,21.43831875755762
PATH_GAMMA2P3,0.7202813136166235,1.2419908526923562e-05,958.6338157149416,203.42009076723275,146.71513414876057,94.87299957231812,798.6734321664892,87.09872618260101,13.245249399691833,21.448365012313605
PATH_GAMMA2P3,0.720517717054324,1.2850472507891818e-05,958.5270538731436,203.47347168813175,146.67709517318582,94.89201906010555,798.6247387867019,87.12307287249462,13.225219913255888,21.458379755531578
PATH_GAMMA2P3,0.7207541204920246,1.329461538955436e-05,958.4206311743415,203.52668303753282,146.63914994695563,94.91099167322062,798.5762277821918,87.14732837474969,13.205253445194042,21.468362989562497
PATH_GAMMA2P3,0.7209905239297252,1.3752714961267107e-05,958.3145475956594,203.57972482687384,146.60129846345552,94.92991741497065,798.5278991413984,87.17149269514641,13.185349990805474,21.47831471675678
PATH_GAMMA2P3,0.7212269273674258,1.4225157739039595e-05,958.2088031142254,203.6325970675909,146.56354071606842,94.9487962886642,798.4797528527658,87.19556583946269,13.165509545391052,21.488234939463997
PATH_GAMMA2P3,0.7214633308051263,1.4712339107029192e-05,958.1033977071547,203.68529977112618,146.52587669817632,94.9676282976103,798.4317889047311,87.21954781348006,13.145732104247411,21.498123660035812
PATH_GAMMA2P3,0.7216997342428269,1.5214663459496808e-05,957.9983313515826,203.73783294891226,146.48830640316197,94.98641344511748,798.3840072857449,87.24343862297314,13.126017662675764,21.507980880821638
PATH_GAMMA2P3,0.7219361376805274,1.5732544343029105e-05,957.893604024626,203.79019661239056,146.45082982440843,95.00515173449423,798.3364079842443,87.26723827372348,13.106366215973333,21.51780660417285
PATH_GAMMA2P3,0.722172541118228,1.6266404599091233e-05,957.789215703407,203.84239077300006,146.41344695529932,95.02384316904875,798.2889909886677,87.29094677151181,13.086777759440047,21.5276008324395
PATH_GAMMA2P3,0.7224089445559286,1.6816676506294095e-05,957.6851663650533,203.89441544217695,146.3761577892165,95.04248775209021,798.2417562874616,87.3145641221148,13.067252288375192,21.537363567971926
PATH_GAMMA2P3,0.7226453479936291,1.738380192297109e-05,957.5814559866858,203.94627063136068,146.33896231954276,95.06108548692703,798.1947038690653,87.33809033131297,13.047789798077702,21.54709481312067
PATH_GAMMA2P3,0.7228817514313297,1.796823242950419e-05,957.4780845454342,203.9979563519865,146.30186053966287,95.07963637686703,798.1478337219253,87.36152540488297,13.028390283846038,21.5567945702365
PATH_GAMMA2P3,0.7231181548690303,1.8570429470707397e-05,957.3750520184126,204.04947261549728,146.26485244295554,95.09814042522066,798.1011458344774,87.38486934860691,13.009053740979624,21.566462841669708
