window_index,bcut_deg,tag,z_lo,z_hi,z_center,N,n_mocks,observed_amp,mock_amp_mean,mock_amp_p50,mock_amp_p95,mock_amp_p99,p_amp_ge_observed,observed_abs_amp_par_cmb,mock_abs_par_p95,mock_abs_par_p99,p_abs_par_ge_observed,observed_formal_snr,mock_snr_p95,mock_snr_p99,p_snr_ge_observed,observed_sep_cmb_deg,mock_sep_p05,p_sep_le_observed,priority_score,saved_catalog_paths
11,20.0,z1p20_1p30,1.2,1.3,1.25,33196,200,0.0006223103329448,0.0006007944016068,0.0005347842546169,0.0011667355426875,0.0014034937492877,0.4228855721393035,0.0004203959287543,0.0010051742812273,0.0013266754281544,0.3880597014925373,2.771342688451037,2.902547593732804,3.494054989983863,0.0796019900497512,132.49614910632965,19.16332829277257,0.681592039800995,0.0266056923871807,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window011_z1p20_1p30_bcut20_mock000.npz
12,20.0,z1p90_2p00,1.9000000000000008,2.0000000000000004,1.9500000000000008,25800,200,0.0008069542930713,0.0006813137016292,0.0006349725952319,0.0012518224669786,0.0016181521207767,0.3134328358208955,0.0001663766061228,0.0010724326366689,0.001509518390119,0.8009950248756219,2.966677490138262,2.834005785558909,3.5829969032080395,0.0398009950248756,101.89849459556343,17.251853487036136,0.5572139303482587,0.0265106563514937,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window012_z1p90_2p00_bcut20_mock000.npz
13,25.0,z1p20_1p30,1.2,1.3,1.25,29938,200,0.0006244927825684,0.000621939287132,0.0005833633054332,0.001186783543613,0.0013576303136694,0.4477611940298507,0.0004937176107624,0.000951844065453,0.0012149374973443,0.3283582089552239,2.748880922584826,2.4902193036966542,3.041275570559587,0.0398009950248756,142.24066143013235,16.613793223230587,0.835820895522388,0.0263900529299603,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window013_z1p20_1p30_bcut25_mock000.npz
14,35.0,z1p20_1p30,1.2,1.3,1.25,23077,200,0.0006648548652652,0.0008993164042895,0.0008600980434096,0.0015980686505839,0.0021914494590749,0.6417910447761194,0.000297235996248,0.00139652285501,0.001917917580529,0.6567164179104478,2.60441229134676,2.6349909033170023,2.9489889939665908,0.0646766169154228,116.55578862361052,24.14042108479653,0.6666666666666666,0.0250031122321048,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window014_z1p20_1p30_bcut35_mock000.npz
15,15.0,z1p90_2p00,1.9000000000000008,2.0000000000000004,1.9500000000000008,27642,200,0.0007235346806174,0.0006079614500266,0.0005680715612757,0.001137918775384,0.0013397528994768,0.2985074626865671,0.000241857677236,0.00092681337187,0.0012290727822414,0.6616915422885572,2.795670573437421,2.799544913594346,3.11106370557067,0.0597014925373134,109.52829930345948,20.472031437859883,0.6218905472636815,0.0249825139708492,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window015_z1p90_2p00_bcut15_mock000.npz
16,10.0,z1p70_1p80,1.7000000000000004,1.8000000000000005,1.7500000000000004,34300,200,0.0007510803032586,0.0005278480791451,0.0004988011128584,0.0010019723502654,0.0012145488599197,0.1840796019900497,0.0006826395259508,0.0007391423957315,0.0010049964698555,0.0895522388059701,2.7001400518033387,2.8157716635603527,3.181807204127483,0.0696517412935323,155.35060377628432,21.75004019253824,0.8955223880597015,0.0249245991070372,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window016_z1p70_1p80_bcut10_mock000.npz
17,10.0,z1p20_1p30,1.2,1.3,1.25,37668,200,0.0005721408767321,0.0005340697932745,0.000506733082092,0.0009672157303025,0.0011395981600163,0.417910447761194,0.0004396214676685,0.0007146536391552,0.0009539416936694,0.2885572139303483,2.58244733131789,2.9354948982622115,3.212330109660285,0.1094527363184079,140.208614537676,19.31407951374724,0.845771144278607,0.0247922422547973,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window017_z1p20_1p30_bcut10_mock000.npz
18,15.0,z1p70_1p80,1.7000000000000004,1.8000000000000005,1.7500000000000004,32830,200,0.0007697557617228,0.0005879776619358,0.0005594568626753,0.001046292445406,0.0012432157785923,0.2388059701492537,0.0007026409560287,0.0008800283739122,0.0011545541098774,0.1293532338308457,2.663209047371987,2.8783182324242285,3.323992344308956,0.0845771144278607,155.89664404488136,10.827615060413784,0.9203980099502488,0.0245836943900923,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window018_z1p70_1p80_bcut15_mock000.npz
19,10.0,z1p90_2p00,1.9000000000000008,2.0000000000000004,1.9500000000000008,28768,200,0.0007009890189377,0.0005449192518155,0.0005131521249778,0.001009564921409,0.0012179444562542,0.2487562189054726,0.0002606251151288,0.0008748687820422,0.0010221931096427,0.5323383084577115,2.748884124441063,2.445785584500292,3.433039119803732,0.0398009950248756,111.8264417396138,15.663284508288967,0.5970149253731343,0.0245644235395932,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window019_z1p90_2p00_bcut10_mock000.npz
20,15.0,z1p50_2p50,1.5,2.5,2.0,264161,200,0.0029781037939457,0.002025755872894,0.0019126604880929,0.0037277886496973,0.0047545302249197,0.1791044776119403,0.0005363208107507,0.0032067085002866,0.0042043260375341,0.7014925373134329,2.7620798766748016,2.8918999638516247,3.255662792379029,0.0696517412935323,79.6251133331032,21.63361753003065,0.3781094527363184,0.0244656654957421,C:\Users\clive\Documents\Cosmology\plamb_runs\diagnostics\quaia_redshift_window_full_mocks_20260714\mock_catalogs\mock_window020_z1p50_2p50_bcut15_mock000.npz
