dataset,level,group,N,component_kind,covariance_role,budget_kind,sigma_projected_mag,projected_variance_raw_mag2,sigma_documented_mag,sigma_included_mag,sigma_add_mag,sigma_hierarchy_mag,additive_prior,prior_action,explicit_base,explicit_prior_role,source_path,note
PantheonPlusSH0ES,survey,IDSURVEY_50,27,CSP_RECAL,contained_in_STAT+SYS,calibration_component_control,0.0012758170678714641,1.6277091906721403e-06,,0.0012758170678714641,0.0,0.0012758170678714641,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_50,27,HSTCALSPEC,contained_in_STAT+SYS,calibration_component_control,0.00035555555555557883,1.2641975308643632e-07,,0.00035555555555557883,0.0,0.00035555555555557883,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_50,27,CALIB+CSP_RECAL+HSTCALSPEC,contained_in_STAT+SYS,aggregate_calibration_component_control,0.027120367272359242,0.0007355143209876543,,0.027120367272359242,0.0,0.027120367272359242,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_51,38,CALIB,contained_in_STAT+SYS,primary_calibration_component,0.009605405550494663,9.226381578947369e-05,,0.009605405550494663,0.0,0.009605405550494663,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_51,38,CSP_RECAL,contained_in_STAT+SYS,calibration_component_control,4.9512862427012444e-05,2.451523545716261e-09,,4.9512862427012444e-05,0.0,4.9512862427012444e-05,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_51,38,HSTCALSPEC,contained_in_STAT+SYS,calibration_component_control,0.0006078947368421024,3.695360110803289e-07,,0.0006078947368421024,0.0,0.0006078947368421024,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_51,38,CALIB+CSP_RECAL+HSTCALSPEC,contained_in_STAT+SYS,aggregate_calibration_component_control,0.009624749520070626,9.263580332409973e-05,,0.009624749520070626,0.0,0.009624749520070626,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_56,36,CALIB,contained_in_STAT+SYS,primary_calibration_component,0.04456361497142021,0.0019859157793209875,,0.04456361497142021,0.0,0.04456361497142021,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_56,36,CSP_RECAL,contained_in_STAT+SYS,calibration_component_control,0.0013667090101841528,1.867893518518547e-06,,0.0013667090101841528,0.0,0.0013667090101841528,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_56,36,HSTCALSPEC,contained_in_STAT+SYS,calibration_component_control,0.0018750000000000008,3.515625000000003e-06,,0.0018750000000000008,0.0,0.0018750000000000008,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_56,36,CALIB+CSP_RECAL+HSTCALSPEC,contained_in_STAT+SYS,aggregate_calibration_component_control,0.044623976714760705,0.001991299297839506,,0.044623976714760705,0.0,0.044623976714760705,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_57,85,CALIB,contained_in_STAT+SYS,primary_calibration_component,0.0038350553877342657,1.4707649826989619e-05,,0.0038350553877342657,0.0,0.0038350553877342657,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_57,85,CSP_RECAL,contained_in_STAT+SYS,calibration_component_control,0.0009792497657932968,9.589301038062268e-07,,0.0009792497657932968,0.0,0.0009792497657932968,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_57,85,HSTCALSPEC,contained_in_STAT+SYS,calibration_component_control,0.0009988235294117658,9.976484429065763e-07,,0.0009988235294117658,0.0,0.0009988235294117658,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_57,85,CALIB+CSP_RECAL+HSTCALSPEC,contained_in_STAT+SYS,aggregate_calibration_component_control,0.004082184265035377,1.666422837370242e-05,,0.004082184265035377,0.0,0.004082184265035377,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
