# Monte Carlo summary for <z> dipole vs z (pixel shuffling)
# bcut  tag            z_mid   N_good   A_obs      A_par_obs   f_par_obs   p_A    p_|A_par|  p_|f_par|
30.0  z1p30_1p40     1.35     206  4.799e-03  3.638e-03  +0.758  0.128  0.070  0.238
30.0  z1p40_1p50     1.45     248  2.226e-03  -1.877e-03  -0.843  0.662  0.298  0.151
30.0  z1p50_1p60     1.55     184  1.953e-03  1.266e-03  +0.648  0.786  0.507  0.314
30.0  z1p60_1p70     1.65     143  2.709e-03  2.346e-03  +0.866  0.733  0.299  0.090
30.0  z1p70_1p80     1.75     100  3.538e-03  -2.107e-05  -0.006  0.631  0.992  0.992
30.0  z1p80_1p90     1.85      92  4.242e-03  -1.516e-03  -0.357  0.605  0.596  0.605
30.0  z1p90_2p00     1.95      50  3.613e-03  3.237e-04  +0.090  0.763  0.925  0.906
30.0  z2p00_2p10     2.05      34  1.140e-02  -8.465e-03  -0.742  0.175  0.091  0.244
30.0  z2p10_2p20     2.15      15  1.810e-02  8.772e-04  +0.048  0.473  0.934  0.950
30.0  z2p20_2p30     2.25      15  8.419e-03  -2.581e-03  -0.307  0.835  0.732  0.598
30.0  z2p30_2p40     2.35      17  7.561e-03  -1.016e-03  -0.134  0.731  0.904  0.898
30.0  z2p40_2p50     2.45      15  9.754e-03  -7.658e-03  -0.785  0.610  0.261  0.151
35.0  z0p30_0p40     0.35       5  1.648e-02  -1.195e-02  -0.725  0.518  0.456  0.505
35.0  z0p40_0p50     0.45      10  2.509e-02  -6.916e-03  -0.276  0.343  0.603  0.711
35.0  z0p50_0p60     0.55      20  5.940e-03  1.429e-03  +0.241  0.899  0.889  0.830
35.0  z0p60_0p70     0.65      21  8.887e-03  5.602e-03  +0.630  0.784  0.526  0.362
35.0  z0p70_0p80     0.75      37  4.157e-03  2.800e-03  +0.674  0.906  0.609  0.298
35.0  z0p80_0p90     0.85      59  5.265e-03  -3.885e-03  -0.738  0.603  0.321  0.262
35.0  z0p90_1p00     0.95     121  4.107e-03  3.517e-03  +0.856  0.390  0.116  0.108
35.0  z1p00_1p10     1.05      95  4.303e-03  3.792e-03  +0.881  0.589  0.212  0.095
35.0  z1p10_1p20     1.15     137  4.191e-03  5.838e-04  +0.139  0.399  0.795  0.854
35.0  z1p20_1p30     1.25     119  5.489e-03  3.480e-04  +0.063  0.227  0.904  0.946
