scenario,galaxy,group,matched_candidate,N_points,delta_profile_objective_plamb_minus_rar,delta_data_objective_plamb_minus_rar,rar_profile_objective,plamb_profile_objective,rar_distance_pull,plamb_distance_pull,rar_disk_ml_multiplier,plamb_disk_ml_multiplier,rar_bulge_ml_multiplier,plamb_bulge_ml_multiplier,rar_delta_inc_deg,plamb_delta_inc_deg,rar_gas_multiplier,plamb_gas_multiplier,both_optimisers_succeeded
combined_conventional,UGC02487,candidate,UGC02487,17,0.05463265138658713,0.0724192437708524,14.342352069406797,14.396984720793384,0.031989975953626196,0.014398121672165178,1.7174034206264452,1.7501420155803378,1.7152340790118115,1.677269149086066,0.33612969137887977,0.1523424816783405,0.9771124192491122,0.9785294190044327,True
combined_conventional,UGC02885,matched_control,UGC02487,19,-0.2671775042143967,-0.233633863747011,13.04089070519738,12.773713200982984,0.21393338656146743,0.2160717745396846,0.8453223260435083,0.8414895800814952,1.6807811093920215,1.6656531229872575,0.7403919983570739,0.7473305498962177,1.0303525209957127,1.0271923804544025,True
combined_conventional,UGC02916,matched_control,UGC06787,43,0.08505495328302715,-0.06477467567624728,55.838535972314105,55.92359092559713,-0.7878419264019019,-0.8029527148267569,2.2381611502861034,2.2864575508544442,1.1057174832372159,1.1052305730793646,-5.08362821508614,-5.16085413594835,0.821636042103166,0.825656630147883,True
combined_conventional,UGC03205,matched_control,NGC5985,48,-0.07685982229389055,-0.06639744256749935,56.63539061325271,56.55853079095882,-0.1569818792347944,-0.18443917217190048,1.1324377773935117,1.138548807847989,1.7598019545362793,1.7540698400842492,-0.2490651581289919,-0.29232618109798914,0.9359104894639543,0.940335716924477,True
combined_conventional,UGC03546,matched_control,UGC03580,30,0.05053126411832354,-0.010219531555428318,3.9256649307662244,3.976196194884548,0.033838777081673245,0.04016727174199233,0.9236901910037514,0.9168318015856411,0.7032265331983512,0.6899203233249055,0.10940770665821595,0.1297516278893689,1.0079021886748696,1.0071266960005785,True
combined_conventional,UGC03580,candidate,UGC03580,47,-0.13114172228551269,-0.015818499031862387,21.786779180366672,21.65563745808116,0.04927361939089285,0.049421950228326954,0.5328959957863248,0.5292251464068011,0.29186913453839114,0.29436677027986374,0.07412548818812877,0.07434735242929524,1.2406136505976344,1.2328501554078641,True
combined_conventional,UGC05253,matched_control,UGC06787,73,0.2961341784096305,0.27586563857703794,39.73086289731849,40.02699707572812,-0.07938349882020695,-0.08455227353292712,1.1339968329064212,1.143807344671078,1.1336584783686559,1.125820002730346,-0.3170392512572292,-0.3378333091545147,0.9463281963364287,0.941084453595424,True
combined_conventional,UGC06786,matched_control,UGC09133,45,-0.02681347376278609,0.23365356128898895,21.12641851218151,21.099605038418723,2.582943297872067,2.5425671325741774,0.5911372517919938,0.5982748908722264,0.5695021658532158,0.5772239952712517,0.6368016735710492,0.6404481446082614,1.1371371617268002,1.1252752113589337,True
combined_conventional,UGC06787,candidate,UGC06787,71,-1.1410239374495035,-0.5561903864440865,79.03109373421758,77.89006979676807,3.018475782079194,2.983114310051738,0.5706148542316445,0.5841108745013533,0.4131022853045592,0.41620446759879565,0.5440847043228279,0.5472112688062061,1.4115763378465922,1.3815452097592826,True
combined_conventional,UGC08699,matched_control,UGC03580,41,-0.16763936365800625,-0.17706052509756987,10.66738139529601,10.499742031638004,0.17652839681122773,0.14697913458621295,1.1960333488911725,1.2160985551466343,1.009003236592355,1.001074730744814,0.767438991827292,0.6460678126118615,1.0081576751122499,1.0069745866276765,True
combined_conventional,UGC09133,candidate,UGC09133,68,1.2605482812093882,1.2232547569482932,45.95972836865755,47.22027664986694,-1.1372613500201807,-1.158352115867716,1.9590269722892415,1.9627929105804804,1.4872036930640853,1.4673458945321494,-6.280226962408777,-6.338189964984275,0.8681253402617357,0.8676678509216824,True
disk_bulge_decoupled,NGC2903,candidate,NGC2903,34,6.216802496767144,5.807909582097864,216.2958444241108,222.51264692087796,1.5426427728370795,1.5440257843661653,0.41643367629028816,0.4105141095807464,0.41643367629028816,0.4105141095807464,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,NGC3521,matched_control,NGC2903,41,-0.29817456387568697,-0.7914704952242033,18.134217174880337,17.83604261100465,0.5680227284570621,0.6254333828190505,0.7399759447114667,0.7100695436178233,0.7399759447114667,0.7100695436178233,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,NGC4559,matched_control,NGC2903,32,-0.003046565338047813,-0.025323501913165458,11.184507221662841,11.181460656324793,-0.9521359340564963,-0.9538542392478533,0.9326748954090358,0.9251930347553189,0.9326748954090358,0.9251930347553189,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,NGC5033,matched_control,NGC5985,22,4.797433291070831,4.640883454350629,79.34354976248515,84.14098305355598,-0.24135729088561195,-0.24195676358089596,1.403817229138851,1.3928547256470305,0.6633939828762182,0.6516165510207964,0.0,0.0,1.0,1.0,True
disk_bulge_decoupled,NGC5985,candidate,NGC5985,33,4.713396947179604,4.60393032025226,259.55060826378445,264.26400521096406,2.8188155126940235,2.816764192869696,0.4754580617540462,0.47305370675200686,2.718281828459045,2.718281828459045,0.0,0.0,1.0,1.0,True
