scenario,model,galaxy,N_points,success,message,optimisation_starts,successful_starts,best_start_index,profile_objective_start_spread,profile_objective,data_objective,prior_objective,logd,distance_pull,distance_multiplier,logeta_disk,disk_ml_multiplier,logeta_bulge,bulge_ml_multiplier,delta_inc_deg,inclination_pull,trial_inclination_deg,logeta_gas,gas_multiplier
baseline,RAR,UGC03205,48,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,5,9.049472282640636e-11,175.99345096737022,168.61353824623598,7.379912721134242,-0.1611209583357673,-1.3859656479426066,0.8511891064623197,0.5841132137617497,1.793399917908802,0.5841132137617497,1.793399917908802,0.0,0.0,67.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC03205,48,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,6,2.0747847884194925e-12,175.02587935338306,168.02303742881332,7.002841924569736,-0.1557172207718733,-1.3589469601231365,0.8558011589487197,0.567676463981786,1.764163188832526,0.567676463981786,1.764163188832526,0.0,0.0,67.0,0.0,1.0
baseline,RAR,UGC03546,30,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,6,1.270095140171179e-12,13.068192072944669,10.88424401450208,2.1839480584425885,0.2523147420565847,0.5430780252874917,1.2870010469010458,-0.3436035430634799,0.709210043561951,-0.3436035430634799,0.709210043561951,0.0,0.0,55.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC03546,30,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,3,6.094680315982259e-12,13.642750484076016,11.27893435210223,2.363816131973787,0.2575036159807522,0.5637614532907705,1.2936964889534615,-0.35759519324905514,0.6993561217924518,-0.35759519324905514,0.6993561217924518,0.0,0.0,55.0,0.0,1.0
baseline,RAR,UGC05253,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,10,7.02016222930979e-12,138.19968787162887,138.07796697501868,0.12172089661017473,0.11734350727462098,0.005089789318313491,1.1245056392212724,0.08721202277168767,1.0911279991775664,0.08721202277168767,1.0911279991775664,0.0,0.0,37.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC05253,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,9,4.121147867408581e-12,140.1167540214244,140.03550961296565,0.08124440845876871,0.12698838491374226,0.04370302322318714,1.1354038298914757,0.0704159313560869,1.0729543638206873,0.0704159313560869,1.0729543638206873,0.0,0.0,37.0,0.0,1.0
baseline,RAR,UGC06786,45,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,8,3.595346242946107e-12,51.2610911762212,35.62926584005926,15.63182533616194,0.8542822605829749,2.9548573247780694,2.3496873120080095,-0.6567268994018428,0.518545812489485,-0.6567268994018428,0.518545812489485,0.0,0.0,64.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06786,45,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,1,2.4868995751603507e-12,51.40356982007157,36.57511999237035,14.828449827701217,0.838718393473215,2.8925593321119543,2.3134002072668864,-0.6354894933195819,0.5296761519131246,-0.6354894933195819,0.5296761519131246,0.0,0.0,64.0,0.0,1.0
baseline,RAR,UGC08699,41,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,2,1.0906830993917538e-12,25.51595739662185,25.297299731928803,0.2186576646930473,0.231134680144226,0.4604843787611862,1.2600289288999482,0.02032824637353724,1.0205362723840559,0.02032824637353724,1.0205362723840559,0.0,0.0,73.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC08699,41,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,3,1.3859136061000754e-11,25.551930482968856,25.320221054655022,0.2317094283138345,0.23604318199321245,0.4801283831059079,1.266228987277872,0.008610183106143332,1.0086473573484511,0.008610183106143332,1.0086473573484511,0.0,0.0,73.0,0.0,1.0
stellar_ml_tight,RAR,UGC06787,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,8,522.4104054829044,465.20961160842285,441.64483253961873,23.564779068804132,0.8030301203154192,2.750414344931347,2.2322948126458426,-0.6,0.5488116360940265,-0.6,0.5488116360940265,0.0,0.0,66.0,0.0,1.0
stellar_ml_tight,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06787,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,1,102.40026722650828,454.7727567735086,431.21651024851553,23.556246524993096,0.8026425906521752,2.748862769399938,2.231429899789355,-0.6,0.5488116360940265,-0.6,0.5488116360940265,0.0,0.0,66.0,0.0,1.0
stellar_ml_tight,RAR,UGC03580,47,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,2,3.410605131648481e-13,199.0116860991537,182.98635995031228,16.025326148841422,0.07609449233418984,-0.15914191415659204,1.0790645326664925,-0.6,0.5488116360940265,-0.6,0.5488116360940265,0.0,0.0,63.0,0.0,1.0
