galaxy,distance_method,distance_group,median_inclination_deg,inclination_group,n_points,included
NGC7793,2,non_hubble,47.0,low_inc,46,True
NGC7814,2,non_hubble,90.0,high_inc,18,True
UGC00128,1,hubble,57.0,low_inc,22,True
UGC00191,1,hubble,45.0,low_inc,9,True
UGC00634,1,hubble,37.0,low_inc,4,True
UGC00731,1,hubble,57.0,low_inc,12,True
UGC00891,1,hubble,60.0,high_inc,5,True
UGC01230,1,hubble,22.0,low_inc,11,True
UGC01281,2,non_hubble,90.0,high_inc,25,True
UGC02023,1,hubble,19.0,low_inc,5,True
UGC02259,1,hubble,41.0,low_inc,8,True
UGC02885,1,hubble,64.0,high_inc,19,True
UGC02916,1,hubble,50.0,low_inc,43,True
UGC02953,1,hubble,50.0,low_inc,115,True
UGC03205,1,hubble,67.0,high_inc,48,True
UGC03546,1,hubble,55.0,low_inc,30,True
UGC04278,1,hubble,90.0,high_inc,25,True
UGC04325,1,hubble,41.0,low_inc,8,True
UGC04483,2,non_hubble,58.0,low_inc,8,True
UGC04499,1,hubble,50.0,low_inc,9,True
UGC05005,1,hubble,41.0,low_inc,11,True
UGC05253,1,hubble,37.0,low_inc,73,True
UGC05414,1,hubble,55.0,low_inc,6,True
UGC05716,1,hubble,54.0,low_inc,12,True
UGC05721,1,hubble,61.0,high_inc,23,True
UGC05750,1,hubble,64.0,high_inc,11,True
UGC05764,1,hubble,60.0,high_inc,10,True
UGC05829,1,hubble,34.0,low_inc,11,True
UGC05918,1,hubble,46.0,low_inc,8,True
UGC05986,1,hubble,90.0,high_inc,15,True
UGC05999,1,hubble,22.0,low_inc,5,True
UGC06399,4,non_hubble,75.0,high_inc,9,True
UGC06446,1,hubble,51.0,low_inc,17,True
UGC06614,1,hubble,36.0,low_inc,13,True
UGC06628,1,hubble,20.0,low_inc,7,True
UGC06667,4,non_hubble,89.0,high_inc,9,True
UGC06786,1,hubble,64.0,high_inc,45,True
UGC06818,4,non_hubble,75.0,high_inc,8,True
UGC06917,4,non_hubble,56.0,low_inc,11,True
UGC06923,4,non_hubble,65.0,high_inc,6,True
UGC06930,4,non_hubble,32.0,low_inc,10,True
UGC06983,4,non_hubble,49.0,low_inc,17,True
UGC07089,4,non_hubble,80.0,high_inc,12,True
UGC07125,1,hubble,90.0,high_inc,13,True
UGC07151,2,non_hubble,90.0,high_inc,11,True
UGC07232,2,non_hubble,59.0,low_inc,4,True
UGC07261,1,hubble,30.0,low_inc,7,True
UGC07323,1,hubble,47.0,low_inc,10,True
UGC07399,1,hubble,55.0,low_inc,10,True
UGC07524,2,non_hubble,46.0,low_inc,31,True
UGC07559,2,non_hubble,61.0,high_inc,7,True
UGC07577,2,non_hubble,63.0,high_inc,9,True
UGC07603,1,hubble,78.0,high_inc,12,True
UGC07608,1,hubble,25.0,low_inc,8,True
UGC07690,1,hubble,41.0,low_inc,7,True
UGC07866,2,non_hubble,44.0,low_inc,7,True
UGC08286,2,non_hubble,90.0,high_inc,17,True
UGC08490,2,non_hubble,50.0,low_inc,30,True
UGC08550,1,hubble,90.0,high_inc,11,True
UGC08699,1,hubble,73.0,high_inc,41,True
UGC08837,2,non_hubble,80.0,high_inc,8,True
UGC09037,1,hubble,65.0,high_inc,22,True
UGC09992,1,hubble,30.0,low_inc,5,True
UGC10310,1,hubble,34.0,low_inc,7,True
UGC11455,1,hubble,90.0,high_inc,36,True
UGC11557,1,hubble,30.0,low_inc,12,True
UGC11820,1,hubble,45.0,low_inc,10,True
UGC11914,1,hubble,31.0,low_inc,65,True
UGC12506,1,hubble,86.0,high_inc,31,True
UGC12632,1,hubble,46.0,low_inc,15,True
UGC12732,1,hubble,39.0,low_inc,16,True
UGCA442,2,non_hubble,64.0,high_inc,8,True
UGCA444,2,non_hubble,78.0,high_inc,36,True
