model,latent,galaxy,fraction_abs_ge_3p8,fraction_abs_ge_3p8_divergent,fraction_abs_ge_3p8_nondivergent,posterior_mean,posterior_sd,posterior_q01,posterior_q99
RAR,z_logd,UGC04499,0.0,0.0,0.0,-0.8332452590341106,0.24975418963634688,-1.4425634701317254,-0.29156269398724133
RAR,z_logd,UGC05005,0.0,0.0,0.0,-1.4055022413583529,0.4468705189718114,-2.4797129269676987,-0.4272093069471925
RAR,z_logd,UGC05253,0.0,0.0,0.0,0.15305070935716053,0.13463807405267453,-0.15977912606303488,0.4652299759415012
RAR,z_logd,UGC05414,0.0,0.0,0.0,-0.920700135785464,0.343647821509568,-1.7622443072032938,-0.16215381128694192
RAR,z_logd,UGC05716,0.0,0.0,0.0,-0.680298230550199,0.18779686589562605,-1.1336316765017118,-0.254680022866519
RAR,z_logd,UGC05721,0.0,0.0,0.0,1.3599795014846638,0.2165085025231777,0.8290697887558733,1.8380523658341437
RAR,z_logd,UGC05750,0.0,0.0,0.0,-1.647683338704849,0.5166826210788891,-2.887639770701779,-0.5044687092397958
RAR,z_logd,UGC05764,0.0,0.0,0.0,0.822696770405045,0.193608961302435,0.3548113980614123,1.257368522498873
RAR,z_logd,UGC05829,0.0,0.0,0.0,-1.041357528315284,0.2707513168040465,-1.6783591323355482,-0.43554085732842035
RAR,z_logd,UGC05918,0.0,0.0,0.0,-0.5501128239463969,0.3645593126287439,-1.4415332694608303,0.2536822071190513
RAR,z_logd,UGC05986,0.0,0.0,0.0,1.373535129608662,0.2956341043668301,0.634837163598266,2.0077467000270017
RAR,z_logd,UGC05999,0.0,0.0,0.0,-0.9677671085148692,0.3848019274672345,-1.9440707810394575,-0.0948453231867325
RAR,z_logd,UGC06399,0.0,0.0,0.0,0.7006463104404651,0.6522597078892118,-0.8218783279921319,2.1855280711195357
RAR,z_logd,UGC06446,0.0,0.0,0.0,-0.05194248718814572,0.22049984477092652,-0.5570840377483287,0.4402506565986204
RAR,z_logd,UGC06614,0.0,0.0,0.0,-0.18284464590070068,0.7633117713738735,-1.989972404025718,1.555251978816985
RAR,z_logd,UGC06628,0.054125,0.3333333333333333,0.054020257596598724,-3.093229440976813,0.4492945797564408,-3.953194691752203,-2.0182812100560006
RAR,z_logd,UGC06667,0.01525,0.0,0.01525572089533575,2.8793291399497667,0.44822011253382,1.8678113348450711,3.853292535034937
RAR,z_logd,UGC06786,0.0,0.0,0.0,3.0061625926299747,0.15108091550673022,2.649704208040459,3.352123230332995
RAR,z_logd,UGC06818,0.0,0.0,0.0,-0.540704383014919,0.6904546045265518,-2.161393973472506,0.9838091235576797
RAR,z_logd,UGC06917,0.0,0.0,0.0,0.49559062138733395,0.6261190022841082,-0.9779924448358897,1.874534450905253
RAR,z_logd,UGC06923,0.0,0.0,0.0,-0.2657670923687865,0.6699877551233476,-1.837299627480767,1.250048216333001
RAR,z_logd,UGC06930,0.0,0.0,0.0,-0.7396107702509337,0.5722414333871415,-2.1670826219007338,0.5493995538973802
RAR,z_logd,UGC06983,0.0,0.0,0.0,0.30074821160370424,0.5111677528015786,-0.9730969145986259,1.4545228674324024
RAR,z_logd,UGC07089,0.0,0.0,0.0,-1.3845575348842207,0.6056895776403959,-2.822521667454988,-0.042734738801637535
RAR,z_logd,UGC07125,0.00025,0.0,0.00025009378516943853,-2.989999662908196,0.21879527401952104,-3.5234574532413254,-2.5133467199103516
RAR,z_logd,UGC07151,0.0,0.0,0.0,-0.4651739055592282,0.8955600527485766,-2.54663258363656,1.6100573625387151
RAR,z_logd,UGC07232,0.0,0.0,0.0,0.15548804281364645,0.957976004520732,-2.067607724501354,2.4690646289210143
RAR,z_logd,UGC07261,0.0,0.0,0.0,-0.3205300135678309,0.38936282207081496,-1.2559495215384704,0.5331263077268197
RAR,z_logd,UGC07323,0.0,0.0,0.0,-0.7034515804971903,0.3898945297436296,-1.6259111343111998,0.17322008651054796
RAR,z_logd,UGC07399,0.0,0.0,0.0,2.191655622493344,0.2740229142886038,1.50905535167165,2.7980207029531794
RAR,z_logd,UGC07524,0.002125,0.0,0.0021257971739402277,-1.6037637854184323,0.7813794535717503,-3.4619397822529376,0.16865530630109016
RAR,z_logd,UGC07559,0.002,0.0,0.0020007502813555083,-1.4904736905598328,0.8874798349725483,-3.539374342014077,0.58586905184071
RAR,z_logd,UGC07577,0.015,0.0,0.015005627110166312,-2.0311547097091167,0.8968359674919751,-3.8599721904703617,0.17611845665683873
RAR,z_logd,UGC07603,0.0,0.0,0.0,0.9175735578208752,0.282642484697342,0.22526920482122434,1.5223834919676495
RAR,z_logd,UGC07608,0.0,0.0,0.0,0.7763142578421834,0.35462623039188096,-0.05966808971049557,1.5792171491388147
RAR,z_logd,UGC07690,0.0,0.0,0.0,-0.7279533759957613,0.37833018858290657,-1.6190494423303776,0.11506265708759135
RAR,z_logd,UGC07866,0.00025,0.0,0.00025009378516943853,-0.9006080388772395,0.934639750726479,-2.9969096992940574,1.257445823718369
RAR,z_logd,UGC08286,0.000625,0.0,0.0006252344629235964,0.7559457724524162,0.9130852633427571,-1.2926342238602222,2.9263489265762375
RAR,z_logd,UGC08490,0.0,0.0,0.0,1.432390462699591,0.47558471296227783,0.2972502031757537,2.475573962444331
RAR,z_logd,UGC08550,0.0,0.0,0.0,-0.028222396221766984,0.2458627812889717,-0.6147823522532759,0.516762657040958
RAR,z_logd,UGC08699,0.0,0.0,0.0,0.5546756309057782,0.20718617349403898,0.06896534663367629,1.0274146749741688
RAR,z_logd,UGC08837,0.017375,0.0,0.01738151806927598,-2.2446254914623474,0.8011821340224398,-3.8777960352911,-0.3412636430531591
RAR,z_logd,UGC09037,0.0,0.0,0.0,-1.1487731415256481,0.38689509809642264,-2.163310410286601,-0.37529033480620144
RAR,z_logd,UGC09992,0.0005,0.0,0.0005001875703388771,-1.954467438880253,0.5091225888834391,-3.190822648718787,-0.7890034733612482
RAR,z_logd,UGC10310,0.0,0.0,0.0,-0.7599639514222495,0.3308356615390167,-1.5630619377974975,-0.01101872919446557
RAR,z_logd,UGC11455,0.0,0.0,0.0,0.4010053530373592,0.4702288447944891,-0.7624586411190167,1.454295208584482
RAR,z_logd,UGC11557,0.00675,0.0,0.0067525321995748405,-2.5681775627387635,0.49342979194616754,-3.7409846530245745,-1.4595267246676993
RAR,z_logd,UGC11820,0.0,0.0,0.0,-1.0392744893988197,0.16297681621427726,-1.43008087827292,-0.6697287564280946
