parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
logd[70],-0.1767505076746276,0.056755001170911104,-0.28275507765581853,-0.07163189794064315,0.0005422201440376482,0.0006585178237345453,11016.216781439647,6155.479041014365,1.0000315315956412
logd[71],0.018664897032744893,0.08008188204630368,-0.1301808977713052,0.16932907848475692,0.0006592075595674243,0.0010515378867669717,14786.249477434272,5611.160712568553,1.0005955569867442
logd[72],0.153675135808265,0.042121601530408254,0.07711379967928841,0.23283455095679825,0.0004962376544627896,0.0004746066213732703,7213.761751163133,5377.737974610067,1.0000638055277409
logd[73],-0.0654898506299658,0.022273071972225538,-0.10872900874192473,-0.025120463859216863,0.00023171032627021106,0.0002813382299637104,8342.61678348673,3529.3984143720736,1.0003503274143315
logd[74],-0.8700751766900507,0.01269793709957492,-0.883423874810667,-0.8465879134629037,0.00012353183646947444,0.00018850020562573028,9396.429091597465,5412.846984496371,1.0003687112218773
logd[75],0.20915875345813534,0.04153897345228236,0.12850492170404287,0.2840738895798184,0.00041852368533459915,0.00047625058292122296,9407.212573654635,5377.780337924497,1.0002069995285432
logd[76],-0.18528264377516945,0.018201592273448645,-0.20809223165431404,-0.15202235032760578,0.00017736303453926513,0.00021575674986332164,8167.614228589087,3943.9996852671593,1.0008223239656455
logd[77],-0.09169781994344325,0.044235225319435065,-0.1725140322212272,-0.005199440379851903,0.0004964095996932548,0.0005234728608717153,7998.444844177072,5718.881753959782,1.0006207766618045
logd[78],-0.26343133838922933,0.019017788733435338,-0.28454994691848157,-0.22771789305160853,0.00019364468665942106,0.00027593374274137786,8964.03066847144,4466.729909542867,1.0000763306472593
logd[79],0.11703736648379218,0.032733211136364224,0.0582139831904947,0.18019790046972742,0.00032854221936923916,0.00039704319850891756,9283.45691397275,3865.8459420416993,1.0003736807015473
logd[80],-0.1919646073663246,0.06192578742945405,-0.31055540310076446,-0.07809731405213599,0.0010317058181676963,0.0008386931677595194,3614.2400808618436,2851.44355053554,1.0004532680237386
