mock_id,target,z_lo,z_hi,n_bcuts,N_min,N_max,amp_mean,amp_min,amp_max,amp_cv,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score
26,broad_0p95_1p45,0.95,1.45,6,95394,192357,0.0011752541740284123,0.0004394857964142169,0.002047883717038296,0.5504570171863227,1.6251844975993313,1.0302709672752492,131.24521558854252,0.6625249615916945,0.274916049190407
26,narrow_1p15_1p35,1.15,1.35,6,37841,76060,0.0011100617479401522,0.0003894991849858186,0.0020148279023062066,0.5620333428432661,2.0601158240828514,1.4512669298826475,40.61941632761821,0.9712100343499022,1.051586615210431
27,broad_0p95_1p45,0.95,1.45,6,95330,192357,0.0009842054650993752,0.0007356514181346674,0.0013638279441192008,0.23896975725866715,1.0228434457185167,0.8684060439811532,120.13051866813329,0.7851284592865059,0.2188442071746877
27,narrow_1p15_1p35,1.15,1.35,6,37681,76060,0.0009786596293651125,0.0005827977627661865,0.0012375149228570457,0.21068923456332136,2.1658912830064314,1.5148063946248491,86.99650204612573,0.848508788236994,0.626531757871578
28,broad_0p95_1p45,0.95,1.45,6,95338,192357,0.0016218725873484155,0.0006279765046524389,0.002730788916936409,0.48949951737994973,2.317350725188725,1.7054791831292127,84.89429413947245,0.8604259347924187,0.6907608257370088
28,narrow_1p15_1p35,1.15,1.35,6,37501,76060,0.0008745666725847749,0.0004878351150651758,0.001704170190240279,0.49621496338014753,2.5226090520468616,1.3581454100990265,71.52186998577204,0.8905777323168257,0.8676145964836042
29,broad_0p95_1p45,0.95,1.45,6,95691,192357,0.001328835932673388,0.0007772829103607564,0.00253820694406896,0.5301605691839307,1.9170084373147256,1.3026763242469224,59.60034202980192,0.9265165541142562,0.7641112903524137
29,narrow_1p15_1p35,1.15,1.35,6,37923,76060,0.001296170026455116,0.00046621705524309693,0.0019022937313068339,0.4343226013799676,2.296602908119407,1.7214430635314037,53.75114567131947,0.9535989336674834,0.9979804600832743
30,broad_0p95_1p45,0.95,1.45,6,95247,192357,0.002933061214280976,0.0028114016078323828,0.0030510690847276936,0.031559763481677085,4.711562280771369,4.193231460389192,73.58949949567487,0.8773735112443761,1.5686127200873854
30,narrow_1p15_1p35,1.15,1.35,6,37716,76060,0.0012306831900735324,0.000945944039292389,0.0016343693657714237,0.1865990621164776,2.879726685766738,2.699292062742401,80.67399554016517,0.8627010717228174,0.8895670733875862
31,broad_0p95_1p45,0.95,1.45,6,95181,192357,0.001907892534053598,0.000815964837240563,0.002447444196789056,0.3287217294093382,2.411104271950073,1.6588634908340405,34.04983517500746,0.9815857281550842,1.3472735164344705
31,narrow_1p15_1p35,1.15,1.35,6,37744,76060,0.000608270841827794,0.00033669361319276566,0.0008909685997144105,0.3224912600587632,1.4122398116391934,1.0631252232161608,77.68707638550235,0.8671531207514317,0.44917744247891583
32,broad_0p95_1p45,0.95,1.45,6,95494,192357,0.0016067938528894511,0.0008732466575819439,0.00301981133697386,0.5365962215048331,1.904332158594666,1.6721871914889297,73.92436055529248,0.9062970738604609,0.6530628331489996
32,narrow_1p15_1p35,1.15,1.35,6,37602,76060,0.0010129358144699222,0.00026461496169050125,0.002085807099031112,0.6406978110045156,2.5446523150953126,1.6472201531468222,65.92842399328659,0.8822473873519608,0.9107276107893881
33,broad_0p95_1p45,0.95,1.45,6,95326,192357,0.0013429855224808926,0.0006725215889768484,0.001736461986077705,0.270784200825992,1.763643796103088,1.2671885741288806,79.82108444811469,0.8975789477677986,0.5707002926501946
33,narrow_1p15_1p35,1.15,1.35,6,37604,76060,0.0010958078923273128,0.0006806594447268305,0.0013330113928042928,0.204570257173681,2.1002353421796247,1.7509815937455626,52.81292844978996,0.9510682182350116,0.9189584673398759
34,broad_0p95_1p45,0.95,1.45,6,95533,192357,0.0026085392818000343,0.002039764333070196,0.0034900807568987017,0.1924663476094174,2.9669026429737224,2.4713625605812823,11.897626886149792,0.9968921461460437,2.339213333247446
34,narrow_1p15_1p35,1.15,1.35,6,37714,76060,0.0005436851458856984,0.0003713116936920891,0.0007725279629047341,0.2282075451585019,1.68311077509878,1.4245880733522587,49.100772212969346,0.949471240431902,0.764211979377029
35,broad_0p95_1p45,0.95,1.45,6,95283,192357,0.002508749007707657,0.0011502274314645737,0.00428882148002137,0.4665596018778714,2.7892755905656843,2.2732996168806774,60.388878513639646,0.9265581157642616,1.103524097984673
35,narrow_1p15_1p35,1.15,1.35,6,37760,76060,0.0007566262507183046,0.00014260100307517815,0.0018228575767906127,0.8472558607393904,1.9993848274939254,1.0128018099946698,159.81652066751494,0.37205581472290583,0.16343761569187415
36,broad_0p95_1p45,0.95,1.45,6,95035,192357,0.001346486083663729,0.0009575781233086715,0.002553665643215024,0.4187334120044669,1.5823723980164113,1.232057769670248,91.99836494816793,0.8846457588196598,0.4598066291438282
