mock_id,max_snr,max_snr_window_index,max_snr_tag,max_snr_bcut_deg,max_snr_amp,max_snr_l_deg,max_snr_b_deg,max_snr_sep_cmb_deg,max_priority,max_priority_window_index,max_priority_tag,max_priority_bcut_deg,max_priority_snr,max_priority_amp,max_priority_l_deg,max_priority_b_deg,max_priority_sep_cmb_deg,max_abs_par,max_abs_par_window_index,max_abs_par_tag,max_abs_par_bcut_deg,max_abs_par_snr,max_z1p00_snr,max_z1p00_snr_bcut_deg,max_z1p00_priority,max_z1p00_priority_bcut_deg
149,3.5021182725030893,109,z2p10_2p20,25.0,0.0021717900131176704,127.63797207747403,-24.83488011791468,138.66247736839742,0.030176677437564643,109,z2p10_2p20,25.0,3.5021182725030893,0.0021717900131176704,127.63797207747403,-24.83488011791468,138.66247736839742,0.004916080465514108,130,z1p50_2p50,30.0,2.341769402120403,2.8076156715306793,20.0,0.026953923529364605,20.0
150,3.6341728962026982,20,z1p60_1p70,10.0,0.0008164017387116308,3.3120324503756176,-71.34837449542681,137.8412336513847,0.03401512724362917,20,z1p60_1p70,10.0,3.6341728962026982,0.0008164017387116308,3.3120324503756176,-71.34837449542681,137.8412336513847,0.003828457847560817,158,z1p50_2p50,35.0,1.8309878006856724,2.10817796268348,15.0,0.020239118967975624,15.0
151,3.6825327520596245,15,z1p20_1p30,10.0,0.0013389124440702153,36.40168215421072,3.5346117369645906,113.70088944449114,0.03535338087754761,15,z1p20_1p30,10.0,3.6825327520596245,0.0013389124440702153,36.40168215421072,3.5346117369645906,113.70088944449114,0.0037268657599877925,102,z1p50_2p50,25.0,2.8910660501540972,2.806249701467782,10.0,0.026940809821177233,10.0
152,3.2264233460178358,37,z0p75_1p00,15.0,0.002109115872783021,111.44027444551952,-53.89059053325865,162.0045605102615,0.02892796625571414,72,z1p30_1p40,20.0,3.01330475179165,0.0008211749190628535,6.852183392374927,-14.820253132465524,109.49907710045802,0.003474982805164048,158,z1p50_2p50,35.0,1.7276321540647144,1.580886021729686,25.0,0.015176963631604295,25.0
153,4.038465266612308,87,z0p30_0p50,25.0,0.003886291924619228,281.27618990218434,44.672700356369596,12.382634381756567,0.030358502806160512,19,z1p50_1p60,10.0,3.205949602103774,0.0008968158518709274,347.236856498293,13.773770639498803,75.28389532695137,0.0037958863475545807,87,z0p30_0p50,25.0,4.038465266612308,2.011245466648092,15.0,0.019308538934482696,15.0
154,3.7722027140071117,139,z2p30_2p40,30.0,0.002440115101940726,31.295619013386247,-2.1012782176573936,115.48934773151166,0.031276380414319925,139,z2p30_2p40,30.0,3.7722027140071117,0.002440115101940726,31.295619013386247,-2.1012782176573936,115.48934773151166,0.0036593960129984292,74,z1p50_2p50,20.0,2.381094184702712,2.2265863722656447,20.0,0.021375873990920533,20.0
155,3.4189004241593857,117,z0p50_0p60,30.0,0.0017772009465741422,37.64426839122908,20.327991896306443,99.8794584388817,0.027912771027837468,67,z0p90_1p00,20.0,3.0510497074667366,0.0011119548569402014,191.393417743717,-38.40171568977087,107.91766878015945,0.0019214479496416912,6,z0p50_0p75,10.0,2.7143430902698698,2.1785989848565097,15.0,0.02091518117469379,15.0
156,3.425816044073039,138,z2p20_2p30,30.0,0.001613727061522628,119.58314802546087,-2.4252086341087153,124.94144560954713,0.02896151863157001,138,z2p20_2p30,30.0,3.425816044073039,0.001613727061522628,119.58314802546087,-2.4252086341087153,124.94144560954713,0.0028562469849134466,74,z1p50_2p50,20.0,2.412567396771319,1.9818895094911075,20.0,0.019026713244320027,20.0
157,3.703892485508602,119,z0p60_0p70,30.0,0.002071376416366987,345.0907962561344,47.40500426332695,51.742600418614316,0.028003488925512836,121,z0p75_1p00,30.0,3.1544890844087594,0.0019086154192850897,159.3353800424466,-1.1923955859043032,100.61977708031552,0.00293143684423214,130,z1p50_2p50,30.0,1.3680898178653786,2.124458635207202,20.0,0.020395418139069716,20.0
158,3.711864516954626,7,z0p60_0p70,10.0,0.0017356704861114837,230.57376598417457,26.981282537063237,33.529156159706154,0.033089317990349094,125,z1p00_1p50,30.0,3.4466999822402546,0.004133642062338156,156.23245922158353,-39.19565701021216,128.98787058722255,0.0051699745595230225,102,z1p50_2p50,25.0,2.7469973026924497,3.4466999822402546,30.0,0.033089317990349094,30.0
159,3.3623864974557502,110,z2p20_2p30,25.0,0.0014856342256921202,156.9607329520245,-63.71667816523379,139.0653812463102,0.030632639890161975,97,z1p00_1p50,25.0,3.1908037329807626,0.0033591122787057118,236.20446968051618,13.439512932056683,41.73933793041212,0.004234736763902766,130,z1p50_2p50,30.0,2.2695677416264277,3.1908037329807626,25.0,0.030632639890161975,25.0
160,3.473718917568254,120,z0p70_0p80,30.0,0.0018657864601183468,61.40820552595833,-0.07513921007812693,127.99796264046711,0.0285428497701996,120,z0p70_0p80,30.0,3.473718917568254,0.0018657864601183468,61.40820552595833,-0.07513921007812693,127.99796264046711,0.0024790967832296834,142,z0p30_0p40,35.0,2.6731943550838317,2.65514511302919,10.0,0.025490162012430165,10.0
161,3.3414085173893233,47,z1p50_1p60,15.0,0.001304560437342039,87.28826591138969,-48.01919418255663,177.80721661724192,0.0316412209927213,47,z1p50_1p60,15.0,3.3414085173893233,0.001304560437342039,87.28826591138969,-48.01919418255663,177.80721661724192,0.003988088198653343,143,z0p30_0p50,35.0,2.945371599557833,2.240155134618916,15.0,0.021506138039011847,15.0
162,3.9573903002523814,168,z2p40_2p50,35.0,0.0013186597990839802,195.50634853886737,74.50542110520642,38.360061641371246,0.03717207459226711,12,z1p00_1p10,10.0,3.956298728331718,0.001042068453725006,306.24691990588303,11.77521413296731,50.58462600463241,0.003433538757288134,18,z1p50_2p50,10.0,2.9150340267860746,2.2132162441728145,15.0,0.021247516889253738,15.0
163,3.1645949551598522,65,z0p75_1p00,20.0,0.0021111755368463433,291.88883840674265,55.44419554188116,18.498011572770746,0.028093202229977778,65,z0p75_1p00,20.0,3.1645949551598522,0.0021111755368463433,291.88883840674265,55.44419554188116,18.498011572770746,0.004980311720102439,102,z1p50_2p50,25.0,2.8322775147376893,1.711767991825523,30.0,0.01643346844781102,30.0
164,4.182676455880735,158,z1p50_2p50,35.0,0.010677462500671371,149.4728975849407,-30.205064065263713,127.91032936568286,0.03704887896641439,158,z1p50_2p50,35.0,4.182676455880735,0.010677462500671371,149.4728975849407,-30.205064065263713,127.91032936568286,0.006560526028263635,158,z1p50_2p50,35.0,4.182676455880735,2.946223699551032,20.0,0.02828460073910527,20.0
165,3.4172290212649608,101,z1p40_1p50,25.0,0.0016661404444044921,260.5851570881486,23.497222835709856,24.905530878588113,0.032643323516352005,101,z1p40_1p50,25.0,3.4172290212649608,0.0016661404444044921,260.5851570881486,23.497222835709856,24.905530878588113,0.004531205057774422,113,z0p10_0p30,30.0,2.9869489921040446,2.6647196715637946,25.0,0.025582080547144875,25.0
