tag,z_lo,z_hi,z_center,width,family,bcut_deg,N,a0,amp,l_deg,b_deg,formal_snr,rms_resid,sep_from_baseline_b35_deg,sep_from_cmb_deg,amp_ratio_vs_baseline_b35,reference_l_deg,reference_b_deg,reference_amp,reference_snr
slide_c1p10_w0p20,1.0,1.2,1.1,0.2,width0p20,35.0,45317,1.101862641902197,0.0018370695271504576,131.3029418156601,18.679488472264044,3.2670892800689804,0.05760832958360339,47.45338024417849,100.8917795648498,0.6023843686243773,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p15_w0p20,1.05,1.25,1.1500000000000001,0.2,width0p20,10.0,75369,1.1512889212996247,0.0005112887922907645,118.62228836710877,15.210623405954236,1.314457604779693,0.0572109224632776,49.35682259194636,109.45824844259126,0.16765417518330414,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p15_w0p20,1.05,1.25,1.1500000000000001,0.2,width0p20,15.0,71800,1.1513550540609292,0.0005157164783899663,114.98597373152819,10.236619476453555,1.2561406766037644,0.05718830325184145,47.303656590345206,115.42117696388075,0.1691060357993102,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p15_w0p20,1.05,1.25,1.1500000000000001,0.2,width0p20,20.0,66448,1.15138101453239,0.0005972000685585109,94.70343606499156,14.058162921653645,1.3938231408766433,0.057152610235511214,63.900231314287645,116.96691161941267,0.19582491621809478,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p15_w0p20,1.05,1.25,1.1500000000000001,0.2,width0p20,25.0,60136,1.1513932835078293,0.0006661745797515213,123.42399314021642,13.405029708786078,1.4137964851028426,0.057115655104272245,45.47168390391255,109.11775067859233,0.21844200651441306,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p15_w0p20,1.05,1.25,1.1500000000000001,0.2,width0p20,30.0,53252,1.1512680624374625,0.0009358855792628315,124.87915021691848,11.535323088356675,1.7717034676807633,0.057109607066007456,43.15727992459008,110.13469509585944,0.30688160433610395,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p15_w0p20,1.05,1.25,1.1500000000000001,0.2,width0p20,35.0,46338,1.151229269586871,0.0011604118286976598,140.6244350804151,9.856750622455715,1.918782514707092,0.05713336211999361,36.9211748118875,103.49556480849775,0.3805048945853256,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p20_w0p20,1.1,1.3,1.2000000000000002,0.2,width0p20,10.0,75597,1.1995508231140863,0.0007960874181639293,183.17372203485584,-26.41896497598314,2.03153032396538,0.05724807200796448,33.713840576988225,103.71590500483317,0.26104108182793534,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p20_w0p20,1.1,1.3,1.2000000000000002,0.2,width0p20,15.0,72108,1.1996056677122489,0.0008172112903268941,187.3768903508149,-25.495248594174846,2.025502284734094,0.05724343710129135,37.597463270151,100.50457132470207,0.26796770611064685,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p20_w0p20,1.1,1.3,1.2000000000000002,0.2,width0p20,20.0,66708,1.1995061829137703,0.000775010268203948,189.01475367600293,-35.32976503674133,1.964168020674235,0.05720826844938198,38.071838104800115,106.9126289786766,0.25412977799136327,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p20_w0p20,1.1,1.3,1.2000000000000002,0.2,width0p20,25.0,60303,1.1993552254026898,0.0008770212937271892,182.28505650201203,-33.47061819339998,2.08050297369706,0.05719640694901295,32.48038032815476,109.36850171956071,0.2875797080535422,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p20_w0p20,1.1,1.3,1.2000000000000002,0.2,width0p20,30.0,53408,1.1992857125356107,0.0007954070167723023,190.2041996440082,-37.342893620851406,1.8503378507887662,0.057270635900388334,39.080171573855274,107.75998926553737,0.26081797477801216,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p20_w0p20,1.1,1.3,1.2000000000000002,0.2,width0p20,35.0,46474,1.1993546851914842,0.0011264328752782144,182.75949210048944,-20.246653688461155,1.99585744082008,0.057306321966031894,34.811561488120496,99.39772080499225,0.36936302428614376,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p25_w0p20,1.15,1.35,1.2500000000000002,0.2,width0p20,10.0,76060,1.2491608259438838,0.0012677296325309271,161.32904144424293,-30.696358483114697,3.25791713327345,0.058257124252316744,14.550664798657486,120.44196921885856,0.41569494403573104,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p25_w0p20,1.15,1.35,1.2500000000000002,0.2,width0p20,15.0,72593,1.24916569991824,0.001279678674735869,161.87698440467415,-29.618576773453384,3.19416276294594,0.058242803055169046,14.843995092936444,119.37390388834419,0.4196130952749249,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p25_w0p20,1.15,1.35,1.2500000000000002,0.2,width0p20,20.0,67211,1.2492131158730766,0.0012213997577016163,171.22742937193135,-37.93585926262771,3.101464303259385,0.05829073482184416,24.440545929693048,118.96507353751447,0.4005031442779992,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p25_w0p20,1.15,1.35,1.2500000000000002,0.2,width0p20,25.0,60758,1.2492138639971557,0.001371623220066504,155.20535234406574,-36.63631817420783,3.296936450655681,0.05836022788244132,12.934892999717245,128.1368950186401,0.44976217568200194,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p25_w0p20,1.15,1.35,1.2500000000000002,0.2,width0p20,30.0,53791,1.2492866847873967,0.0012607220603264764,169.57375894380934,-37.336034602798954,2.8818498589386743,0.05839390114741014,23.005035405075667,119.57399344194431,0.4133971257465585,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p25_w0p20,1.15,1.35,1.2500000000000002,0.2,width0p20,35.0,46793,1.2491935381409254,0.0012618742195577533,178.25136291486953,-41.74113605102795,2.8494965086767756,0.0583831328579339,30.781319710735985,117.39187353404941,0.4137749245728033,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
slide_c1p30_w0p20,1.2,1.4,1.3000000000000003,0.2,width0p20,10.0,77892,1.30210645652601,0.0009107122914605597,45.67850896163107,-82.29450394363178,2.934759296521983,0.0588836799293581,64.75770594945382,144.03507910114578,0.2986271562301073,145.328335097427,-26.78092675371682,0.003049663342602405,3.7059359584726645
