model,eta_fac,omega_b_h2,post_eann_baryon_density_factor,Yp_mass,D_H_1e5,He3_H_1e5,Li7_H_1e10,Li6_H_1e14,z_D_H_1e5,chi2_D_H_1e5,z_Yp_mass,chi2_Yp_mass,z_Li7_H_1e10,chi2_Li7_H_1e10,chi2_abundances_measurement,chi2_D_He,D_He_each_2sigma,D_He_Li_each_2sigma,stellar_depletion_to_plateau
SU2CMB_asymptotic,0.31999999999999995,0.007174399999999998,1.2799999999999998,0.3094551763894237,4.901760786480767,1.3381976989574835,3.0383790809182005,0.0,82.54347539588852,6813.4253304316535,21.485058796474572,461.6077514879694,6.353516323672802,40.36716967517676,7315.4002515948,7275.033081919622,False,False,2.095433848909104
SU2CMB_asymptotic,0.33999999999999997,0.007622799999999999,1.3599999999999999,0.30987580544600407,4.443893431337105,1.286584365016259,3.481713751963327,0.0,66.75494590817603,4456.222803203507,21.625268482001356,467.6522369186412,8.126855007853308,66.04577231867039,4989.920812440819,4923.875040122149,False,False,2.401181897905743
SU2CMB_asymptotic,0.36,0.008071199999999999,1.44,0.310265410137935,4.051254324490746,1.240291809241325,3.971099298208616,0.0,53.215666361749875,2831.907146325077,21.755136712645005,473.2859733858745,10.084397192834466,101.69506674284766,3406.8881864537993,3305.1931197109516,False,False,2.738689171178356
SU2CMB_asymptotic,0.37999999999999995,0.008519599999999999,1.5199999999999998,0.31062826991858083,3.710790229453027,1.1985620371487,4.504706564215157,0.0,41.47552515355265,1720.2191867629788,21.876089972860278,478.563312500678,12.218826256860627,149.29971509534667,2348.0822143590035,2198.782499263657,False,False,3.1066941822173497
SU2CMB_asymptotic,0.39999999999999997,0.008967999999999999,1.5999999999999999,0.3109685197313437,3.4137881103402252,1.160947796845307,5.071713006096268,0.0,31.234072770352594,975.5673018236813,21.989506577114568,483.53839950496484,14.486852024385072,209.86888157642989,1668.974582905076,1459.105701328646,False,False,3.497733107652599
SU2CMB_asymptotic,0.42,0.009416399999999998,1.68,0.31128757796577466,3.152631097023838,1.1266820444618013,5.675338060148687,0.0,22.228658518063373,494.11325951267133,22.095859321924888,488.226999174295,16.901352240594747,285.65570756065705,1267.9959662476233,982.3402586869663,False,False,3.9140262483784047
SU2CMB_asymptotic,0.43999999999999995,0.009864799999999998,1.7599999999999998,0.3115883040529781,2.920578134451124,1.0953435637943303,6.308701143525285,0.0,14.226832222452547,202.40275508581408,22.196101350992702,492.66691518354,19.43480457410114,377.7116288335026,1072.7812991028568,695.0696702693541,False,False,4.350828374845024
SU2CMB_asymptotic,0.45999999999999996,0.010313199999999998,1.8399999999999999,0.3118728054694799,2.7137730867466465,1.0666902904799553,6.966424829750543,0.0,7.095623680918845,50.347875421216294,22.290935156493294,496.8857901509887,22.06569931900217,486.89508643661287,1034.1287520088179,547.233665572205,False,False,4.8044309170693404
SU2CMB_asymptotic,0.4799999999999999,0.010761599999999998,1.9199999999999997,0.3121423726942185,2.5287667923304205,1.0403215652660074,7.647360062868793,0.0,0.7160962872558775,0.5127938926216522,22.38079089807284,500.89980122326,24.78944025147517,614.5163479814573,1115.928943097339,501.41259511588163,False,False,5.274041422668133
SU2CMB_asymptotic,0.49999999999999994,0.011209999999999998,1.9999999999999998,0.31239863828978415,2.3619385483217186,1.0159888642370314,8.347834548921492,0.0,-5.036601782009704,25.36735751054333,22.46621276326138,504.7307159241286,27.591338195685967,761.2819434287194,1291.3800168633913,530.098073434672,False,False,5.757127275118271
SU2CMB_asymptotic,0.5199999999999999,0.011658399999999998,2.0799999999999996,0.31264275845231254,2.210901261874204,0.9934661404242078,9.062437632000638,0.0,-10.244784073303315,104.95560070860925,22.547586150770847,508.3936412264333,30.44975052800255,927.1873072175915,1540.536549152634,613.3492419350425,False,False,6.249956987586647
SU2CMB_asymptotic,0.5399999999999999,0.012106799999999997,2.1599999999999997,0.3128757850317374,2.0735400362570973,0.9724443094752155,9.792146198584518,0.0,-14.981378060100093,224.44168857964843,22.625261677245803,511.90246596384753,33.36858479433808,1113.4624511769302,1849.8066057204262,736.344154543496,False,False,6.753204274885875
SU2CMB_asymptotic,0.5599999999999999,0.012555199999999997,2.2399999999999998,0.3130992970807777,1.948272070804144,0.9528906651044594,10.53434580137522,0.0,-19.300963075719167,372.52717565027467,22.699765693592575,515.2793625440024,36.337383205500885,1320.4054182234177,2208.2119564176946,887.8065381942771,False,False,7.265066069913946
SU2CMB_asymptotic,0.58,0.013003599999999999,2.32,0.3133133965475362,1.83364529378146,0.9347289668657531,11.2769611086676,0.0,-23.25361055926,540.7304040417282,22.77113218251207,518.5244608734369,39.3078444346704,1545.1066341002488,2604.3614990154138,1059.254864915165,False,False,7.777214557701793
SU2CMB_asymptotic,0.5999999999999999,0.013451999999999997,2.3999999999999995,0.3135191828704019,1.7281983332470328,0.9175616889330415,12.035719151392454,0.0,-26.88971264665404,723.0566462196263,22.839727623467308,521.6531579141756,42.34287660556982,1792.919199234512,3037.6290033683135,1244.7098041338018,False,False,8.300495966477555
SU2CMB_asymptotic,0.6199999999999999,0.013900399999999997,2.4799999999999995,0.31371709135072245,1.6313088189131364,0.9015142832434044,12.795078218153941,0.0,-30.23073038230564,913.8970594476574,22.905697116907486,524.670960411504,45.38031287261577,2059.3727964164964,3497.9408162756577,1438.5680198591613,False,False,8.824191874588925
SU2CMB_asymptotic,0.6244424620874219,0.013999999999999999,2.4977698483496877,0.313760030023832,1.6108536849150816,0.8981266531235453,12.961716152432833,0.0,-30.936079830514426,957.0410352799615,22.920010007944008,525.3268587642534,46.04686460973134,2120.313740386928,3602.6816344311433,1482.367894044215,False,False,8.939114587884713
SU2CMB_asymptotic,0.6399999999999999,0.014348799999999997,2.5599999999999996,0.31390767421617866,1.5419998224419837,0.8864475677490545,13.55121002639725,0.0,-33.31035095027642,1109.5794804305813,22.96922473872622,527.5852850981125,48.404840105589,2343.0285456476377,3980.1933111763315,1637.1647655286938,False,False,9.345662087170517
SU2CMB_asymptotic,0.6599999999999999,0.014797199999999998,2.6399999999999997,0.3140914123654247,1.4591621139422153,0.8721672261827713,14.315769649632292,0.0,-36.16682365716499,1308.039133448469,23.030470788474904,530.4025847387959,51.46307859852917,2648.448458838391,4486.890177025656,1838.441718187265,False,False,9.872944585953306
SU2CMB_asymptotic,0.6799999999999998,0.015245599999999995,2.7199999999999993,0.31426860387772937,1.3822399927513633,0.85879842453322,15.070731588523577,0.0,-38.819310594780575,1506.9388750540434,23.089534625909792,533.1266092410873,54.48292635409431,2968.3892641056646,5008.454748400795,2040.0654842951308,False,False,10.393607992085226
SU2CMB_asymptotic,0.6999999999999998,0.015693999999999996,2.7999999999999994,0.31444018014605885,1.3108643557881194,0.8460494114926728,15.829672584343088,0.0,-41.28053945558209,1704.0829377438695,23.146726715352948,535.7709576352339,57.518690337372355,3308.399738126532,5548.253633505636,2239.8538953791035,False,False,10.917015575409026
SU2CMB_asymptotic,0.7199999999999999,0.016142399999999998,2.8799999999999994,0.3146061751004987,1.2443738650528058,0.834024749905774,16.58302446699433,0.0,-43.57331499817911,1898.6337799305404,23.202058366832905,538.3355124579208,60.53209786797733,3664.1348722983853,6101.104164686847,2436.9692923884613,False,False,11.436568597927126
SU2CMB_asymptotic,0.7399999999999999,0.016590799999999996,2.9599999999999995,0.3147669225922275,1.182296682713238,0.8225583957181463,17.33243050140808,0.0,-45.71390749264697,2089.7613382462846,23.255640864075833,540.8248319988737,63.52972200563232,4036.025578112924,6666.611748358082,2630.5861702451584,False,False,11.953400345798677
SU2CMB_asymptotic,0.7599999999999999,0.017039199999999997,3.0399999999999996,0.31492291865370303,1.123808227160873,0.8116170601039763,18.08029371672929,0.0,-47.730750787556104,2278.224570743788,23.307639551234345,543.2460614502636,66.52117486691716,4425.066705674972,7246.537337869023,2821.470632194051,False,False,12.469168080502959
