model,time_s,scale_factor,T_gamma_MeV,T_nu_MeV,T_nu_over_T_gamma,H_s_inv,rho_gamma_MeV4,rho_extra_MeV4,neff_linx_diagnostic,a_Tgamma_over_T0
SU2CMB_asymptotic,0.031359097868196725,3.0475098038967356e-11,4.305261501475928,4.305188818238329,0.9999831175789033,15.663594165137031,226.05110214420637,678.153306432619,32.43607717456706,0.5586316938748196
SU2CMB_asymptotic,0.0343567944351312,3.1873949465505726e-11,4.116361399492163,4.116277083768938,0.9999795169288984,14.319045830935762,188.9132738717482,566.7398216152446,32.43518381294113,0.5586377777347276
SU2CMB_asymptotic,0.03749365714488928,3.327484944552637e-11,3.9431045519530272,3.943007390357883,0.9999753591126322,13.138871022355216,159.06024854723174,477.18074564169524,32.43423025824549,0.5586442285994287
SU2CMB_asymptotic,0.04125319522575211,3.487980078663801e-11,3.7617200410557006,3.7616069462846204,0.9999699353567395,11.957696978781518,131.75113638621318,395.25340915863956,32.433066152877515,0.5586520430019696
SU2CMB_asymptotic,0.04545153594245766,3.658898835420218e-11,3.5860546724560134,3.585923357213234,0.9999633816952685,10.866773367361734,108.81182946350191,326.4354883905057,32.43174212013451,0.5586608437905897
SU2CMB_asymptotic,0.05001895702491313,3.836206659485675e-11,3.4203680699650993,3.420216292245261,0.9999556253254814,9.8856177637076,90.05334733744026,270.1600420123208,32.43027148735857,0.5586705303205006
SU2CMB_asymptotic,0.055252993114076325,4.029814548368449e-11,3.2561059631173257,3.2559299668856885,0.9999459488623433,8.958700691433844,73.96097112635748,221.88291337907242,32.428548284564755,0.5586817883979702
SU2CMB_asymptotic,0.06058998803257761,4.218093529763287e-11,3.110830900518285,3.110629787986264,0.9999353508633377,8.176928648178958,61.61892300250921,184.85676900752765,32.426755786984806,0.5586933913179162
SU2CMB_asymptotic,0.06627141343866508,4.409701710497296e-11,2.975726999067929,2.975498872542799,0.9999233375490421,7.481903637264662,51.591817529937806,154.77545258981343,32.42481212749848,0.5587058556518031
SU2CMB_asymptotic,0.0733808867992543,4.638339663156287e-11,2.8291241517709502,2.8288618527994753,0.9999072861573393,6.762625215435388,42.15183749083581,126.45551247250742,32.42233053617288,0.5587216232940878
SU2CMB_asymptotic,0.08102139254168289,4.8721138685677254e-11,2.6934597467505546,2.693160196213333,0.9998887859610366,6.129375144430338,34.62983675231046,103.88951025693137,32.41960313179726,0.5587388170309515
SU2CMB_asymptotic,0.08866189828411149,5.095178771711987e-11,2.5756211564673377,2.575284388790421,0.9998692479769119,5.604576588839172,28.955856885834855,86.86757065750456,32.41682506290658,0.5587561739426535
SU2CMB_asymptotic,0.09776904217304234,5.3489303452421265e-11,2.453526184308863,2.4531452353732024,0.9998447341063255,5.08557837921,23.843569670000573,71.53070901000171,32.4134537922688,0.5587770548239316
SU2CMB_asymptotic,0.1077261424451485,5.6132604433091996e-11,2.3380855262868363,2.3376564398323354,0.9998164795728485,4.618038880555426,19.663012717765877,58.98903815329763,32.40969689858538,0.5588001462474487
SU2CMB_asymptotic,0.11783271468377092,5.869405549148062e-11,2.2361443505782423,2.235666981315016,0.9997865212667945,4.223899749755713,16.45158809774173,49.35476429322519,32.40582053100594,0.5588237794500234
SU2CMB_asymptotic,0.12835083391172122,6.124623972049805e-11,2.1430574832249256,2.1425303733717067,0.9997540383973156,3.879335965027017,13.8785395526117,41.6356186578351,32.401722077665575,0.5588486096385125
SU2CMB_asymptotic,0.14114494872710645,6.421420231750484e-11,2.0441173442749974,2.043530702445922,0.9997130097101723,3.529161555803796,11.487665446868656,34.46299634060597,32.39666154301876,0.5588790626258126
SU2CMB_asymptotic,0.15436777539768426,6.714401456263861e-11,1.9550338479377494,1.954386793415633,0.9996690315501192,3.228026780509782,9.612262218597882,28.836786655793645,32.391353147655146,0.5589108103835236
SU2CMB_asymptotic,0.17067119390953062,7.05893563106541e-11,1.8597435050682358,1.8590235447299135,0.9996128711640286,2.9207572765779033,7.870832839809464,23.612498519428392,32.38471125895548,0.5589503043600239
SU2CMB_asymptotic,0.18777860453610432,7.403258267342124e-11,1.7733798245347876,1.7725856302072134,0.9995521577968879,2.6555300236074526,6.507520416980485,19.522561250941457,32.37765131444717,0.5589919943867722
