scenario,model,galaxy,N_points,success,message,optimisation_starts,successful_starts,best_start_index,profile_objective_start_spread,profile_objective,data_objective,prior_objective,logd,distance_pull,distance_multiplier,logeta_disk,disk_ml_multiplier,logeta_bulge,bulge_ml_multiplier,delta_inc_deg,inclination_pull,trial_inclination_deg,logeta_gas,gas_multiplier
baseline,RAR,UGC06446,17,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,2,1.4921397450962104e-13,16.37707344683159,9.959060057601281,6.4180133892303095,0.10796359155198729,-0.027028599002555803,1.114007185375414,0.6333089117911904,1.8838337172786712,0.6333089117911904,1.8838337172786712,0.0,0.0,51.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06446,17,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,4,3.2862601528904634e-13,15.962999618507943,9.809474533415894,6.15352508509205,0.10813774004431422,-0.02644810402813271,1.1142012049408057,0.6201222451503698,1.8591553006747061,0.6201222451503698,1.8591553006747061,0.0,0.0,51.0,0.0,1.0
baseline,RAR,UGC06628,7,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,2,5.400124791776761e-13,15.939807364469765,5.985646853086683,9.954160511383082,-0.8047637653633762,-3.0694531220537673,0.4471935566894825,-0.18245171328625945,0.83322487664807,-0.18245171328625945,0.83322487664807,0.0,0.0,20.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06628,7,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,8,6.465938895416912e-13,16.00460019308553,5.9446049243391155,10.059995268746416,-0.8090676694033563,-3.0837994688537007,0.44527301441363415,-0.18543464223346465,0.8307431293221414,-0.18543464223346465,0.8307431293221414,0.0,0.0,20.0,0.0,1.0
baseline,RAR,UGC06667,9,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,3,3.886668764607748e-12,33.78978664997356,18.28493868485817,15.504847965115388,0.4052579627348515,2.9178573316909304,1.499689314119713,0.661010427159288,1.9367482891327716,0.661010427159288,1.9367482891327716,0.0,0.0,89.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06667,9,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,2,3.979039320256561e-13,32.94632369263581,17.86591228098918,15.08041141164663,0.4032490181576324,2.9033929307349533,1.4966795456458757,0.6447247911611651,1.9054625569677797,0.6447247911611651,1.9054625569677797,0.0,0.0,89.0,0.0,1.0
baseline,RAR,UGC06786,45,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,8,3.595346242946107e-12,51.2610911762212,35.62926584005926,15.63182533616194,0.8542822605829749,2.9548573247780694,2.3496873120080095,-0.6567268994018428,0.518545812489485,-0.6567268994018428,0.518545812489485,0.0,0.0,64.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06786,45,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,1,2.4868995751603507e-12,51.40356982007157,36.57511999237035,14.828449827701217,0.838718393473215,2.8925593321119543,2.3134002072668864,-0.6354894933195819,0.5296761519131246,-0.6354894933195819,0.5296761519131246,0.0,0.0,64.0,0.0,1.0
baseline,RAR,UGC06818,8,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,1,2.369660023759934e-12,22.739605845519222,20.08637321646254,2.653232629056681,-0.06532212020151759,-0.4703192654509266,0.9367656636277724,-0.3898743722023145,0.6771419370052115,-0.3898743722023145,0.6771419370052115,0.0,0.0,75.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06818,8,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,8,2.5934809855243657e-13,22.927367055546785,20.181771899846126,2.74559515570066,-0.07223679831801848,-0.520104947889733,0.9303105737471901,-0.3933101510641187,0.6748194191651529,-0.3933101510641187,0.6748194191651529,0.0,0.0,75.0,0.0,1.0
baseline,RAR,UGC06917,11,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,4,1.127986593019159e-13,6.967885099322557,6.363500811354816,0.6043842879677409,0.07947182496969232,0.5721971397817847,1.0827150535702388,0.1315709697257733,1.140618854257259,0.1315709697257733,1.140618854257259,0.0,0.0,56.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06917,11,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,8,3.8458125573015423e-13,6.8783110910374266,6.323331667058373,0.5549794239790535,0.07738481613545146,0.5571706761752505,1.0804577739890042,0.12362753070955404,1.131594308365372,0.12362753070955404,1.131594308365372,0.0,0.0,56.0,0.0,1.0
baseline,RAR,UGC06923,6,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,2,1.9628743075372768e-13,4.044014761973445,3.8052499017826307,0.23876486019081408,-0.0270277576714395,-0.1945998552343644,0.9733342236577809,-0.11205349072362117,0.8939964357050968,-0.11205349072362117,0.8939964357050968,0.0,0.0,65.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06923,6,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,2,2.815525590449397e-13,4.0878197266975285,3.8369058101718343,0.2509139165256946,-0.028193046806651308,-0.2029899370078894,0.9722006684500776,-0.11448498864458927,0.8918253258245736,-0.11448498864458927,0.8918253258245736,0.0,0.0,65.0,0.0,1.0
baseline,RAR,UGC06930,10,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,5,1.1546319456101628e-13,8.082957311222716,7.239775303872246,0.843182007350469,-0.09171065110054875,-0.660316687923951,0.9123691043519699,0.15952348553575357,1.1729518092989024,0.15952348553575357,1.1729518092989024,0.0,0.0,32.0,0.0,1.0
