Galaxy,scenario,N_points,rar_success,plamb_success,rar_profile_objective,plamb_profile_objective,delta_objective_plamb_minus_rar,delta_objective_per_point,signed_log1p_delta_per_point
NGC3972,combined_conventional,10,True,True,6.431348140159759,6.41886373234351,-0.012484407816248932,-0.0012484407816248932,-0.001247662127434001
NGC3992,combined_conventional,9,True,True,9.479756342177657,9.375401292774672,-0.10435504940298479,-0.011595005489220532,-0.011528298562675546
NGC4010,combined_conventional,12,True,True,8.568823843709879,8.596271932539105,0.027448088829226336,0.0022873407357688613,0.002284728754184413
NGC4013,combined_conventional,36,True,True,18.768685920364856,18.15435297151977,-0.6143329488450853,-0.017064804134585703,-0.016920835915965847
NGC4051,combined_conventional,7,True,True,5.366474811395212,5.352440652129007,-0.014034159266204327,-0.0020048798951720465,-0.0020028728056762125
NGC4085,combined_conventional,7,True,True,13.258808857122956,13.360387216672647,0.1015783595496913,0.014511194221384471,0.014406914447975995
NGC4088,combined_conventional,12,True,True,6.144906926201387,6.128480748786952,-0.016426177414435195,-0.0013688481178695995,-0.0013679120993654482
NGC4100,combined_conventional,24,True,True,12.632235064741362,12.736787313552034,0.1045522488106716,0.00435634370044465,0.004346882303339353
NGC4138,combined_conventional,7,True,True,5.0982457649970225,5.220019618748147,0.12177385375112415,0.017396264821589163,0.017246682101959745
NGC4157,combined_conventional,17,True,True,5.507814784873902,5.4189549371854815,-0.08885984768842015,-0.005227049864024715,-0.005213436257610684
NGC4183,combined_conventional,23,True,True,7.307894920748866,7.371379952009052,0.06348503126018645,0.0027602187504428893,0.0027564163420466395
NGC4217,combined_conventional,19,True,True,25.770092998932565,25.693113624301034,-0.07697937463153082,-0.004051546033238464,-0.004043360622206573
NGC4559,combined_conventional,32,True,True,4.483159941054158,4.488561586105577,0.005401645051419379,0.0001688014078568556,0.00016878716250227641
NGC5005,combined_conventional,18,True,True,1.2122741805731572,1.262274185699902,0.05000000512674485,0.002777778062596936,0.00277392716675542
NGC5033,combined_conventional,22,True,True,23.53394976604631,24.90504233894583,1.3710925728995207,0.06232238967725094,0.06045744518649573
NGC5055,combined_conventional,28,True,True,5.226779730253334,5.738012762098782,0.5112330318454479,0.01825832256590885,0.018093640914317345
NGC5371,combined_conventional,19,True,True,55.73096955148255,53.82663548144476,-1.904334070037791,-0.10022810894935742,-0.09551753007791411
NGC5585,combined_conventional,24,True,True,10.234912543745779,10.3057117944835,0.07079925073772131,0.002949968780738388,0.0029456261611333686
NGC5907,combined_conventional,19,True,True,40.56137843212271,39.85109127845138,-0.7102871536713309,-0.037383534403754255,-0.03670171082515894
NGC6015,combined_conventional,44,True,True,39.44919370415964,38.93372115612412,-0.5154725480355182,-0.011715285182625414,-0.011647192529756226
NGC6503,combined_conventional,31,True,True,10.831227884068307,10.826010751576323,-0.005217132491983634,-0.0001682945965156011,-0.00016828043656866567
NGC6674,combined_conventional,15,True,True,27.431393550843257,26.696189229624522,-0.7352043212187347,-0.04901362141458231,-0.047850314472449036
NGC6946,combined_conventional,58,True,True,11.708639330573233,11.871728417715298,0.16308908714206538,0.002811880812794231,0.0028079348712224486
NGC7331,combined_conventional,36,True,True,15.446587357438862,15.670282684721723,0.22369532728286146,0.006213759091190596,0.006194533292054293
NGC7814,combined_conventional,18,True,True,13.076207208927757,13.033249188347892,-0.04295802057986542,-0.002386556698881412,-0.0023837133953477714
UGC00191,combined_conventional,9,True,True,5.013484187475245,4.96660570548179,-0.046878481993455345,-0.0052087202214950385,-0.005195201760589767
UGC00634,combined_conventional,4,True,True,0.6991306404620631,0.7430234725351658,0.04389283207310268,0.01097320801827567,0.010913439210707518
UGC00731,combined_conventional,12,True,True,14.27928927991821,13.933535529225942,-0.34575375069226766,-0.02881281255768897,-0.028405528309447446
UGC00891,combined_conventional,5,True,True,2.831591109183025,2.8434353733997235,0.011844264216698708,0.0023688528433397416,0.002366051534496454
UGC01230,combined_conventional,11,True,True,12.312109522886132,12.36714166742362,0.05503214453748839,0.005002922230680763,0.004990449199031409
UGC01281,combined_conventional,25,True,True,2.187102354899949,2.2614051605257863,0.07430280562583746,0.0029721122250334986,0.0029677042313691854
UGC02023,combined_conventional,5,True,True,1.481267798034593,1.4974345149588708,0.016166716924277846,0.0032333433848555694,0.003228127370552656
UGC02259,combined_conventional,8,True,True,6.104274577378428,6.050852370373113,-0.053422207005314526,-0.006677775875664316,-0.006655578295853508
UGC02916,combined_conventional,43,True,True,55.838535972314105,55.92359092559713,0.08505495328302715,0.0019780221693727245,0.0019760684594183064
UGC03546,combined_conventional,30,True,True,3.9256649307662244,3.976196194884548,0.05053126411832354,0.0016843754706107846,0.0016829585011637004
