Galaxy,test,outcome,environment_score,outcome_crossfit_residual,environment_crossfit_residual,baseline_prediction,environment_prediction
UGC04499,primary_10_40_mpc_mk22__combined_conventional,0.0017020215720551864,-0.5696849146765153,0.008589850471228276,-0.21405142150943085,-0.00688782889917309,-0.004386370435392396
UGC05253,primary_10_40_mpc_mk22__combined_conventional,0.004048426631866371,-1.0404563644847464,-0.0005887695280107214,-0.296403689052386,0.004637196159877092,0.00810078022059482
UGC05716,primary_10_40_mpc_mk22__combined_conventional,-0.0027900402356251766,-0.06107136261845861,-0.004693772963200617,0.4343204765587343,0.0019037327275754404,-0.0026008323527535867
UGC06399,primary_10_40_mpc_mk22__combined_conventional,-0.002655493282769383,-0.13848560843709884,0.0017601916410570503,-0.5218566309717092,-0.004415684923826433,0.0027960785032252107
UGC06446,primary_10_40_mpc_mk22__combined_conventional,-0.005582789632832255,0.17694272667347236,-0.00045796438769462027,0.6221309356091603,-0.0051248252451376345,-0.00792933320850162
UGC06628,primary_10_40_mpc_mk22__combined_conventional,0.0015416983935712856,0.14619654696894283,0.007137876907263025,0.3533197218304401,-0.005596178513691739,-0.010496798010799835
UGC06667,primary_10_40_mpc_mk22__combined_conventional,-0.025176207482848434,0.13715632271348777,-0.020350713881227785,0.053263202882635724,-0.004825493601620651,-0.0054479407160537
UGC06786,primary_10_40_mpc_mk22__combined_conventional,-0.0005956775214188034,-0.7323903728986574,0.0008583000588777942,-0.278916493055181,-0.0014539775802965976,0.002414653349360942
UGC06818,primary_10_40_mpc_mk22__combined_conventional,0.008409555056573434,0.08538604552423912,0.0045456172571772075,-0.5942275177522711,0.0038639377993962267,0.00999102999666829
UGC06917,primary_10_40_mpc_mk22__combined_conventional,-0.0031261176700457384,0.4016698902045054,0.0010552892541902848,-0.01467162095453367,-0.004181406924236023,-0.003978653422343265
UGC06923,primary_10_40_mpc_mk22__combined_conventional,0.0034067290955537505,0.7834122746375415,-0.010657353877261123,0.350220175913296,0.014064082972814872,0.009971322377966493
UGC06930,primary_10_40_mpc_mk22__combined_conventional,-0.0031592209586063192,0.17872255621610328,0.000598388329311974,-0.17367684496962393,-0.0037576092879182932,-0.0029746903445091863
UGC06983,primary_10_40_mpc_mk22__combined_conventional,-0.0034812468294524936,0.4156336611342793,-0.003079572665991106,0.29316255434674793,-0.0004016741634613875,-0.004443189512331258
UGC07089,primary_10_40_mpc_mk22__combined_conventional,0.007423611682547529,0.8406285813566308,0.001863390646731391,0.8247522476856403,0.005560221035816138,-0.005879267607367091
UGC07125,primary_10_40_mpc_mk22__combined_conventional,-0.0022893593827853567,-0.22939158565562434,-0.00018588546386322105,-0.15903912938820808,-0.0021034739189221357,9.435688118928547e-05
UGC07261,primary_10_40_mpc_mk22__combined_conventional,-0.003477624196425734,0.10027600311143772,-0.013497121961463049,0.3672345502653138,0.010019497765037315,0.0056416036304165525
UGC08699,primary_10_40_mpc_mk22__combined_conventional,-0.004080428683467391,0.34145739916053097,-0.003807194297115615,0.93748949230813,-0.0002732343863517761,-0.011228137387153838
UGC09992,primary_10_40_mpc_mk22__combined_conventional,0.0010652102753000102,-0.7316778436060366,-0.0016390463528230441,-0.48060013699170406,0.0027042566281230544,0.007944691181975397
UGC10310,primary_10_40_mpc_mk22__combined_conventional,-0.007419888559617653,-0.24527528914910846,0.0007145301545530636,0.05053707510327099,-0.008134418714170717,-0.008831118758867697
